,p_hat,method
0,0.082,GloDyNE
1,0.10400000000000001,GloDyNE
2,0.333,GloDyNE
3,0.767,GloDyNE
4,0.899,GloDyNE
5,0.6910000000000001,GloDyNE
6,0.024,GloDyNE
7,0.321,GloDyNE
8,0.667,GloDyNE
9,0.545,GloDyNE
10,0.544,GloDyNE
11,0.224,GloDyNE
12,0.81,GloDyNE
13,0.8160000000000001,GloDyNE
14,0.133,GloDyNE
15,0.029,GloDyNE
16,0.359,GloDyNE
17,0.099,GloDyNE
18,0.8270000000000001,GloDyNE
19,0.34900000000000003,GloDyNE
20,0.7010000000000001,GloDyNE
21,0.738,GloDyNE
22,0.403,GloDyNE
23,0.645,GloDyNE
24,0.012,GloDyNE
25,0.47100000000000003,GloDyNE
26,0.7000000000000001,GloDyNE
27,0.261,GloDyNE
28,0.604,GloDyNE
29,0.2,GloDyNE
30,0.58,GloDyNE
31,0.723,GloDyNE
32,0.307,GloDyNE
33,0.761,GloDyNE
34,0.312,GloDyNE
35,0.10300000000000001,GloDyNE
36,0.457,GloDyNE
37,0.068,GloDyNE
38,0.274,GloDyNE
39,0.994,GloDyNE
40,0.001,GloDyNE
41,0.517,GloDyNE
42,0.383,GloDyNE
43,0.981,GloDyNE
44,0.438,GloDyNE
45,0.964,GloDyNE
46,0.425,GloDyNE
47,0.151,GloDyNE
48,0.635,GloDyNE
49,0.255,GloDyNE
50,0.391,GloDyNE
51,0.79,GloDyNE
52,0.433,GloDyNE
53,0.325,GloDyNE
54,0.807,GloDyNE
55,0.20500000000000002,GloDyNE
56,0.791,GloDyNE
57,0.35100000000000003,GloDyNE
58,0.068,GloDyNE
59,0.849,GloDyNE
60,0.9460000000000001,GloDyNE
61,0.53,GloDyNE
62,0.195,GloDyNE
63,0.028,GloDyNE
64,0.795,GloDyNE
65,0.869,GloDyNE
66,0.609,GloDyNE
67,0.653,GloDyNE
68,0.056,GloDyNE
69,0.01,GloDyNE
70,0.729,GloDyNE
71,0.28300000000000003,GloDyNE
72,0.061,GloDyNE
73,0.641,GloDyNE
74,0.735,GloDyNE
75,0.231,GloDyNE
76,0.375,GloDyNE
77,0.061,GloDyNE
78,0.5740000000000001,GloDyNE
79,0.436,GloDyNE
80,0.626,GloDyNE
81,0.838,GloDyNE
82,0.059000000000000004,GloDyNE
83,0.524,GloDyNE
84,0.757,GloDyNE
85,0.228,GloDyNE
86,0.771,GloDyNE
87,0.925,GloDyNE
88,0.557,GloDyNE
89,0.292,GloDyNE
90,0.121,GloDyNE
91,0.671,GloDyNE
92,0.029,GloDyNE
93,0.23900000000000002,GloDyNE
94,0.263,GloDyNE
95,0.196,GloDyNE
96,0.08,GloDyNE
97,0.307,GloDyNE
98,0.6910000000000001,GloDyNE
99,0.189,GloDyNE
100,0.6880000000000001,GloDyNE
101,0.363,GloDyNE
102,0.23500000000000001,GloDyNE
103,0.169,GloDyNE
104,0.449,GloDyNE
105,0.58,GloDyNE
106,0.23800000000000002,GloDyNE
107,0.8200000000000001,GloDyNE
108,0.908,GloDyNE
109,0.929,GloDyNE
110,0.768,GloDyNE
111,0.026000000000000002,GloDyNE
112,0.969,GloDyNE
113,0.9500000000000001,GloDyNE
114,0.184,GloDyNE
115,0.785,GloDyNE
116,0.59,GloDyNE
117,0.651,GloDyNE
118,0.032,GloDyNE
119,0.729,GloDyNE
120,0.339,GloDyNE
121,0.169,GloDyNE
122,0.355,GloDyNE
123,0.6980000000000001,GloDyNE
124,0.8200000000000001,GloDyNE
125,0.648,GloDyNE
126,0.534,GloDyNE
127,0.726,GloDyNE
128,0.336,GloDyNE
129,0.134,GloDyNE
130,0.183,GloDyNE
131,0.378,GloDyNE
132,0.193,GloDyNE
133,0.2,GloDyNE
134,1.0,GloDyNE
135,0.095,GloDyNE
136,0.289,GloDyNE
137,0.228,GloDyNE
138,0.19,GloDyNE
139,0.217,GloDyNE
140,0.17300000000000001,GloDyNE
141,0.33,GloDyNE
142,0.788,GloDyNE
143,0.29,GloDyNE
144,0.708,GloDyNE
145,0.5680000000000001,GloDyNE
146,0.47100000000000003,GloDyNE
147,0.318,GloDyNE
148,0.55,GloDyNE
149,0.382,GloDyNE
150,0.045,GloDyNE
151,0.361,GloDyNE
152,0.5680000000000001,GloDyNE
153,0.787,GloDyNE
154,0.468,GloDyNE
155,0.463,GloDyNE
156,0.23700000000000002,GloDyNE
157,0.292,GloDyNE
158,0.059000000000000004,GloDyNE
159,0.364,GloDyNE
160,0.217,GloDyNE
161,0.33,GloDyNE
162,0.896,GloDyNE
163,0.41200000000000003,GloDyNE
164,0.09,GloDyNE
165,0.304,GloDyNE
166,0.978,GloDyNE
167,0.008,GloDyNE
168,0.001,GloDyNE
169,0.249,GloDyNE
170,0.708,GloDyNE
171,0.671,GloDyNE
172,0.043000000000000003,GloDyNE
173,0.084,GloDyNE
174,0.084,GloDyNE
175,0.811,GloDyNE
176,0.466,GloDyNE
177,0.297,GloDyNE
178,0.849,GloDyNE
179,0.585,GloDyNE
180,0.8180000000000001,GloDyNE
181,0.003,GloDyNE
182,0.133,GloDyNE
183,0.152,GloDyNE
184,0.34,GloDyNE
185,0.866,GloDyNE
186,0.067,GloDyNE
187,0.487,GloDyNE
188,0.34600000000000003,GloDyNE
189,0.069,GloDyNE
190,0.998,GloDyNE
191,0.967,GloDyNE
192,0.93,GloDyNE
193,0.798,GloDyNE
194,0.865,GloDyNE
195,0.927,GloDyNE
196,0.833,GloDyNE
197,0.098,GloDyNE
198,0.965,GloDyNE
199,0.595,GloDyNE
