,p_hat,method
5,0.116,Independent Node2Vec
13,0.55,Independent Node2Vec
21,0.733,Independent Node2Vec
29,0.755,Independent Node2Vec
37,0.403,Independent Node2Vec
45,0.226,Independent Node2Vec
53,0.28300000000000003,Independent Node2Vec
61,0.04,Independent Node2Vec
69,0.709,Independent Node2Vec
77,0.043000000000000003,Independent Node2Vec
85,0.275,Independent Node2Vec
93,0.037,Independent Node2Vec
101,0.524,Independent Node2Vec
109,0.301,Independent Node2Vec
117,0.661,Independent Node2Vec
125,0.269,Independent Node2Vec
133,0.628,Independent Node2Vec
141,0.459,Independent Node2Vec
149,0.599,Independent Node2Vec
157,0.962,Independent Node2Vec
165,0.031,Independent Node2Vec
173,0.737,Independent Node2Vec
181,0.971,Independent Node2Vec
189,0.547,Independent Node2Vec
197,0.862,Independent Node2Vec
205,0.097,Independent Node2Vec
213,0.154,Independent Node2Vec
221,0.056,Independent Node2Vec
229,0.058,Independent Node2Vec
237,0.428,Independent Node2Vec
245,0.354,Independent Node2Vec
253,0.14200000000000002,Independent Node2Vec
261,0.5,Independent Node2Vec
269,0.179,Independent Node2Vec
277,0.8230000000000001,Independent Node2Vec
285,0.135,Independent Node2Vec
293,0.877,Independent Node2Vec
301,0.107,Independent Node2Vec
309,0.505,Independent Node2Vec
317,0.428,Independent Node2Vec
325,0.353,Independent Node2Vec
333,0.41600000000000004,Independent Node2Vec
341,0.113,Independent Node2Vec
349,0.28700000000000003,Independent Node2Vec
357,0.18,Independent Node2Vec
365,0.091,Independent Node2Vec
373,0.846,Independent Node2Vec
381,0.737,Independent Node2Vec
389,0.34500000000000003,Independent Node2Vec
397,0.32,Independent Node2Vec
405,0.739,Independent Node2Vec
413,0.03,Independent Node2Vec
421,0.027,Independent Node2Vec
429,0.17300000000000001,Independent Node2Vec
437,0.982,Independent Node2Vec
445,0.194,Independent Node2Vec
453,0.611,Independent Node2Vec
461,0.334,Independent Node2Vec
469,0.862,Independent Node2Vec
477,0.845,Independent Node2Vec
485,0.154,Independent Node2Vec
493,0.07100000000000001,Independent Node2Vec
501,0.728,Independent Node2Vec
509,0.5730000000000001,Independent Node2Vec
517,0.317,Independent Node2Vec
525,0.877,Independent Node2Vec
533,0.077,Independent Node2Vec
541,0.455,Independent Node2Vec
549,0.6910000000000001,Independent Node2Vec
557,0.004,Independent Node2Vec
565,0.074,Independent Node2Vec
573,0.5760000000000001,Independent Node2Vec
581,0.36,Independent Node2Vec
589,0.707,Independent Node2Vec
597,0.921,Independent Node2Vec
605,0.751,Independent Node2Vec
613,0.181,Independent Node2Vec
621,0.523,Independent Node2Vec
629,0.363,Independent Node2Vec
637,0.788,Independent Node2Vec
645,0.227,Independent Node2Vec
653,0.327,Independent Node2Vec
661,0.11,Independent Node2Vec
669,0.013000000000000001,Independent Node2Vec
677,0.441,Independent Node2Vec
685,0.002,Independent Node2Vec
693,0.019,Independent Node2Vec
701,0.085,Independent Node2Vec
709,0.211,Independent Node2Vec
717,0.06,Independent Node2Vec
725,0.786,Independent Node2Vec
733,0.496,Independent Node2Vec
741,0.263,Independent Node2Vec
749,0.053,Independent Node2Vec
757,0.116,Independent Node2Vec
765,0.263,Independent Node2Vec
773,0.425,Independent Node2Vec
781,0.09,Independent Node2Vec
789,0.218,Independent Node2Vec
797,0.121,Independent Node2Vec
805,0.147,Independent Node2Vec
813,0.003,Independent Node2Vec
821,0.869,Independent Node2Vec
829,0.40700000000000003,Independent Node2Vec
837,0.442,Independent Node2Vec
845,0.382,Independent Node2Vec
853,0.684,Independent Node2Vec
861,0.061,Independent Node2Vec
869,0.17200000000000001,Independent Node2Vec
877,0.9470000000000001,Independent Node2Vec
885,0.6990000000000001,Independent Node2Vec
893,0.007,Independent Node2Vec
901,0.203,Independent Node2Vec
909,0.362,Independent Node2Vec
917,0.937,Independent Node2Vec
925,0.9430000000000001,Independent Node2Vec
933,0.036000000000000004,Independent Node2Vec
941,0.891,Independent Node2Vec
949,0.8260000000000001,Independent Node2Vec
957,0.897,Independent Node2Vec
965,0.632,Independent Node2Vec
973,0.387,Independent Node2Vec
981,0.319,Independent Node2Vec
989,0.746,Independent Node2Vec
997,0.096,Independent Node2Vec
1005,0.177,Independent Node2Vec
1013,0.5740000000000001,Independent Node2Vec
1021,0.423,Independent Node2Vec
1029,0.305,Independent Node2Vec
1037,0.75,Independent Node2Vec
1045,0.904,Independent Node2Vec
1053,0.8180000000000001,Independent Node2Vec
1061,0.6950000000000001,Independent Node2Vec
1069,0.28600000000000003,Independent Node2Vec
1077,0.885,Independent Node2Vec
1085,0.064,Independent Node2Vec
1093,0.011,Independent Node2Vec
1101,0.0,Independent Node2Vec
1109,0.441,Independent Node2Vec
1117,0.78,Independent Node2Vec
1125,0.032,Independent Node2Vec
1133,0.5660000000000001,Independent Node2Vec
1141,0.437,Independent Node2Vec
1149,0.20500000000000002,Independent Node2Vec
1157,0.76,Independent Node2Vec
1165,0.12,Independent Node2Vec
1173,0.375,Independent Node2Vec
1181,0.191,Independent Node2Vec
1189,0.012,Independent Node2Vec
1197,0.214,Independent Node2Vec
1205,0.93,Independent Node2Vec
1213,0.001,Independent Node2Vec
1221,0.674,Independent Node2Vec
1229,0.47200000000000003,Independent Node2Vec
1237,0.192,Independent Node2Vec
1245,0.365,Independent Node2Vec
1253,0.898,Independent Node2Vec
1261,0.919,Independent Node2Vec
1269,0.866,Independent Node2Vec
1277,0.902,Independent Node2Vec
1285,0.148,Independent Node2Vec
1293,0.855,Independent Node2Vec
1301,0.9560000000000001,Independent Node2Vec
1309,0.8320000000000001,Independent Node2Vec
1317,0.395,Independent Node2Vec
1325,0.105,Independent Node2Vec
1333,0.761,Independent Node2Vec
1341,0.871,Independent Node2Vec
1349,0.122,Independent Node2Vec
1357,0.467,Independent Node2Vec
1365,0.043000000000000003,Independent Node2Vec
1373,0.9520000000000001,Independent Node2Vec
1381,0.929,Independent Node2Vec
1389,0.547,Independent Node2Vec
1397,0.76,Independent Node2Vec
1405,0.28200000000000003,Independent Node2Vec
1413,0.735,Independent Node2Vec
1421,0.078,Independent Node2Vec
1429,0.52,Independent Node2Vec
1437,0.322,Independent Node2Vec
1445,0.084,Independent Node2Vec
1453,0.59,Independent Node2Vec
1461,0.294,Independent Node2Vec
1469,0.641,Independent Node2Vec
1477,0.441,Independent Node2Vec
1485,0.28500000000000003,Independent Node2Vec
1493,0.198,Independent Node2Vec
1501,0.852,Independent Node2Vec
1509,0.049,Independent Node2Vec
1517,0.085,Independent Node2Vec
1525,0.927,Independent Node2Vec
1533,0.547,Independent Node2Vec
1541,0.5650000000000001,Independent Node2Vec
1549,0.321,Independent Node2Vec
1557,0.192,Independent Node2Vec
1565,0.503,Independent Node2Vec
1573,0.496,Independent Node2Vec
1581,0.68,Independent Node2Vec
1589,0.711,Independent Node2Vec
1597,0.394,Independent Node2Vec
