,p_hat,method
2,0.0,OMNI
10,0.0,OMNI
18,0.002,OMNI
26,0.0,OMNI
34,0.0,OMNI
42,0.0,OMNI
50,0.003,OMNI
58,0.012,OMNI
66,0.036000000000000004,OMNI
74,0.002,OMNI
82,0.0,OMNI
90,0.0,OMNI
98,0.0,OMNI
106,0.0,OMNI
114,0.0,OMNI
122,0.0,OMNI
130,0.0,OMNI
138,0.0,OMNI
146,0.033,OMNI
154,0.0,OMNI
162,0.0,OMNI
170,0.0,OMNI
178,0.0,OMNI
186,0.0,OMNI
194,0.0,OMNI
202,0.0,OMNI
210,0.001,OMNI
218,0.0,OMNI
226,0.0,OMNI
234,0.0,OMNI
242,0.0,OMNI
250,0.0,OMNI
258,0.003,OMNI
266,0.011,OMNI
274,0.0,OMNI
282,0.0,OMNI
290,0.0,OMNI
298,0.0,OMNI
306,0.0,OMNI
314,0.0,OMNI
322,0.0,OMNI
330,0.017,OMNI
338,0.0,OMNI
346,0.011,OMNI
354,0.0,OMNI
362,0.0,OMNI
370,0.0,OMNI
378,0.0,OMNI
386,0.005,OMNI
394,0.002,OMNI
402,0.002,OMNI
410,0.0,OMNI
418,0.0,OMNI
426,0.0,OMNI
434,0.0,OMNI
442,0.0,OMNI
450,0.0,OMNI
458,0.002,OMNI
466,0.0,OMNI
474,0.0,OMNI
482,0.0,OMNI
490,0.0,OMNI
498,0.0,OMNI
506,0.0,OMNI
514,0.0,OMNI
522,0.0,OMNI
530,0.0,OMNI
538,0.0,OMNI
546,0.011,OMNI
554,0.0,OMNI
562,0.006,OMNI
570,0.062,OMNI
578,0.0,OMNI
586,0.027,OMNI
594,0.0,OMNI
602,0.0,OMNI
610,0.0,OMNI
618,0.0,OMNI
626,0.0,OMNI
634,0.0,OMNI
642,0.0,OMNI
650,0.0,OMNI
658,0.0,OMNI
666,0.016,OMNI
674,0.002,OMNI
682,0.0,OMNI
690,0.0,OMNI
698,0.0,OMNI
706,0.004,OMNI
714,0.0,OMNI
722,0.0,OMNI
730,0.006,OMNI
738,0.0,OMNI
746,0.0,OMNI
754,0.0,OMNI
762,0.0,OMNI
770,0.005,OMNI
778,0.0,OMNI
786,0.009000000000000001,OMNI
794,0.0,OMNI
802,0.005,OMNI
810,0.0,OMNI
818,0.0,OMNI
826,0.023,OMNI
834,0.0,OMNI
842,0.0,OMNI
850,0.009000000000000001,OMNI
858,0.0,OMNI
866,0.0,OMNI
874,0.0,OMNI
882,0.0,OMNI
890,0.0,OMNI
898,0.025,OMNI
906,0.0,OMNI
914,0.0,OMNI
922,0.0,OMNI
930,0.0,OMNI
938,0.023,OMNI
946,0.0,OMNI
954,0.0,OMNI
962,0.001,OMNI
970,0.0,OMNI
978,0.0,OMNI
986,0.0,OMNI
994,0.07100000000000001,OMNI
1002,0.0,OMNI
1010,0.0,OMNI
1018,0.0,OMNI
1026,0.0,OMNI
1034,0.028,OMNI
1042,0.036000000000000004,OMNI
1050,0.0,OMNI
1058,0.08700000000000001,OMNI
1066,0.0,OMNI
1074,0.0,OMNI
1082,0.0,OMNI
1090,0.0,OMNI
1098,0.033,OMNI
1106,0.0,OMNI
1114,0.0,OMNI
1122,0.0,OMNI
1130,0.0,OMNI
1138,0.032,OMNI
1146,0.007,OMNI
1154,0.0,OMNI
1162,0.0,OMNI
1170,0.0,OMNI
1178,0.027,OMNI
1186,0.014,OMNI
1194,0.0,OMNI
1202,0.0,OMNI
1210,0.0,OMNI
1218,0.0,OMNI
1226,0.0,OMNI
1234,0.0,OMNI
1242,0.0,OMNI
1250,0.0,OMNI
1258,0.0,OMNI
1266,0.001,OMNI
1274,0.0,OMNI
1282,0.0,OMNI
1290,0.0,OMNI
1298,0.0,OMNI
1306,0.05,OMNI
1314,0.0,OMNI
1322,0.0,OMNI
1330,0.0,OMNI
1338,0.0,OMNI
1346,0.0,OMNI
1354,0.0,OMNI
1362,0.0,OMNI
1370,0.0,OMNI
1378,0.0,OMNI
1386,0.0,OMNI
1394,0.0,OMNI
1402,0.021,OMNI
1410,0.0,OMNI
1418,0.0,OMNI
1426,0.0,OMNI
1434,0.0,OMNI
1442,0.043000000000000003,OMNI
1450,0.0,OMNI
1458,0.016,OMNI
1466,0.0,OMNI
1474,0.0,OMNI
1482,0.0,OMNI
1490,0.0,OMNI
1498,0.021,OMNI
1506,0.077,OMNI
1514,0.0,OMNI
1522,0.017,OMNI
1530,0.0,OMNI
1538,0.0,OMNI
1546,0.0,OMNI
1554,0.01,OMNI
1562,0.0,OMNI
1570,0.0,OMNI
1578,0.0,OMNI
1586,0.019,OMNI
1594,0.0,OMNI
