,p_hat,method
0,0.003,SSE
8,0.001,SSE
16,0.004,SSE
24,0.0,SSE
32,0.005,SSE
40,0.0,SSE
48,0.006,SSE
56,0.0,SSE
64,0.058,SSE
72,0.05,SSE
80,0.052000000000000005,SSE
88,0.044,SSE
96,0.023,SSE
104,0.0,SSE
112,0.0,SSE
120,0.03,SSE
128,0.005,SSE
136,0.01,SSE
144,0.021,SSE
152,0.001,SSE
160,0.009000000000000001,SSE
168,0.0,SSE
176,0.03,SSE
184,0.033,SSE
192,0.0,SSE
200,0.037,SSE
208,0.016,SSE
216,0.015,SSE
224,0.049,SSE
232,0.004,SSE
240,0.11,SSE
248,0.001,SSE
256,0.027,SSE
264,0.004,SSE
272,0.007,SSE
280,0.005,SSE
288,0.0,SSE
296,0.062,SSE
304,0.078,SSE
312,0.041,SSE
320,0.074,SSE
328,0.048,SSE
336,0.003,SSE
344,0.051000000000000004,SSE
352,0.028,SSE
360,0.012,SSE
368,0.0,SSE
376,0.035,SSE
384,0.047,SSE
392,0.073,SSE
400,0.036000000000000004,SSE
408,0.0,SSE
416,0.042,SSE
424,0.035,SSE
432,0.012,SSE
440,0.0,SSE
448,0.013000000000000001,SSE
456,0.004,SSE
464,0.021,SSE
472,0.007,SSE
480,0.002,SSE
488,0.0,SSE
496,0.025,SSE
504,0.007,SSE
512,0.081,SSE
520,0.002,SSE
528,0.05,SSE
536,0.0,SSE
544,0.0,SSE
552,0.056,SSE
560,0.009000000000000001,SSE
568,0.066,SSE
576,0.001,SSE
584,0.094,SSE
592,0.021,SSE
600,0.009000000000000001,SSE
608,0.0,SSE
616,0.037,SSE
624,0.0,SSE
632,0.002,SSE
640,0.008,SSE
648,0.0,SSE
656,0.0,SSE
664,0.0,SSE
672,0.006,SSE
680,0.021,SSE
688,0.005,SSE
696,0.065,SSE
704,0.037,SSE
712,0.027,SSE
720,0.0,SSE
728,0.0,SSE
736,0.002,SSE
744,0.0,SSE
752,0.008,SSE
760,0.049,SSE
768,0.007,SSE
776,0.014,SSE
784,0.07100000000000001,SSE
792,0.03,SSE
800,0.0,SSE
808,0.0,SSE
816,0.001,SSE
824,0.112,SSE
832,0.098,SSE
840,0.008,SSE
848,0.007,SSE
856,0.023,SSE
864,0.096,SSE
872,0.005,SSE
880,0.081,SSE
888,0.039,SSE
896,0.004,SSE
904,0.001,SSE
912,0.017,SSE
920,0.001,SSE
928,0.015,SSE
936,0.022,SSE
944,0.085,SSE
952,0.01,SSE
960,0.0,SSE
968,0.0,SSE
976,0.036000000000000004,SSE
984,0.052000000000000005,SSE
992,0.025,SSE
1000,0.0,SSE
1008,0.008,SSE
1016,0.0,SSE
1024,0.025,SSE
1032,0.064,SSE
1040,0.047,SSE
1048,0.0,SSE
1056,0.0,SSE
1064,0.106,SSE
1072,0.023,SSE
1080,0.0,SSE
1088,0.073,SSE
1096,0.0,SSE
1104,0.017,SSE
1112,0.096,SSE
1120,0.0,SSE
1128,0.0,SSE
1136,0.045,SSE
1144,0.003,SSE
1152,0.02,SSE
1160,0.008,SSE
1168,0.006,SSE
1176,0.002,SSE
1184,0.033,SSE
1192,0.019,SSE
1200,0.022,SSE
1208,0.0,SSE
1216,0.02,SSE
1224,0.04,SSE
1232,0.053,SSE
1240,0.0,SSE
1248,0.0,SSE
1256,0.046,SSE
1264,0.106,SSE
1272,0.096,SSE
1280,0.0,SSE
1288,0.079,SSE
1296,0.008,SSE
1304,0.048,SSE
1312,0.001,SSE
1320,0.002,SSE
1328,0.059000000000000004,SSE
1336,0.043000000000000003,SSE
1344,0.0,SSE
1352,0.046,SSE
1360,0.074,SSE
1368,0.0,SSE
1376,0.013000000000000001,SSE
1384,0.042,SSE
1392,0.003,SSE
1400,0.034,SSE
1408,0.001,SSE
1416,0.061,SSE
1424,0.009000000000000001,SSE
1432,0.036000000000000004,SSE
1440,0.047,SSE
1448,0.046,SSE
1456,0.023,SSE
1464,0.054,SSE
1472,0.0,SSE
1480,0.005,SSE
1488,0.0,SSE
1496,0.0,SSE
1504,0.12,SSE
1512,0.093,SSE
1520,0.019,SSE
1528,0.012,SSE
1536,0.005,SSE
1544,0.09,SSE
1552,0.009000000000000001,SSE
1560,0.075,SSE
1568,0.016,SSE
1576,0.046,SSE
1584,0.0,SSE
1592,0.0,SSE
