,p_hat,method
0,0.0,UASE
2,0.017,UASE
4,0.0,UASE
6,0.003,UASE
8,0.031,UASE
10,0.0,UASE
12,0.0,UASE
14,0.0,UASE
16,0.0,UASE
18,0.019,UASE
20,0.0,UASE
22,0.011,UASE
24,0.0,UASE
26,0.0,UASE
28,0.002,UASE
30,0.0,UASE
32,0.0,UASE
34,0.002,UASE
36,0.0,UASE
38,0.001,UASE
40,0.001,UASE
42,0.0,UASE
44,0.053,UASE
46,0.024,UASE
48,0.08600000000000001,UASE
50,0.003,UASE
52,0.001,UASE
54,0.0,UASE
56,0.006,UASE
58,0.003,UASE
60,0.012,UASE
62,0.0,UASE
64,0.0,UASE
66,0.035,UASE
68,0.061,UASE
70,0.017,UASE
72,0.0,UASE
74,0.0,UASE
76,0.0,UASE
78,0.001,UASE
80,0.037,UASE
82,0.0,UASE
84,0.048,UASE
86,0.0,UASE
88,0.073,UASE
90,0.0,UASE
92,0.0,UASE
94,0.004,UASE
96,0.0,UASE
98,0.0,UASE
100,0.0,UASE
102,0.0,UASE
104,0.023,UASE
106,0.01,UASE
108,0.0,UASE
110,0.024,UASE
112,0.0,UASE
114,0.0,UASE
116,0.038,UASE
118,0.0,UASE
120,0.014,UASE
122,0.016,UASE
124,0.0,UASE
126,0.0,UASE
128,0.0,UASE
130,0.028,UASE
132,0.08700000000000001,UASE
134,0.0,UASE
136,0.008,UASE
138,0.0,UASE
140,0.0,UASE
142,0.038,UASE
144,0.0,UASE
146,0.0,UASE
148,0.0,UASE
150,0.0,UASE
152,0.0,UASE
154,0.0,UASE
156,0.0,UASE
158,0.0,UASE
160,0.001,UASE
162,0.004,UASE
164,0.0,UASE
166,0.0,UASE
168,0.009000000000000001,UASE
170,0.0,UASE
172,0.002,UASE
174,0.0,UASE
176,0.006,UASE
178,0.061,UASE
180,0.002,UASE
182,0.0,UASE
184,0.002,UASE
186,0.0,UASE
188,0.0,UASE
190,0.006,UASE
192,0.0,UASE
194,0.0,UASE
196,0.001,UASE
198,0.0,UASE
200,0.061,UASE
202,0.001,UASE
204,0.011,UASE
206,0.006,UASE
208,0.007,UASE
210,0.0,UASE
212,0.006,UASE
214,0.01,UASE
216,0.0,UASE
218,0.0,UASE
220,0.002,UASE
222,0.0,UASE
224,0.0,UASE
226,0.027,UASE
228,0.0,UASE
230,0.048,UASE
232,0.017,UASE
234,0.018000000000000002,UASE
236,0.004,UASE
238,0.012,UASE
240,0.0,UASE
242,0.005,UASE
244,0.07100000000000001,UASE
246,0.002,UASE
248,0.008,UASE
250,0.014,UASE
252,0.001,UASE
254,0.027,UASE
256,0.0,UASE
258,0.0,UASE
260,0.1,UASE
262,0.002,UASE
264,0.016,UASE
266,0.02,UASE
268,0.0,UASE
270,0.022,UASE
272,0.0,UASE
274,0.0,UASE
276,0.0,UASE
278,0.004,UASE
280,0.034,UASE
282,0.0,UASE
284,0.048,UASE
286,0.046,UASE
288,0.0,UASE
290,0.033,UASE
292,0.003,UASE
294,0.001,UASE
296,0.0,UASE
298,0.0,UASE
300,0.007,UASE
302,0.0,UASE
304,0.001,UASE
306,0.028,UASE
308,0.0,UASE
310,0.003,UASE
312,0.047,UASE
314,0.016,UASE
316,0.002,UASE
318,0.0,UASE
320,0.005,UASE
322,0.0,UASE
324,0.018000000000000002,UASE
326,0.0,UASE
328,0.0,UASE
330,0.0,UASE
332,0.0,UASE
334,0.0,UASE
336,0.006,UASE
338,0.001,UASE
340,0.003,UASE
342,0.0,UASE
344,0.083,UASE
346,0.003,UASE
348,0.023,UASE
350,0.008,UASE
352,0.009000000000000001,UASE
354,0.0,UASE
356,0.026000000000000002,UASE
358,0.03,UASE
360,0.0,UASE
362,0.013000000000000001,UASE
364,0.024,UASE
366,0.0,UASE
368,0.0,UASE
370,0.0,UASE
372,0.0,UASE
374,0.01,UASE
376,0.074,UASE
378,0.0,UASE
380,0.008,UASE
382,0.0,UASE
384,0.031,UASE
386,0.039,UASE
388,0.0,UASE
390,0.0,UASE
392,0.0,UASE
394,0.0,UASE
396,0.036000000000000004,UASE
398,0.009000000000000001,UASE
