,p_hat,method
1,0.0,URLSE
3,0.015,URLSE
5,0.0,URLSE
7,0.008,URLSE
9,0.03,URLSE
11,0.001,URLSE
13,0.002,URLSE
15,0.0,URLSE
17,0.0,URLSE
19,0.046,URLSE
21,0.0,URLSE
23,0.016,URLSE
25,0.0,URLSE
27,0.0,URLSE
29,0.0,URLSE
31,0.0,URLSE
33,0.0,URLSE
35,0.003,URLSE
37,0.0,URLSE
39,0.002,URLSE
41,0.002,URLSE
43,0.0,URLSE
45,0.06,URLSE
47,0.018000000000000002,URLSE
49,0.112,URLSE
51,0.003,URLSE
53,0.004,URLSE
55,0.0,URLSE
57,0.011,URLSE
59,0.005,URLSE
61,0.025,URLSE
63,0.0,URLSE
65,0.0,URLSE
67,0.029,URLSE
69,0.057,URLSE
71,0.019,URLSE
73,0.001,URLSE
75,0.001,URLSE
77,0.002,URLSE
79,0.002,URLSE
81,0.029,URLSE
83,0.0,URLSE
85,0.065,URLSE
87,0.0,URLSE
89,0.073,URLSE
91,0.0,URLSE
93,0.0,URLSE
95,0.005,URLSE
97,0.0,URLSE
99,0.001,URLSE
101,0.0,URLSE
103,0.0,URLSE
105,0.015,URLSE
107,0.015,URLSE
109,0.0,URLSE
111,0.028,URLSE
113,0.0,URLSE
115,0.0,URLSE
117,0.052000000000000005,URLSE
119,0.0,URLSE
121,0.003,URLSE
123,0.017,URLSE
125,0.001,URLSE
127,0.0,URLSE
129,0.0,URLSE
131,0.03,URLSE
133,0.083,URLSE
135,0.0,URLSE
137,0.003,URLSE
139,0.0,URLSE
141,0.0,URLSE
143,0.048,URLSE
145,0.0,URLSE
147,0.0,URLSE
149,0.0,URLSE
151,0.0,URLSE
153,0.0,URLSE
155,0.001,URLSE
157,0.0,URLSE
159,0.0,URLSE
161,0.0,URLSE
163,0.005,URLSE
165,0.0,URLSE
167,0.0,URLSE
169,0.006,URLSE
171,0.0,URLSE
173,0.001,URLSE
175,0.0,URLSE
177,0.005,URLSE
179,0.064,URLSE
181,0.004,URLSE
183,0.0,URLSE
185,0.002,URLSE
187,0.0,URLSE
189,0.0,URLSE
191,0.005,URLSE
193,0.0,URLSE
195,0.0,URLSE
197,0.001,URLSE
199,0.0,URLSE
201,0.066,URLSE
203,0.001,URLSE
205,0.016,URLSE
207,0.011,URLSE
209,0.01,URLSE
211,0.0,URLSE
213,0.005,URLSE
215,0.006,URLSE
217,0.0,URLSE
219,0.0,URLSE
221,0.006,URLSE
223,0.0,URLSE
225,0.0,URLSE
227,0.031,URLSE
229,0.0,URLSE
231,0.066,URLSE
233,0.021,URLSE
235,0.032,URLSE
237,0.005,URLSE
239,0.011,URLSE
241,0.0,URLSE
243,0.012,URLSE
245,0.062,URLSE
247,0.005,URLSE
249,0.009000000000000001,URLSE
251,0.01,URLSE
253,0.001,URLSE
255,0.033,URLSE
257,0.0,URLSE
259,0.0,URLSE
261,0.097,URLSE
263,0.001,URLSE
265,0.023,URLSE
267,0.035,URLSE
269,0.0,URLSE
271,0.032,URLSE
273,0.0,URLSE
275,0.0,URLSE
277,0.0,URLSE
279,0.001,URLSE
281,0.036000000000000004,URLSE
283,0.0,URLSE
285,0.062,URLSE
287,0.059000000000000004,URLSE
289,0.0,URLSE
291,0.027,URLSE
293,0.013000000000000001,URLSE
295,0.0,URLSE
297,0.0,URLSE
299,0.0,URLSE
301,0.007,URLSE
303,0.0,URLSE
305,0.002,URLSE
307,0.028,URLSE
309,0.0,URLSE
311,0.001,URLSE
313,0.051000000000000004,URLSE
315,0.016,URLSE
317,0.003,URLSE
319,0.0,URLSE
321,0.008,URLSE
323,0.0,URLSE
325,0.028,URLSE
327,0.0,URLSE
329,0.0,URLSE
331,0.0,URLSE
333,0.0,URLSE
335,0.0,URLSE
337,0.007,URLSE
339,0.009000000000000001,URLSE
341,0.001,URLSE
343,0.0,URLSE
345,0.097,URLSE
347,0.003,URLSE
349,0.041,URLSE
351,0.007,URLSE
353,0.018000000000000002,URLSE
355,0.0,URLSE
357,0.028,URLSE
359,0.029,URLSE
361,0.0,URLSE
363,0.019,URLSE
365,0.018000000000000002,URLSE
367,0.0,URLSE
369,0.002,URLSE
371,0.0,URLSE
373,0.0,URLSE
375,0.018000000000000002,URLSE
377,0.07200000000000001,URLSE
379,0.0,URLSE
381,0.017,URLSE
383,0.0,URLSE
385,0.04,URLSE
387,0.041,URLSE
389,0.0,URLSE
391,0.0,URLSE
393,0.0,URLSE
395,0.001,URLSE
397,0.038,URLSE
399,0.011,URLSE
