,p_hat,method
6,0.001,Unfolded Node2Vec
14,0.0,Unfolded Node2Vec
22,0.0,Unfolded Node2Vec
30,0.0,Unfolded Node2Vec
38,0.0,Unfolded Node2Vec
46,0.0,Unfolded Node2Vec
54,0.0,Unfolded Node2Vec
62,0.0,Unfolded Node2Vec
70,0.0,Unfolded Node2Vec
78,0.0,Unfolded Node2Vec
86,0.0,Unfolded Node2Vec
94,0.0,Unfolded Node2Vec
102,0.0,Unfolded Node2Vec
110,0.0,Unfolded Node2Vec
118,0.0,Unfolded Node2Vec
126,0.0,Unfolded Node2Vec
134,0.0,Unfolded Node2Vec
142,0.0,Unfolded Node2Vec
150,0.0,Unfolded Node2Vec
158,0.0,Unfolded Node2Vec
166,0.0,Unfolded Node2Vec
174,0.0,Unfolded Node2Vec
182,0.0,Unfolded Node2Vec
190,0.013000000000000001,Unfolded Node2Vec
198,0.0,Unfolded Node2Vec
206,0.0,Unfolded Node2Vec
214,0.192,Unfolded Node2Vec
222,0.0,Unfolded Node2Vec
230,0.0,Unfolded Node2Vec
238,0.0,Unfolded Node2Vec
246,0.0,Unfolded Node2Vec
254,0.0,Unfolded Node2Vec
262,0.0,Unfolded Node2Vec
270,0.0,Unfolded Node2Vec
278,0.0,Unfolded Node2Vec
286,0.0,Unfolded Node2Vec
294,0.0,Unfolded Node2Vec
302,0.0,Unfolded Node2Vec
310,0.0,Unfolded Node2Vec
318,0.0,Unfolded Node2Vec
326,0.0,Unfolded Node2Vec
334,0.0,Unfolded Node2Vec
342,0.0,Unfolded Node2Vec
350,0.0,Unfolded Node2Vec
358,0.0,Unfolded Node2Vec
366,0.0,Unfolded Node2Vec
374,0.001,Unfolded Node2Vec
382,0.0,Unfolded Node2Vec
390,0.0,Unfolded Node2Vec
398,0.0,Unfolded Node2Vec
406,0.0,Unfolded Node2Vec
414,0.0,Unfolded Node2Vec
422,0.0,Unfolded Node2Vec
430,0.0,Unfolded Node2Vec
438,0.0,Unfolded Node2Vec
446,0.0,Unfolded Node2Vec
454,0.0,Unfolded Node2Vec
462,0.0,Unfolded Node2Vec
470,0.001,Unfolded Node2Vec
478,0.0,Unfolded Node2Vec
486,0.001,Unfolded Node2Vec
494,0.001,Unfolded Node2Vec
502,0.0,Unfolded Node2Vec
510,0.029,Unfolded Node2Vec
518,0.0,Unfolded Node2Vec
526,0.001,Unfolded Node2Vec
534,0.0,Unfolded Node2Vec
542,0.002,Unfolded Node2Vec
550,0.0,Unfolded Node2Vec
558,0.001,Unfolded Node2Vec
566,0.0,Unfolded Node2Vec
574,0.0,Unfolded Node2Vec
582,0.0,Unfolded Node2Vec
590,0.0,Unfolded Node2Vec
598,0.0,Unfolded Node2Vec
606,0.0,Unfolded Node2Vec
614,0.0,Unfolded Node2Vec
622,0.0,Unfolded Node2Vec
630,0.0,Unfolded Node2Vec
638,0.0,Unfolded Node2Vec
646,0.0,Unfolded Node2Vec
654,0.0,Unfolded Node2Vec
662,0.001,Unfolded Node2Vec
670,0.0,Unfolded Node2Vec
678,0.0,Unfolded Node2Vec
686,0.0,Unfolded Node2Vec
694,0.0,Unfolded Node2Vec
702,0.0,Unfolded Node2Vec
710,0.0,Unfolded Node2Vec
718,0.0,Unfolded Node2Vec
726,0.0,Unfolded Node2Vec
734,0.0,Unfolded Node2Vec
742,0.0,Unfolded Node2Vec
750,0.0,Unfolded Node2Vec
758,0.0,Unfolded Node2Vec
766,0.001,Unfolded Node2Vec
774,0.0,Unfolded Node2Vec
782,0.0,Unfolded Node2Vec
790,0.0,Unfolded Node2Vec
798,0.0,Unfolded Node2Vec
806,0.0,Unfolded Node2Vec
814,0.001,Unfolded Node2Vec
822,0.001,Unfolded Node2Vec
830,0.0,Unfolded Node2Vec
838,0.0,Unfolded Node2Vec
846,0.0,Unfolded Node2Vec
854,0.0,Unfolded Node2Vec
862,0.002,Unfolded Node2Vec
870,0.0,Unfolded Node2Vec
878,0.0,Unfolded Node2Vec
886,0.0,Unfolded Node2Vec
894,0.0,Unfolded Node2Vec
902,0.0,Unfolded Node2Vec
910,0.0,Unfolded Node2Vec
918,0.0,Unfolded Node2Vec
926,0.0,Unfolded Node2Vec
934,0.0,Unfolded Node2Vec
942,0.0,Unfolded Node2Vec
950,0.001,Unfolded Node2Vec
958,0.0,Unfolded Node2Vec
966,0.0,Unfolded Node2Vec
974,0.0,Unfolded Node2Vec
982,0.0,Unfolded Node2Vec
990,0.0,Unfolded Node2Vec
998,0.0,Unfolded Node2Vec
1006,0.001,Unfolded Node2Vec
1014,0.0,Unfolded Node2Vec
1022,0.0,Unfolded Node2Vec
1030,0.0,Unfolded Node2Vec
1038,0.0,Unfolded Node2Vec
1046,0.0,Unfolded Node2Vec
1054,0.052000000000000005,Unfolded Node2Vec
1062,0.0,Unfolded Node2Vec
1070,0.0,Unfolded Node2Vec
1078,0.0,Unfolded Node2Vec
1086,0.0,Unfolded Node2Vec
1094,0.0,Unfolded Node2Vec
1102,0.0,Unfolded Node2Vec
1110,0.0,Unfolded Node2Vec
1118,0.0,Unfolded Node2Vec
1126,0.0,Unfolded Node2Vec
1134,0.0,Unfolded Node2Vec
1142,0.002,Unfolded Node2Vec
1150,0.0,Unfolded Node2Vec
1158,0.0,Unfolded Node2Vec
1166,0.001,Unfolded Node2Vec
1174,0.001,Unfolded Node2Vec
1182,0.0,Unfolded Node2Vec
1190,0.004,Unfolded Node2Vec
1198,0.0,Unfolded Node2Vec
1206,0.0,Unfolded Node2Vec
1214,0.0,Unfolded Node2Vec
1222,0.0,Unfolded Node2Vec
1230,0.0,Unfolded Node2Vec
1238,0.0,Unfolded Node2Vec
1246,0.0,Unfolded Node2Vec
1254,0.0,Unfolded Node2Vec
1262,0.001,Unfolded Node2Vec
1270,0.006,Unfolded Node2Vec
1278,0.0,Unfolded Node2Vec
1286,0.001,Unfolded Node2Vec
1294,0.0,Unfolded Node2Vec
1302,0.0,Unfolded Node2Vec
1310,0.001,Unfolded Node2Vec
1318,0.0,Unfolded Node2Vec
1326,0.0,Unfolded Node2Vec
1334,0.0,Unfolded Node2Vec
1342,0.0,Unfolded Node2Vec
1350,0.0,Unfolded Node2Vec
1358,0.0,Unfolded Node2Vec
1366,0.0,Unfolded Node2Vec
1374,0.0,Unfolded Node2Vec
1382,0.0,Unfolded Node2Vec
1390,0.0,Unfolded Node2Vec
1398,0.0,Unfolded Node2Vec
1406,0.0,Unfolded Node2Vec
1414,0.0,Unfolded Node2Vec
1422,0.0,Unfolded Node2Vec
1430,0.0,Unfolded Node2Vec
1438,0.0,Unfolded Node2Vec
1446,0.0,Unfolded Node2Vec
1454,0.0,Unfolded Node2Vec
1462,0.0,Unfolded Node2Vec
1470,0.005,Unfolded Node2Vec
1478,0.0,Unfolded Node2Vec
1486,0.0,Unfolded Node2Vec
1494,0.0,Unfolded Node2Vec
1502,0.001,Unfolded Node2Vec
1510,0.0,Unfolded Node2Vec
1518,0.013000000000000001,Unfolded Node2Vec
1526,0.0,Unfolded Node2Vec
1534,0.0,Unfolded Node2Vec
1542,0.0,Unfolded Node2Vec
1550,0.0,Unfolded Node2Vec
1558,0.015,Unfolded Node2Vec
1566,0.003,Unfolded Node2Vec
1574,0.0,Unfolded Node2Vec
1582,0.0,Unfolded Node2Vec
1590,0.0,Unfolded Node2Vec
1598,0.0,Unfolded Node2Vec
