,p_hat,method
1,0.0,Dynamic Skip Gram
3,0.089,Dynamic Skip Gram
5,0.053,Dynamic Skip Gram
7,0.178,Dynamic Skip Gram
9,0.0,Dynamic Skip Gram
11,0.07200000000000001,Dynamic Skip Gram
13,0.0,Dynamic Skip Gram
15,0.07,Dynamic Skip Gram
17,0.003,Dynamic Skip Gram
19,0.0,Dynamic Skip Gram
21,0.01,Dynamic Skip Gram
23,0.0,Dynamic Skip Gram
25,0.073,Dynamic Skip Gram
27,0.0,Dynamic Skip Gram
29,0.5700000000000001,Dynamic Skip Gram
31,0.0,Dynamic Skip Gram
33,0.001,Dynamic Skip Gram
35,0.0,Dynamic Skip Gram
37,0.0,Dynamic Skip Gram
39,0.0,Dynamic Skip Gram
41,0.358,Dynamic Skip Gram
43,0.021,Dynamic Skip Gram
45,0.0,Dynamic Skip Gram
47,0.043000000000000003,Dynamic Skip Gram
49,0.0,Dynamic Skip Gram
51,0.0,Dynamic Skip Gram
53,0.196,Dynamic Skip Gram
55,0.212,Dynamic Skip Gram
57,0.0,Dynamic Skip Gram
59,0.006,Dynamic Skip Gram
61,0.0,Dynamic Skip Gram
63,0.0,Dynamic Skip Gram
65,0.013000000000000001,Dynamic Skip Gram
67,0.0,Dynamic Skip Gram
69,0.233,Dynamic Skip Gram
71,0.0,Dynamic Skip Gram
73,0.099,Dynamic Skip Gram
75,0.007,Dynamic Skip Gram
77,0.0,Dynamic Skip Gram
79,0.0,Dynamic Skip Gram
81,0.0,Dynamic Skip Gram
83,0.013000000000000001,Dynamic Skip Gram
85,0.0,Dynamic Skip Gram
87,0.0,Dynamic Skip Gram
89,0.015,Dynamic Skip Gram
91,0.25,Dynamic Skip Gram
93,0.0,Dynamic Skip Gram
95,0.001,Dynamic Skip Gram
97,0.122,Dynamic Skip Gram
99,0.0,Dynamic Skip Gram
101,0.0,Dynamic Skip Gram
103,0.009000000000000001,Dynamic Skip Gram
105,0.0,Dynamic Skip Gram
107,0.001,Dynamic Skip Gram
109,0.077,Dynamic Skip Gram
111,0.0,Dynamic Skip Gram
113,0.004,Dynamic Skip Gram
115,0.0,Dynamic Skip Gram
117,0.0,Dynamic Skip Gram
119,0.0,Dynamic Skip Gram
121,0.001,Dynamic Skip Gram
123,0.0,Dynamic Skip Gram
125,0.0,Dynamic Skip Gram
127,0.0,Dynamic Skip Gram
129,0.0,Dynamic Skip Gram
131,0.08600000000000001,Dynamic Skip Gram
133,0.012,Dynamic Skip Gram
135,0.0,Dynamic Skip Gram
137,0.026000000000000002,Dynamic Skip Gram
139,0.0,Dynamic Skip Gram
141,0.128,Dynamic Skip Gram
143,0.002,Dynamic Skip Gram
145,0.0,Dynamic Skip Gram
147,0.019,Dynamic Skip Gram
149,0.0,Dynamic Skip Gram
151,0.049,Dynamic Skip Gram
153,0.03,Dynamic Skip Gram
155,0.008,Dynamic Skip Gram
157,0.0,Dynamic Skip Gram
159,0.0,Dynamic Skip Gram
161,0.006,Dynamic Skip Gram
163,0.59,Dynamic Skip Gram
165,0.034,Dynamic Skip Gram
167,0.0,Dynamic Skip Gram
169,0.001,Dynamic Skip Gram
171,0.0,Dynamic Skip Gram
173,0.0,Dynamic Skip Gram
175,0.11900000000000001,Dynamic Skip Gram
177,0.718,Dynamic Skip Gram
179,0.0,Dynamic Skip Gram
181,0.0,Dynamic Skip Gram
183,0.20700000000000002,Dynamic Skip Gram
185,0.002,Dynamic Skip Gram
187,0.402,Dynamic Skip Gram
189,0.0,Dynamic Skip Gram
191,0.0,Dynamic Skip Gram
193,0.07100000000000001,Dynamic Skip Gram
195,0.0,Dynamic Skip Gram
197,0.258,Dynamic Skip Gram
199,0.0,Dynamic Skip Gram
201,0.082,Dynamic Skip Gram
203,0.0,Dynamic Skip Gram
205,0.016,Dynamic Skip Gram
207,0.811,Dynamic Skip Gram
209,0.0,Dynamic Skip Gram
211,0.0,Dynamic Skip Gram
213,0.002,Dynamic Skip Gram
215,0.0,Dynamic Skip Gram
217,0.012,Dynamic Skip Gram
219,0.0,Dynamic Skip Gram
221,0.0,Dynamic Skip Gram
