,p_hat,method
7,0.018000000000000002,GloDyNE
15,0.10400000000000001,GloDyNE
23,0.095,GloDyNE
31,0.058,GloDyNE
39,0.03,GloDyNE
47,0.153,GloDyNE
55,0.059000000000000004,GloDyNE
63,0.073,GloDyNE
71,0.192,GloDyNE
79,0.097,GloDyNE
87,0.065,GloDyNE
95,0.159,GloDyNE
103,0.109,GloDyNE
111,0.111,GloDyNE
119,0.16,GloDyNE
127,0.06,GloDyNE
135,0.109,GloDyNE
143,0.13,GloDyNE
151,0.124,GloDyNE
159,0.08,GloDyNE
167,0.10200000000000001,GloDyNE
175,0.099,GloDyNE
183,0.089,GloDyNE
191,0.10200000000000001,GloDyNE
199,0.129,GloDyNE
207,0.187,GloDyNE
215,0.222,GloDyNE
223,0.169,GloDyNE
231,0.063,GloDyNE
239,0.044,GloDyNE
247,0.049,GloDyNE
255,0.23800000000000002,GloDyNE
263,0.14400000000000002,GloDyNE
271,0.105,GloDyNE
279,0.092,GloDyNE
287,0.132,GloDyNE
295,0.121,GloDyNE
303,0.101,GloDyNE
311,0.114,GloDyNE
319,0.133,GloDyNE
327,0.17300000000000001,GloDyNE
335,0.037,GloDyNE
343,0.17500000000000002,GloDyNE
351,0.153,GloDyNE
359,0.107,GloDyNE
367,0.159,GloDyNE
375,0.095,GloDyNE
383,0.10200000000000001,GloDyNE
391,0.116,GloDyNE
399,0.08,GloDyNE
407,0.083,GloDyNE
415,0.09,GloDyNE
423,0.13,GloDyNE
431,0.14300000000000002,GloDyNE
439,0.156,GloDyNE
447,0.044,GloDyNE
455,0.098,GloDyNE
463,0.099,GloDyNE
471,0.105,GloDyNE
479,0.096,GloDyNE
487,0.134,GloDyNE
495,0.18,GloDyNE
503,0.06,GloDyNE
511,0.133,GloDyNE
519,0.127,GloDyNE
527,0.19,GloDyNE
535,0.148,GloDyNE
543,0.117,GloDyNE
551,0.153,GloDyNE
559,0.11900000000000001,GloDyNE
567,0.209,GloDyNE
575,0.17,GloDyNE
583,0.1,GloDyNE
591,0.043000000000000003,GloDyNE
599,0.153,GloDyNE
607,0.20500000000000002,GloDyNE
615,0.095,GloDyNE
623,0.065,GloDyNE
631,0.115,GloDyNE
639,0.131,GloDyNE
647,0.17,GloDyNE
655,0.062,GloDyNE
663,0.092,GloDyNE
671,0.177,GloDyNE
679,0.108,GloDyNE
687,0.155,GloDyNE
695,0.14200000000000002,GloDyNE
703,0.199,GloDyNE
711,0.111,GloDyNE
719,0.018000000000000002,GloDyNE
727,0.138,GloDyNE
735,0.052000000000000005,GloDyNE
743,0.194,GloDyNE
751,0.089,GloDyNE
759,0.081,GloDyNE
767,0.129,GloDyNE
775,0.138,GloDyNE
783,0.16,GloDyNE
791,0.18,GloDyNE
799,0.123,GloDyNE
807,0.163,GloDyNE
815,0.198,GloDyNE
823,0.098,GloDyNE
831,0.14400000000000002,GloDyNE
839,0.162,GloDyNE
847,0.017,GloDyNE
855,0.114,GloDyNE
863,0.123,GloDyNE
871,0.214,GloDyNE
879,0.14400000000000002,GloDyNE
887,0.073,GloDyNE
895,0.125,GloDyNE
903,0.091,GloDyNE
911,0.227,GloDyNE
919,0.123,GloDyNE
927,0.107,GloDyNE
935,0.092,GloDyNE
943,0.11900000000000001,GloDyNE
951,0.034,GloDyNE
959,0.116,GloDyNE
967,0.147,GloDyNE
975,0.125,GloDyNE
983,0.064,GloDyNE
991,0.126,GloDyNE
999,0.106,GloDyNE
1007,0.1,GloDyNE
1015,0.098,GloDyNE
1023,0.113,GloDyNE
1031,0.10300000000000001,GloDyNE
1039,0.045,GloDyNE
1047,0.07,GloDyNE
1055,0.115,GloDyNE
1063,0.147,GloDyNE
1071,0.187,GloDyNE
1079,0.168,GloDyNE
1087,0.128,GloDyNE
1095,0.079,GloDyNE
1103,0.136,GloDyNE
1111,0.161,GloDyNE
1119,0.127,GloDyNE
1127,0.124,GloDyNE
1135,0.139,GloDyNE
1143,0.076,GloDyNE
1151,0.158,GloDyNE
1159,0.045,GloDyNE
1167,0.042,GloDyNE
1175,0.054,GloDyNE
1183,0.193,GloDyNE
1191,0.076,GloDyNE
1199,0.157,GloDyNE
1207,0.13,GloDyNE
1215,0.061,GloDyNE
1223,0.051000000000000004,GloDyNE
1231,0.153,GloDyNE
1239,0.056,GloDyNE
1247,0.117,GloDyNE
1255,0.23900000000000002,GloDyNE
1263,0.10400000000000001,GloDyNE
1271,0.077,GloDyNE
1279,0.11800000000000001,GloDyNE
1287,0.127,GloDyNE
1295,0.101,GloDyNE
1303,0.159,GloDyNE
1311,0.131,GloDyNE
1319,0.196,GloDyNE
1327,0.029,GloDyNE
1335,0.067,GloDyNE
1343,0.165,GloDyNE
1351,0.116,GloDyNE
1359,0.091,GloDyNE
1367,0.07,GloDyNE
1375,0.094,GloDyNE
1383,0.052000000000000005,GloDyNE
1391,0.11,GloDyNE
1399,0.048,GloDyNE
1407,0.126,GloDyNE
1415,0.016,GloDyNE
1423,0.115,GloDyNE
1431,0.10400000000000001,GloDyNE
1439,0.20600000000000002,GloDyNE
1447,0.178,GloDyNE
1455,0.055,GloDyNE
1463,0.116,GloDyNE
1471,0.16,GloDyNE
1479,0.089,GloDyNE
1487,0.066,GloDyNE
1495,0.133,GloDyNE
1503,0.115,GloDyNE
1511,0.106,GloDyNE
1519,0.093,GloDyNE
1527,0.06,GloDyNE
1535,0.034,GloDyNE
1543,0.132,GloDyNE
1551,0.079,GloDyNE
1559,0.11,GloDyNE
1567,0.113,GloDyNE
1575,0.107,GloDyNE
