,p_hat,method
2,0.388,OMNI
10,0.12,OMNI
18,0.647,OMNI
26,0.182,OMNI
34,0.927,OMNI
42,0.382,OMNI
50,0.318,OMNI
58,0.24,OMNI
66,0.6970000000000001,OMNI
74,0.554,OMNI
82,0.924,OMNI
90,0.17500000000000002,OMNI
98,0.28700000000000003,OMNI
106,0.806,OMNI
114,0.5720000000000001,OMNI
122,0.1,OMNI
130,0.92,OMNI
138,0.213,OMNI
146,0.797,OMNI
154,0.5,OMNI
162,0.6910000000000001,OMNI
170,0.445,OMNI
178,0.359,OMNI
186,0.748,OMNI
194,0.47200000000000003,OMNI
202,0.927,OMNI
210,0.632,OMNI
218,0.545,OMNI
226,0.902,OMNI
234,0.23800000000000002,OMNI
242,0.126,OMNI
250,0.9430000000000001,OMNI
258,0.444,OMNI
266,0.891,OMNI
274,0.132,OMNI
282,0.749,OMNI
290,0.281,OMNI
298,0.483,OMNI
306,0.641,OMNI
314,0.842,OMNI
322,0.779,OMNI
330,0.934,OMNI
338,0.39,OMNI
346,0.026000000000000002,OMNI
354,0.5,OMNI
362,0.296,OMNI
370,0.68,OMNI
378,0.128,OMNI
386,0.157,OMNI
394,0.169,OMNI
402,0.004,OMNI
410,0.767,OMNI
418,0.125,OMNI
426,0.717,OMNI
434,0.491,OMNI
442,0.337,OMNI
450,0.47700000000000004,OMNI
458,0.715,OMNI
466,0.529,OMNI
474,0.266,OMNI
482,0.78,OMNI
490,0.154,OMNI
498,0.62,OMNI
506,0.909,OMNI
514,0.396,OMNI
522,0.045,OMNI
530,0.805,OMNI
538,0.201,OMNI
546,0.62,OMNI
554,0.384,OMNI
562,0.599,OMNI
570,0.8200000000000001,OMNI
578,0.094,OMNI
586,0.5660000000000001,OMNI
594,0.973,OMNI
602,0.718,OMNI
610,0.47300000000000003,OMNI
618,0.105,OMNI
626,0.209,OMNI
634,0.032,OMNI
642,0.196,OMNI
650,0.234,OMNI
658,0.791,OMNI
666,0.966,OMNI
674,0.433,OMNI
682,0.483,OMNI
690,0.308,OMNI
698,0.068,OMNI
706,0.604,OMNI
714,0.055,OMNI
722,0.674,OMNI
730,0.866,OMNI
738,0.6980000000000001,OMNI
746,0.017,OMNI
754,0.776,OMNI
762,0.734,OMNI
770,0.108,OMNI
778,0.215,OMNI
786,0.124,OMNI
794,0.163,OMNI
802,0.159,OMNI
810,0.214,OMNI
818,0.712,OMNI
826,0.17,OMNI
834,0.49,OMNI
842,0.898,OMNI
850,0.153,OMNI
858,0.337,OMNI
866,0.404,OMNI
874,0.88,OMNI
882,0.306,OMNI
890,0.34600000000000003,OMNI
898,0.937,OMNI
906,0.49,OMNI
914,0.068,OMNI
922,0.704,OMNI
930,0.405,OMNI
938,0.399,OMNI
946,0.156,OMNI
954,0.8320000000000001,OMNI
962,0.402,OMNI
970,0.401,OMNI
978,0.719,OMNI
986,0.0,OMNI
994,0.198,OMNI
1002,0.662,OMNI
1010,0.218,OMNI
1018,0.623,OMNI
1026,0.098,OMNI
1034,0.187,OMNI
1042,0.057,OMNI
1050,0.8250000000000001,OMNI
1058,0.612,OMNI
1066,0.854,OMNI
1074,0.961,OMNI
1082,0.082,OMNI
1090,0.519,OMNI
1098,0.81,OMNI
1106,0.556,OMNI
1114,0.49,OMNI
1122,0.08,OMNI
1130,0.376,OMNI
1138,0.34400000000000003,OMNI
1146,0.34500000000000003,OMNI
1154,0.854,OMNI
1162,0.78,OMNI
1170,0.641,OMNI
1178,0.708,OMNI
1186,0.618,OMNI
1194,0.468,OMNI
1202,0.451,OMNI
1210,0.933,OMNI
1218,0.638,OMNI
1226,0.339,OMNI
1234,0.078,OMNI
1242,0.505,OMNI
1250,0.65,OMNI
1258,0.483,OMNI
1266,0.99,OMNI
1274,0.012,OMNI
1282,0.496,OMNI
1290,0.722,OMNI
1298,0.34800000000000003,OMNI
1306,0.881,OMNI
1314,0.577,OMNI
1322,0.441,OMNI
1330,0.98,OMNI
1338,0.997,OMNI
1346,0.6910000000000001,OMNI
1354,0.151,OMNI
1362,0.447,OMNI
1370,0.838,OMNI
1378,0.47400000000000003,OMNI
1386,0.856,OMNI
1394,0.807,OMNI
1402,0.358,OMNI
1410,0.403,OMNI
1418,0.47200000000000003,OMNI
1426,0.746,OMNI
1434,0.243,OMNI
1442,0.229,OMNI
1450,0.263,OMNI
1458,0.18,OMNI
1466,0.582,OMNI
1474,0.617,OMNI
1482,0.597,OMNI
1490,0.642,OMNI
1498,0.065,OMNI
1506,0.5630000000000001,OMNI
1514,0.678,OMNI
1522,0.5740000000000001,OMNI
1530,0.437,OMNI
1538,0.596,OMNI
1546,0.124,OMNI
1554,0.588,OMNI
1562,0.617,OMNI
1570,0.271,OMNI
1578,0.125,OMNI
1586,0.877,OMNI
1594,0.911,OMNI
