,p_hat,method
1,0.211,SSE Procrustes
9,0.453,SSE Procrustes
17,0.886,SSE Procrustes
25,0.507,SSE Procrustes
33,0.78,SSE Procrustes
41,0.92,SSE Procrustes
49,0.2,SSE Procrustes
57,0.429,SSE Procrustes
65,0.604,SSE Procrustes
73,0.924,SSE Procrustes
81,0.167,SSE Procrustes
89,0.609,SSE Procrustes
97,0.064,SSE Procrustes
105,0.028,SSE Procrustes
113,0.922,SSE Procrustes
121,0.006,SSE Procrustes
129,0.9490000000000001,SSE Procrustes
137,0.516,SSE Procrustes
145,0.079,SSE Procrustes
153,0.001,SSE Procrustes
161,0.836,SSE Procrustes
169,0.185,SSE Procrustes
177,0.134,SSE Procrustes
185,0.254,SSE Procrustes
193,0.138,SSE Procrustes
201,0.001,SSE Procrustes
209,0.055,SSE Procrustes
217,0.6,SSE Procrustes
225,0.589,SSE Procrustes
233,0.196,SSE Procrustes
241,0.8250000000000001,SSE Procrustes
249,0.47800000000000004,SSE Procrustes
257,0.244,SSE Procrustes
265,0.843,SSE Procrustes
273,0.025,SSE Procrustes
281,0.462,SSE Procrustes
289,0.899,SSE Procrustes
297,0.632,SSE Procrustes
305,0.106,SSE Procrustes
313,0.981,SSE Procrustes
321,0.5650000000000001,SSE Procrustes
329,0.361,SSE Procrustes
337,0.812,SSE Procrustes
345,0.076,SSE Procrustes
353,0.616,SSE Procrustes
361,0.965,SSE Procrustes
369,0.033,SSE Procrustes
377,0.463,SSE Procrustes
385,0.006,SSE Procrustes
393,0.343,SSE Procrustes
401,0.75,SSE Procrustes
409,0.014,SSE Procrustes
417,0.215,SSE Procrustes
425,0.382,SSE Procrustes
433,0.35000000000000003,SSE Procrustes
441,0.707,SSE Procrustes
449,0.355,SSE Procrustes
457,0.027,SSE Procrustes
465,0.5640000000000001,SSE Procrustes
473,0.291,SSE Procrustes
481,0.429,SSE Procrustes
489,0.111,SSE Procrustes
497,0.016,SSE Procrustes
505,0.496,SSE Procrustes
513,0.045,SSE Procrustes
521,0.9550000000000001,SSE Procrustes
529,0.456,SSE Procrustes
537,0.128,SSE Procrustes
545,0.649,SSE Procrustes
553,0.898,SSE Procrustes
561,0.591,SSE Procrustes
569,0.807,SSE Procrustes
577,0.332,SSE Procrustes
585,0.51,SSE Procrustes
593,0.023,SSE Procrustes
601,0.864,SSE Procrustes
609,0.47500000000000003,SSE Procrustes
617,0.799,SSE Procrustes
625,0.341,SSE Procrustes
633,0.055,SSE Procrustes
641,0.228,SSE Procrustes
649,0.272,SSE Procrustes
657,0.107,SSE Procrustes
665,0.597,SSE Procrustes
673,0.985,SSE Procrustes
681,0.425,SSE Procrustes
689,0.001,SSE Procrustes
697,0.984,SSE Procrustes
705,0.025,SSE Procrustes
713,0.012,SSE Procrustes
721,0.711,SSE Procrustes
729,0.594,SSE Procrustes
737,0.652,SSE Procrustes
745,0.905,SSE Procrustes
753,0.325,SSE Procrustes
761,0.253,SSE Procrustes
769,0.007,SSE Procrustes
777,0.057,SSE Procrustes
785,0.215,SSE Procrustes
793,0.211,SSE Procrustes
801,0.092,SSE Procrustes
809,0.093,SSE Procrustes
817,0.006,SSE Procrustes
825,0.298,SSE Procrustes
833,0.8260000000000001,SSE Procrustes
841,0.022,SSE Procrustes
849,0.923,SSE Procrustes
857,0.9420000000000001,SSE Procrustes
865,0.617,SSE Procrustes
873,0.491,SSE Procrustes
881,0.837,SSE Procrustes
889,0.07200000000000001,SSE Procrustes
897,0.079,SSE Procrustes
905,0.88,SSE Procrustes
913,0.265,SSE Procrustes
921,0.868,SSE Procrustes
929,0.79,SSE Procrustes
937,0.796,SSE Procrustes
945,0.248,SSE Procrustes
953,0.898,SSE Procrustes
961,0.082,SSE Procrustes
969,0.882,SSE Procrustes
977,0.148,SSE Procrustes
985,0.20400000000000001,SSE Procrustes
993,0.41200000000000003,SSE Procrustes
1001,0.579,SSE Procrustes
1009,0.334,SSE Procrustes
1017,0.487,SSE Procrustes
1025,0.001,SSE Procrustes
1033,0.397,SSE Procrustes
1041,0.687,SSE Procrustes
1049,0.9590000000000001,SSE Procrustes
1057,0.166,SSE Procrustes
1065,0.444,SSE Procrustes
1073,0.528,SSE Procrustes
1081,0.58,SSE Procrustes
1089,0.16,SSE Procrustes
1097,0.625,SSE Procrustes
1105,0.995,SSE Procrustes
1113,0.797,SSE Procrustes
1121,0.232,SSE Procrustes
1129,0.427,SSE Procrustes
1137,0.846,SSE Procrustes
1145,0.789,SSE Procrustes
1153,0.526,SSE Procrustes
1161,0.19,SSE Procrustes
1169,0.23600000000000002,SSE Procrustes
1177,0.745,SSE Procrustes
1185,0.751,SSE Procrustes
1193,0.557,SSE Procrustes
1201,0.327,SSE Procrustes
1209,0.741,SSE Procrustes
1217,0.543,SSE Procrustes
1225,0.299,SSE Procrustes
1233,0.40800000000000003,SSE Procrustes
1241,0.396,SSE Procrustes
1249,0.888,SSE Procrustes
1257,0.052000000000000005,SSE Procrustes
1265,0.048,SSE Procrustes
1273,0.425,SSE Procrustes
1281,0.709,SSE Procrustes
1289,0.898,SSE Procrustes
1297,0.483,SSE Procrustes
1305,0.303,SSE Procrustes
1313,0.291,SSE Procrustes
1321,0.636,SSE Procrustes
1329,0.05,SSE Procrustes
1337,0.461,SSE Procrustes
1345,0.0,SSE Procrustes
1353,0.214,SSE Procrustes
1361,0.005,SSE Procrustes
1369,0.243,SSE Procrustes
1377,0.926,SSE Procrustes
1385,0.001,SSE Procrustes
1393,0.266,SSE Procrustes
1401,0.222,SSE Procrustes
1409,0.099,SSE Procrustes
1417,0.35000000000000003,SSE Procrustes
1425,0.028,SSE Procrustes
1433,0.38,SSE Procrustes
1441,0.436,SSE Procrustes
1449,0.864,SSE Procrustes
1457,0.115,SSE Procrustes
1465,0.8160000000000001,SSE Procrustes
1473,0.023,SSE Procrustes
1481,0.897,SSE Procrustes
1489,0.74,SSE Procrustes
1497,0.981,SSE Procrustes
1505,0.0,SSE Procrustes
1513,0.296,SSE Procrustes
1521,0.789,SSE Procrustes
1529,0.6990000000000001,SSE Procrustes
1537,0.009000000000000001,SSE Procrustes
1545,0.101,SSE Procrustes
1553,0.08,SSE Procrustes
1561,0.008,SSE Procrustes
1569,0.875,SSE Procrustes
1577,0.485,SSE Procrustes
1585,0.158,SSE Procrustes
1593,0.62,SSE Procrustes
