,p_hat,method
0,0.132,SSE
1,0.9470000000000001,SSE
2,0.007,SSE
3,0.612,SSE
4,0.727,SSE
5,0.998,SSE
6,0.7010000000000001,SSE
7,0.261,SSE
8,0.266,SSE
9,0.436,SSE
10,0.164,SSE
11,0.996,SSE
12,0.164,SSE
13,0.7030000000000001,SSE
14,0.594,SSE
15,0.401,SSE
16,0.06,SSE
17,0.135,SSE
18,0.128,SSE
19,0.353,SSE
20,0.706,SSE
21,0.644,SSE
22,0.194,SSE
23,0.5710000000000001,SSE
24,0.307,SSE
25,0.108,SSE
26,0.712,SSE
27,0.622,SSE
28,0.519,SSE
29,0.02,SSE
30,0.1,SSE
31,0.6880000000000001,SSE
32,0.005,SSE
33,0.983,SSE
34,0.5650000000000001,SSE
35,0.41600000000000004,SSE
36,0.186,SSE
37,0.623,SSE
38,0.491,SSE
39,0.925,SSE
40,0.929,SSE
41,0.089,SSE
42,0.676,SSE
43,0.009000000000000001,SSE
44,0.8130000000000001,SSE
45,0.379,SSE
46,0.215,SSE
47,0.804,SSE
48,0.051000000000000004,SSE
49,0.194,SSE
50,0.66,SSE
51,0.491,SSE
52,0.907,SSE
53,0.765,SSE
54,0.074,SSE
55,0.063,SSE
56,0.279,SSE
57,0.145,SSE
58,0.916,SSE
59,0.339,SSE
60,0.40800000000000003,SSE
61,0.795,SSE
62,0.488,SSE
63,0.176,SSE
64,0.919,SSE
65,0.377,SSE
66,0.736,SSE
67,0.41300000000000003,SSE
68,0.777,SSE
69,0.003,SSE
70,0.332,SSE
71,0.117,SSE
72,0.533,SSE
73,0.838,SSE
74,0.139,SSE
75,0.765,SSE
76,0.394,SSE
77,0.75,SSE
78,0.864,SSE
79,0.674,SSE
80,0.5750000000000001,SSE
81,0.079,SSE
82,0.562,SSE
83,0.216,SSE
84,0.486,SSE
85,0.47900000000000004,SSE
86,0.038,SSE
87,0.8290000000000001,SSE
88,0.557,SSE
89,0.557,SSE
90,0.99,SSE
91,0.622,SSE
92,0.02,SSE
93,0.659,SSE
94,0.759,SSE
95,0.338,SSE
96,0.019,SSE
97,0.356,SSE
98,0.47300000000000003,SSE
99,0.647,SSE
100,0.267,SSE
101,0.002,SSE
102,0.541,SSE
103,0.024,SSE
104,0.884,SSE
105,0.31,SSE
106,0.605,SSE
107,0.355,SSE
108,0.9390000000000001,SSE
109,0.049,SSE
110,0.275,SSE
111,0.6900000000000001,SSE
112,0.5670000000000001,SSE
113,0.989,SSE
114,0.456,SSE
115,0.902,SSE
116,0.20500000000000002,SSE
117,0.611,SSE
118,0.509,SSE
119,0.115,SSE
120,0.87,SSE
121,0.266,SSE
122,0.525,SSE
123,0.985,SSE
124,0.93,SSE
125,0.673,SSE
126,0.257,SSE
127,0.242,SSE
128,0.775,SSE
129,0.184,SSE
130,0.006,SSE
131,0.28800000000000003,SSE
132,0.833,SSE
133,0.86,SSE
134,0.8260000000000001,SSE
135,0.157,SSE
136,0.486,SSE
137,0.255,SSE
138,0.836,SSE
139,0.5730000000000001,SSE
140,0.162,SSE
141,0.035,SSE
142,0.222,SSE
143,0.9470000000000001,SSE
144,0.23800000000000002,SSE
145,0.765,SSE
146,0.675,SSE
147,0.648,SSE
148,0.9450000000000001,SSE
149,0.44,SSE
150,0.539,SSE
151,0.795,SSE
152,0.595,SSE
153,0.152,SSE
154,0.659,SSE
155,0.976,SSE
156,0.453,SSE
157,0.845,SSE
158,0.226,SSE
159,0.28200000000000003,SSE
160,0.157,SSE
161,0.5,SSE
162,0.55,SSE
163,0.043000000000000003,SSE
164,0.298,SSE
165,0.551,SSE
166,0.741,SSE
167,0.458,SSE
168,0.467,SSE
169,0.978,SSE
170,0.03,SSE
171,0.597,SSE
172,0.293,SSE
173,0.8280000000000001,SSE
174,0.613,SSE
175,0.188,SSE
176,0.217,SSE
177,0.363,SSE
178,0.194,SSE
179,0.405,SSE
180,0.083,SSE
181,0.156,SSE
182,0.368,SSE
183,0.426,SSE
184,0.621,SSE
185,0.278,SSE
186,0.28300000000000003,SSE
187,0.17300000000000001,SSE
188,0.274,SSE
189,0.011,SSE
190,0.219,SSE
191,0.594,SSE
192,0.004,SSE
193,0.834,SSE
194,0.507,SSE
195,0.093,SSE
196,0.319,SSE
197,0.333,SSE
198,0.065,SSE
199,0.488,SSE
