,p_hat,method
3,0.115,UASE
11,0.503,UASE
19,0.053,UASE
27,0.342,UASE
35,0.061,UASE
43,0.793,UASE
51,0.8310000000000001,UASE
59,0.686,UASE
67,0.651,UASE
75,0.0,UASE
83,0.967,UASE
91,0.916,UASE
99,0.742,UASE
107,0.809,UASE
115,0.38,UASE
123,0.05,UASE
131,0.47400000000000003,UASE
139,0.678,UASE
147,0.918,UASE
155,0.376,UASE
163,0.783,UASE
171,0.47700000000000004,UASE
179,0.215,UASE
187,0.491,UASE
195,0.84,UASE
203,0.759,UASE
211,0.108,UASE
219,0.748,UASE
227,0.648,UASE
235,0.524,UASE
243,0.524,UASE
251,0.27,UASE
259,0.9580000000000001,UASE
267,0.502,UASE
275,0.432,UASE
283,0.446,UASE
291,0.199,UASE
299,0.12,UASE
307,0.742,UASE
315,0.28600000000000003,UASE
323,0.997,UASE
331,0.932,UASE
339,0.738,UASE
347,0.439,UASE
355,0.907,UASE
363,0.02,UASE
371,0.201,UASE
379,0.242,UASE
387,0.515,UASE
395,0.517,UASE
403,0.368,UASE
411,0.8290000000000001,UASE
419,0.234,UASE
427,0.581,UASE
435,0.616,UASE
443,0.302,UASE
451,0.686,UASE
459,0.449,UASE
467,0.056,UASE
475,0.9410000000000001,UASE
483,0.278,UASE
491,0.211,UASE
499,0.317,UASE
507,0.423,UASE
515,0.08600000000000001,UASE
523,0.899,UASE
531,0.518,UASE
539,0.925,UASE
547,0.234,UASE
555,0.5,UASE
563,0.10300000000000001,UASE
571,1.0,UASE
579,0.8160000000000001,UASE
587,0.617,UASE
595,0.065,UASE
603,0.711,UASE
611,0.758,UASE
619,0.5730000000000001,UASE
627,0.28200000000000003,UASE
635,0.755,UASE
643,0.426,UASE
651,0.448,UASE
659,0.146,UASE
667,0.8170000000000001,UASE
675,0.645,UASE
683,0.922,UASE
691,0.906,UASE
699,0.433,UASE
707,0.09,UASE
715,0.34,UASE
723,0.899,UASE
731,0.255,UASE
739,0.872,UASE
747,0.006,UASE
755,0.899,UASE
763,0.989,UASE
771,0.5730000000000001,UASE
779,0.203,UASE
787,0.051000000000000004,UASE
795,0.809,UASE
803,0.34600000000000003,UASE
811,0.641,UASE
819,0.32,UASE
827,0.446,UASE
835,0.733,UASE
843,0.779,UASE
851,0.371,UASE
859,0.07,UASE
867,0.08600000000000001,UASE
875,0.398,UASE
883,0.139,UASE
891,0.11,UASE
899,0.834,UASE
907,0.468,UASE
915,0.224,UASE
923,0.378,UASE
931,0.806,UASE
939,0.536,UASE
947,0.424,UASE
955,0.932,UASE
963,0.686,UASE
971,0.914,UASE
979,0.09,UASE
987,0.909,UASE
995,0.975,UASE
1003,0.23900000000000002,UASE
1011,0.665,UASE
1019,0.626,UASE
1027,0.424,UASE
1035,0.72,UASE
1043,0.426,UASE
1051,0.87,UASE
1059,0.148,UASE
1067,0.609,UASE
1075,0.279,UASE
1083,0.369,UASE
1091,0.735,UASE
1099,0.56,UASE
1107,0.28700000000000003,UASE
1115,0.448,UASE
1123,0.187,UASE
1131,0.18,UASE
1139,0.666,UASE
1147,0.8200000000000001,UASE
1155,0.736,UASE
1163,0.199,UASE
1171,0.44,UASE
1179,0.28,UASE
1187,0.725,UASE
1195,0.993,UASE
1203,0.897,UASE
1211,0.182,UASE
1219,0.251,UASE
1227,0.559,UASE
1235,0.158,UASE
1243,0.871,UASE
1251,0.069,UASE
1259,0.7010000000000001,UASE
1267,0.374,UASE
1275,0.5640000000000001,UASE
1283,0.10400000000000001,UASE
1291,0.14300000000000002,UASE
1299,0.844,UASE
1307,0.442,UASE
1315,0.732,UASE
1323,0.251,UASE
1331,0.924,UASE
1339,0.442,UASE
1347,0.647,UASE
1355,0.908,UASE
1363,0.512,UASE
1371,0.41400000000000003,UASE
1379,0.759,UASE
1387,0.04,UASE
1395,0.216,UASE
1403,0.878,UASE
1411,0.36,UASE
1419,0.773,UASE
1427,0.674,UASE
1435,0.299,UASE
1443,0.178,UASE
1451,0.271,UASE
1459,0.016,UASE
1467,0.798,UASE
1475,0.449,UASE
1483,0.647,UASE
1491,0.8290000000000001,UASE
1499,0.015,UASE
1507,0.081,UASE
1515,0.332,UASE
1523,0.133,UASE
1531,0.672,UASE
1539,0.485,UASE
1547,0.46900000000000003,UASE
1555,0.34,UASE
1563,0.988,UASE
1571,0.487,UASE
1579,0.92,UASE
1587,0.202,UASE
1595,0.252,UASE
