,p_hat,method
4,0.153,URLSE
12,0.539,URLSE
20,0.059000000000000004,URLSE
28,0.399,URLSE
36,0.05,URLSE
44,0.789,URLSE
52,0.8250000000000001,URLSE
60,0.6950000000000001,URLSE
68,0.706,URLSE
76,0.001,URLSE
84,0.972,URLSE
92,0.871,URLSE
100,0.718,URLSE
108,0.785,URLSE
116,0.389,URLSE
124,0.058,URLSE
132,0.456,URLSE
140,0.65,URLSE
148,0.936,URLSE
156,0.369,URLSE
164,0.8160000000000001,URLSE
172,0.528,URLSE
180,0.198,URLSE
188,0.47600000000000003,URLSE
196,0.847,URLSE
204,0.74,URLSE
212,0.096,URLSE
220,0.807,URLSE
228,0.632,URLSE
236,0.503,URLSE
244,0.501,URLSE
252,0.307,URLSE
260,0.9480000000000001,URLSE
268,0.406,URLSE
276,0.424,URLSE
284,0.47300000000000003,URLSE
292,0.20600000000000002,URLSE
300,0.113,URLSE
308,0.721,URLSE
316,0.306,URLSE
324,0.996,URLSE
332,0.905,URLSE
340,0.722,URLSE
348,0.444,URLSE
356,0.892,URLSE
364,0.022,URLSE
372,0.212,URLSE
380,0.23600000000000002,URLSE
388,0.506,URLSE
396,0.535,URLSE
404,0.422,URLSE
412,0.843,URLSE
420,0.228,URLSE
428,0.579,URLSE
436,0.638,URLSE
444,0.301,URLSE
452,0.704,URLSE
460,0.457,URLSE
468,0.058,URLSE
476,0.92,URLSE
484,0.297,URLSE
492,0.184,URLSE
500,0.34900000000000003,URLSE
508,0.444,URLSE
516,0.07100000000000001,URLSE
524,0.9,URLSE
532,0.542,URLSE
540,0.927,URLSE
548,0.25,URLSE
556,0.523,URLSE
564,0.068,URLSE
572,0.997,URLSE
580,0.866,URLSE
588,0.591,URLSE
596,0.049,URLSE
604,0.732,URLSE
612,0.77,URLSE
620,0.538,URLSE
628,0.257,URLSE
636,0.78,URLSE
644,0.483,URLSE
652,0.449,URLSE
660,0.14100000000000001,URLSE
668,0.8240000000000001,URLSE
676,0.668,URLSE
684,0.935,URLSE
692,0.875,URLSE
700,0.40700000000000003,URLSE
708,0.094,URLSE
716,0.361,URLSE
724,0.889,URLSE
732,0.255,URLSE
740,0.886,URLSE
748,0.007,URLSE
756,0.894,URLSE
764,0.991,URLSE
772,0.535,URLSE
780,0.209,URLSE
788,0.069,URLSE
796,0.836,URLSE
804,0.281,URLSE
812,0.628,URLSE
820,0.35100000000000003,URLSE
828,0.39,URLSE
836,0.6940000000000001,URLSE
844,0.765,URLSE
852,0.375,URLSE
860,0.076,URLSE
868,0.089,URLSE
876,0.426,URLSE
884,0.149,URLSE
892,0.11900000000000001,URLSE
900,0.837,URLSE
908,0.537,URLSE
916,0.226,URLSE
924,0.36,URLSE
932,0.8210000000000001,URLSE
940,0.528,URLSE
948,0.40800000000000003,URLSE
956,0.976,URLSE
964,0.641,URLSE
972,0.909,URLSE
980,0.078,URLSE
988,0.904,URLSE
996,0.985,URLSE
1004,0.248,URLSE
1012,0.66,URLSE
1020,0.626,URLSE
1028,0.418,URLSE
1036,0.657,URLSE
1044,0.40900000000000003,URLSE
1052,0.89,URLSE
1060,0.138,URLSE
1068,0.64,URLSE
1076,0.265,URLSE
1084,0.371,URLSE
1092,0.707,URLSE
1100,0.59,URLSE
1108,0.296,URLSE
1116,0.378,URLSE
1124,0.196,URLSE
1132,0.168,URLSE
1140,0.6900000000000001,URLSE
1148,0.835,URLSE
1156,0.745,URLSE
1164,0.20500000000000002,URLSE
1172,0.455,URLSE
1180,0.246,URLSE
1188,0.715,URLSE
1196,0.97,URLSE
1204,0.842,URLSE
1212,0.16,URLSE
1220,0.233,URLSE
1228,0.577,URLSE
1236,0.14100000000000001,URLSE
1244,0.871,URLSE
1252,0.067,URLSE
1260,0.761,URLSE
1268,0.331,URLSE
1276,0.492,URLSE
1284,0.092,URLSE
1292,0.161,URLSE
1300,0.866,URLSE
1308,0.439,URLSE
1316,0.743,URLSE
1324,0.20600000000000002,URLSE
1332,0.922,URLSE
1340,0.448,URLSE
1348,0.641,URLSE
1356,0.899,URLSE
1364,0.55,URLSE
1372,0.398,URLSE
1380,0.752,URLSE
1388,0.035,URLSE
1396,0.20800000000000002,URLSE
1404,0.898,URLSE
1412,0.367,URLSE
1420,0.792,URLSE
1428,0.724,URLSE
1436,0.268,URLSE
1444,0.167,URLSE
1452,0.281,URLSE
1460,0.023,URLSE
1468,0.8210000000000001,URLSE
1476,0.462,URLSE
1484,0.6890000000000001,URLSE
1492,0.8190000000000001,URLSE
1500,0.022,URLSE
1508,0.077,URLSE
1516,0.296,URLSE
1524,0.11900000000000001,URLSE
1532,0.672,URLSE
1540,0.495,URLSE
1548,0.443,URLSE
1556,0.343,URLSE
1564,0.982,URLSE
1572,0.532,URLSE
1580,0.923,URLSE
1588,0.195,URLSE
1596,0.244,URLSE
