,p_hat,method
6,0.041,Unfolded Node2Vec
14,0.664,Unfolded Node2Vec
22,0.654,Unfolded Node2Vec
30,0.881,Unfolded Node2Vec
38,0.116,Unfolded Node2Vec
46,0.54,Unfolded Node2Vec
54,0.07,Unfolded Node2Vec
62,0.153,Unfolded Node2Vec
70,0.9530000000000001,Unfolded Node2Vec
78,0.067,Unfolded Node2Vec
86,0.306,Unfolded Node2Vec
94,0.6890000000000001,Unfolded Node2Vec
102,0.963,Unfolded Node2Vec
110,0.227,Unfolded Node2Vec
118,0.974,Unfolded Node2Vec
126,0.035,Unfolded Node2Vec
134,0.899,Unfolded Node2Vec
142,0.368,Unfolded Node2Vec
150,0.774,Unfolded Node2Vec
158,0.14300000000000002,Unfolded Node2Vec
166,0.99,Unfolded Node2Vec
174,0.903,Unfolded Node2Vec
182,0.756,Unfolded Node2Vec
190,0.552,Unfolded Node2Vec
198,0.4,Unfolded Node2Vec
206,0.40900000000000003,Unfolded Node2Vec
214,0.725,Unfolded Node2Vec
222,0.901,Unfolded Node2Vec
230,0.021,Unfolded Node2Vec
238,0.558,Unfolded Node2Vec
246,0.8280000000000001,Unfolded Node2Vec
254,0.317,Unfolded Node2Vec
262,0.734,Unfolded Node2Vec
270,0.742,Unfolded Node2Vec
278,0.681,Unfolded Node2Vec
286,0.399,Unfolded Node2Vec
294,0.198,Unfolded Node2Vec
302,0.20400000000000001,Unfolded Node2Vec
310,0.6980000000000001,Unfolded Node2Vec
318,0.8270000000000001,Unfolded Node2Vec
326,0.933,Unfolded Node2Vec
334,0.909,Unfolded Node2Vec
342,0.124,Unfolded Node2Vec
350,0.932,Unfolded Node2Vec
358,0.752,Unfolded Node2Vec
366,0.495,Unfolded Node2Vec
374,0.8150000000000001,Unfolded Node2Vec
382,0.266,Unfolded Node2Vec
390,0.931,Unfolded Node2Vec
398,0.593,Unfolded Node2Vec
406,0.293,Unfolded Node2Vec
414,0.579,Unfolded Node2Vec
422,0.75,Unfolded Node2Vec
430,0.55,Unfolded Node2Vec
438,0.299,Unfolded Node2Vec
446,0.11800000000000001,Unfolded Node2Vec
454,0.112,Unfolded Node2Vec
462,0.606,Unfolded Node2Vec
470,0.9390000000000001,Unfolded Node2Vec
478,0.985,Unfolded Node2Vec
486,0.353,Unfolded Node2Vec
494,0.736,Unfolded Node2Vec
502,0.684,Unfolded Node2Vec
510,0.81,Unfolded Node2Vec
518,0.032,Unfolded Node2Vec
526,0.307,Unfolded Node2Vec
534,0.488,Unfolded Node2Vec
542,0.978,Unfolded Node2Vec
550,0.9510000000000001,Unfolded Node2Vec
558,0.121,Unfolded Node2Vec
566,0.8,Unfolded Node2Vec
574,0.706,Unfolded Node2Vec
582,0.3,Unfolded Node2Vec
590,0.8290000000000001,Unfolded Node2Vec
598,0.325,Unfolded Node2Vec
606,0.865,Unfolded Node2Vec
614,0.20500000000000002,Unfolded Node2Vec
622,0.41200000000000003,Unfolded Node2Vec
630,0.65,Unfolded Node2Vec
638,0.597,Unfolded Node2Vec
646,0.012,Unfolded Node2Vec
654,0.40700000000000003,Unfolded Node2Vec
662,0.999,Unfolded Node2Vec
670,0.215,Unfolded Node2Vec
678,0.64,Unfolded Node2Vec
686,0.168,Unfolded Node2Vec
694,0.833,Unfolded Node2Vec
702,0.807,Unfolded Node2Vec
710,0.921,Unfolded Node2Vec
