,p_hat,method
7,0.053,GloDyNE
15,0.06,GloDyNE
23,0.052000000000000005,GloDyNE
31,0.055,GloDyNE
39,0.05,GloDyNE
47,0.032,GloDyNE
55,0.035,GloDyNE
63,0.023,GloDyNE
71,0.043000000000000003,GloDyNE
79,0.037,GloDyNE
87,0.03,GloDyNE
95,0.022,GloDyNE
103,0.056,GloDyNE
111,0.039,GloDyNE
119,0.025,GloDyNE
127,0.04,GloDyNE
135,0.028,GloDyNE
143,0.043000000000000003,GloDyNE
151,0.042,GloDyNE
159,0.056,GloDyNE
167,0.021,GloDyNE
175,0.043000000000000003,GloDyNE
183,0.029,GloDyNE
191,0.022,GloDyNE
199,0.034,GloDyNE
207,0.029,GloDyNE
215,0.053,GloDyNE
223,0.028,GloDyNE
231,0.051000000000000004,GloDyNE
239,0.031,GloDyNE
247,0.04,GloDyNE
255,0.035,GloDyNE
263,0.035,GloDyNE
271,0.032,GloDyNE
279,0.042,GloDyNE
287,0.05,GloDyNE
295,0.037,GloDyNE
303,0.03,GloDyNE
311,0.028,GloDyNE
319,0.043000000000000003,GloDyNE
327,0.045,GloDyNE
335,0.059000000000000004,GloDyNE
343,0.056,GloDyNE
351,0.094,GloDyNE
359,0.044,GloDyNE
367,0.023,GloDyNE
375,0.042,GloDyNE
383,0.021,GloDyNE
391,0.043000000000000003,GloDyNE
399,0.046,GloDyNE
407,0.074,GloDyNE
415,0.046,GloDyNE
423,0.053,GloDyNE
431,0.018000000000000002,GloDyNE
439,0.032,GloDyNE
447,0.026000000000000002,GloDyNE
455,0.084,GloDyNE
463,0.043000000000000003,GloDyNE
471,0.032,GloDyNE
479,0.013000000000000001,GloDyNE
487,0.029,GloDyNE
495,0.048,GloDyNE
503,0.064,GloDyNE
511,0.069,GloDyNE
519,0.051000000000000004,GloDyNE
527,0.025,GloDyNE
535,0.038,GloDyNE
543,0.052000000000000005,GloDyNE
551,0.051000000000000004,GloDyNE
559,0.027,GloDyNE
567,0.049,GloDyNE
575,0.062,GloDyNE
583,0.058,GloDyNE
591,0.022,GloDyNE
599,0.037,GloDyNE
607,0.059000000000000004,GloDyNE
615,0.025,GloDyNE
623,0.028,GloDyNE
631,0.044,GloDyNE
639,0.033,GloDyNE
647,0.043000000000000003,GloDyNE
655,0.06,GloDyNE
663,0.046,GloDyNE
671,0.032,GloDyNE
679,0.038,GloDyNE
687,0.063,GloDyNE
695,0.051000000000000004,GloDyNE
703,0.06,GloDyNE
711,0.049,GloDyNE
719,0.021,GloDyNE
727,0.035,GloDyNE
735,0.03,GloDyNE
743,0.044,GloDyNE
751,0.044,GloDyNE
759,0.042,GloDyNE
767,0.032,GloDyNE
775,0.04,GloDyNE
783,0.07100000000000001,GloDyNE
791,0.042,GloDyNE
799,0.062,GloDyNE
807,0.055,GloDyNE
