,p_hat,method
5,0.0,Independent Node2Vec
13,0.0,Independent Node2Vec
21,0.0,Independent Node2Vec
29,0.075,Independent Node2Vec
37,0.0,Independent Node2Vec
45,0.0,Independent Node2Vec
53,0.0,Independent Node2Vec
61,0.0,Independent Node2Vec
69,0.0,Independent Node2Vec
77,0.0,Independent Node2Vec
85,0.0,Independent Node2Vec
93,0.582,Independent Node2Vec
101,0.0,Independent Node2Vec
109,0.0,Independent Node2Vec
117,0.0,Independent Node2Vec
125,0.0,Independent Node2Vec
133,0.0,Independent Node2Vec
141,0.0,Independent Node2Vec
149,0.0,Independent Node2Vec
157,0.0,Independent Node2Vec
165,0.125,Independent Node2Vec
173,0.0,Independent Node2Vec
181,0.0,Independent Node2Vec
189,0.0,Independent Node2Vec
197,0.0,Independent Node2Vec
205,0.0,Independent Node2Vec
213,0.0,Independent Node2Vec
221,0.0,Independent Node2Vec
229,0.0,Independent Node2Vec
237,0.0,Independent Node2Vec
245,0.0,Independent Node2Vec
253,0.0,Independent Node2Vec
261,0.0,Independent Node2Vec
269,0.002,Independent Node2Vec
277,0.558,Independent Node2Vec
285,0.0,Independent Node2Vec
293,0.0,Independent Node2Vec
301,0.0,Independent Node2Vec
309,0.0,Independent Node2Vec
317,0.0,Independent Node2Vec
325,0.0,Independent Node2Vec
333,0.0,Independent Node2Vec
341,0.0,Independent Node2Vec
349,0.0,Independent Node2Vec
357,0.0,Independent Node2Vec
365,0.0,Independent Node2Vec
373,0.0,Independent Node2Vec
381,0.0,Independent Node2Vec
389,0.0,Independent Node2Vec
397,0.0,Independent Node2Vec
405,0.0,Independent Node2Vec
413,0.0,Independent Node2Vec
421,0.0,Independent Node2Vec
429,0.0,Independent Node2Vec
437,0.0,Independent Node2Vec
445,0.0,Independent Node2Vec
453,0.0,Independent Node2Vec
461,0.0,Independent Node2Vec
469,0.0,Independent Node2Vec
477,0.101,Independent Node2Vec
485,0.0,Independent Node2Vec
493,0.001,Independent Node2Vec
501,0.0,Independent Node2Vec
509,0.0,Independent Node2Vec
517,0.0,Independent Node2Vec
525,0.0,Independent Node2Vec
533,0.0,Independent Node2Vec
541,0.0,Independent Node2Vec
549,0.0,Independent Node2Vec
557,0.0,Independent Node2Vec
565,0.0,Independent Node2Vec
573,0.0,Independent Node2Vec
581,0.0,Independent Node2Vec
589,0.037,Independent Node2Vec
597,0.017,Independent Node2Vec
605,0.0,Independent Node2Vec
613,0.0,Independent Node2Vec
621,0.0,Independent Node2Vec
629,0.0,Independent Node2Vec
637,0.0,Independent Node2Vec
645,0.0,Independent Node2Vec
653,0.0,Independent Node2Vec
661,0.0,Independent Node2Vec
669,0.0,Independent Node2Vec
677,0.0,Independent Node2Vec
685,0.0,Independent Node2Vec
693,0.0,Independent Node2Vec
701,0.0,Independent Node2Vec
709,0.0,Independent Node2Vec
717,0.0,Independent Node2Vec
725,0.0,Independent Node2Vec
733,0.319,Independent Node2Vec
741,0.0,Independent Node2Vec
749,0.0,Independent Node2Vec
757,0.0,Independent Node2Vec
765,0.0,Independent Node2Vec
773,0.0,Independent Node2Vec
781,0.0,Independent Node2Vec
789,0.0,Independent Node2Vec
797,0.0,Independent Node2Vec
805,0.0,Independent Node2Vec
813,0.0,Independent Node2Vec
821,0.0,Independent Node2Vec
829,0.0,Independent Node2Vec
837,0.0,Independent Node2Vec
845,0.0,Independent Node2Vec
853,0.0,Independent Node2Vec
861,0.0,Independent Node2Vec
869,0.0,Independent Node2Vec
877,0.0,Independent Node2Vec
885,0.0,Independent Node2Vec
893,0.0,Independent Node2Vec
