,p_hat,method
2,0.678,OMNI
10,0.22,OMNI
18,0.712,OMNI
26,0.14,OMNI
34,0.9430000000000001,OMNI
42,0.5710000000000001,OMNI
50,0.5730000000000001,OMNI
58,0.726,OMNI
66,0.385,OMNI
74,0.742,OMNI
82,0.5,OMNI
90,0.908,OMNI
98,0.712,OMNI
106,0.057,OMNI
114,0.365,OMNI
122,0.671,OMNI
130,0.999,OMNI
138,0.912,OMNI
146,0.9480000000000001,OMNI
154,0.897,OMNI
162,0.089,OMNI
170,0.5660000000000001,OMNI
178,0.5750000000000001,OMNI
186,0.303,OMNI
194,0.241,OMNI
202,0.47000000000000003,OMNI
210,0.486,OMNI
218,0.145,OMNI
226,0.91,OMNI
234,0.729,OMNI
242,0.314,OMNI
250,0.727,OMNI
258,0.125,OMNI
266,0.506,OMNI
274,0.023,OMNI
282,0.331,OMNI
290,0.242,OMNI
298,0.618,OMNI
306,0.986,OMNI
314,0.796,OMNI
322,0.077,OMNI
330,0.456,OMNI
338,0.41600000000000004,OMNI
346,0.876,OMNI
354,0.5690000000000001,OMNI
362,0.8260000000000001,OMNI
370,0.791,OMNI
378,0.17,OMNI
386,0.8270000000000001,OMNI
394,0.339,OMNI
402,0.833,OMNI
410,0.275,OMNI
418,0.683,OMNI
426,0.604,OMNI
434,0.228,OMNI
442,0.707,OMNI
450,0.672,OMNI
458,0.033,OMNI
466,0.397,OMNI
474,0.15,OMNI
482,0.423,OMNI
490,0.455,OMNI
498,0.334,OMNI
506,0.889,OMNI
514,0.14300000000000002,OMNI
522,0.5670000000000001,OMNI
530,0.6910000000000001,OMNI
538,0.618,OMNI
546,0.43,OMNI
554,0.6910000000000001,OMNI
562,0.465,OMNI
570,0.291,OMNI
578,0.5670000000000001,OMNI
586,0.329,OMNI
594,0.799,OMNI
602,0.28500000000000003,OMNI
610,0.342,OMNI
618,0.397,OMNI
626,0.649,OMNI
634,0.6950000000000001,OMNI
642,0.046,OMNI
650,0.846,OMNI
658,0.798,OMNI
666,0.833,OMNI
674,0.10400000000000001,OMNI
682,0.20500000000000002,OMNI
690,0.268,OMNI
698,0.935,OMNI
706,0.502,OMNI
714,0.106,OMNI
722,0.763,OMNI
730,0.209,OMNI
738,0.29,OMNI
746,0.424,OMNI
754,0.393,OMNI
762,0.737,OMNI
770,0.366,OMNI
778,0.268,OMNI
786,0.081,OMNI
794,0.722,OMNI
802,0.447,OMNI
810,0.152,OMNI
818,0.08600000000000001,OMNI
826,0.46900000000000003,OMNI
834,0.28,OMNI
842,0.037,OMNI
850,0.9530000000000001,OMNI
858,0.06,OMNI
866,0.608,OMNI
874,0.9480000000000001,OMNI
882,0.769,OMNI
890,0.41500000000000004,OMNI
898,0.31,OMNI
906,0.10200000000000001,OMNI
914,0.99,OMNI
922,0.579,OMNI
930,0.834,OMNI
938,0.441,OMNI
946,0.355,OMNI
954,0.848,OMNI
962,0.876,OMNI
970,0.988,OMNI
978,0.009000000000000001,OMNI
986,0.342,OMNI
994,0.106,OMNI
1002,0.769,OMNI
1010,0.5660000000000001,OMNI
1018,0.012,OMNI
1026,0.45,OMNI
1034,0.398,OMNI
1042,0.748,OMNI
1050,0.778,OMNI
1058,0.399,OMNI
1066,0.491,OMNI
1074,0.318,OMNI
1082,0.739,OMNI
1090,0.043000000000000003,OMNI
1098,0.054,OMNI
1106,0.227,OMNI
1114,0.501,OMNI
1122,0.247,OMNI
1130,0.067,OMNI
1138,0.34700000000000003,OMNI
1146,0.98,OMNI
1154,0.524,OMNI
1162,0.624,OMNI
1170,0.678,OMNI
1178,0.218,OMNI
1186,0.932,OMNI
1194,0.8300000000000001,OMNI
1202,0.214,OMNI
1210,0.224,OMNI
1218,0.151,OMNI
1226,0.34400000000000003,OMNI
1234,0.975,OMNI
1242,0.081,OMNI
1250,0.226,OMNI
1258,0.706,OMNI
1266,0.674,OMNI
1274,0.962,OMNI
1282,0.91,OMNI
1290,0.134,OMNI
1298,0.247,OMNI
1306,0.926,OMNI
1314,0.615,OMNI
1322,0.971,OMNI
1330,0.298,OMNI
1338,0.464,OMNI
1346,0.461,OMNI
1354,0.738,OMNI
1362,0.763,OMNI
1370,0.016,OMNI
1378,0.216,OMNI
1386,0.514,OMNI
1394,0.964,OMNI
1402,0.019,OMNI
1410,0.664,OMNI
1418,0.745,OMNI
1426,0.735,OMNI
1434,0.9530000000000001,OMNI
1442,0.274,OMNI
1450,0.919,OMNI
1458,0.682,OMNI
1466,0.652,OMNI
1474,0.501,OMNI
1482,0.153,OMNI
1490,0.031,OMNI
1498,0.667,OMNI
1506,0.987,OMNI
1514,0.706,OMNI
1522,0.06,OMNI
1530,0.302,OMNI
1538,0.9540000000000001,OMNI
1546,0.158,OMNI
1554,0.395,OMNI
1562,0.994,OMNI
1570,0.276,OMNI
1578,0.279,OMNI
1586,0.879,OMNI
1594,0.556,OMNI
