,p_hat,method
1,0.9400000000000001,SSE Procrustes
9,0.749,SSE Procrustes
17,0.9510000000000001,SSE Procrustes
25,0.935,SSE Procrustes
33,0.996,SSE Procrustes
41,0.934,SSE Procrustes
49,0.996,SSE Procrustes
57,0.997,SSE Procrustes
65,0.877,SSE Procrustes
73,0.981,SSE Procrustes
81,0.999,SSE Procrustes
89,0.973,SSE Procrustes
97,0.969,SSE Procrustes
105,0.98,SSE Procrustes
113,0.872,SSE Procrustes
121,0.994,SSE Procrustes
129,0.9580000000000001,SSE Procrustes
137,0.997,SSE Procrustes
145,0.96,SSE Procrustes
153,0.981,SSE Procrustes
161,0.962,SSE Procrustes
169,0.845,SSE Procrustes
177,1.0,SSE Procrustes
185,0.871,SSE Procrustes
193,0.892,SSE Procrustes
201,0.93,SSE Procrustes
209,0.893,SSE Procrustes
217,0.9570000000000001,SSE Procrustes
225,0.937,SSE Procrustes
233,0.986,SSE Procrustes
241,0.991,SSE Procrustes
249,0.9450000000000001,SSE Procrustes
257,0.9,SSE Procrustes
265,0.997,SSE Procrustes
273,0.981,SSE Procrustes
281,0.9470000000000001,SSE Procrustes
289,0.788,SSE Procrustes
297,0.916,SSE Procrustes
305,0.996,SSE Procrustes
313,0.892,SSE Procrustes
321,0.936,SSE Procrustes
329,0.9380000000000001,SSE Procrustes
337,0.905,SSE Procrustes
345,0.97,SSE Procrustes
353,0.9,SSE Procrustes
361,0.874,SSE Procrustes
369,0.98,SSE Procrustes
377,0.904,SSE Procrustes
385,0.989,SSE Procrustes
393,0.9450000000000001,SSE Procrustes
401,0.973,SSE Procrustes
409,0.848,SSE Procrustes
417,0.96,SSE Procrustes
425,0.992,SSE Procrustes
433,0.987,SSE Procrustes
441,0.931,SSE Procrustes
449,0.995,SSE Procrustes
457,0.935,SSE Procrustes
465,0.982,SSE Procrustes
473,0.923,SSE Procrustes
481,0.9390000000000001,SSE Procrustes
489,0.9390000000000001,SSE Procrustes
497,0.974,SSE Procrustes
505,0.964,SSE Procrustes
513,0.936,SSE Procrustes
521,0.985,SSE Procrustes
529,0.875,SSE Procrustes
537,0.9440000000000001,SSE Procrustes
545,0.968,SSE Procrustes
553,0.9520000000000001,SSE Procrustes
561,0.937,SSE Procrustes
569,0.893,SSE Procrustes
577,0.9580000000000001,SSE Procrustes
585,0.984,SSE Procrustes
593,0.982,SSE Procrustes
601,0.973,SSE Procrustes
609,0.913,SSE Procrustes
617,0.9490000000000001,SSE Procrustes
625,0.987,SSE Procrustes
633,0.987,SSE Procrustes
641,0.914,SSE Procrustes
649,0.9440000000000001,SSE Procrustes
657,0.901,SSE Procrustes
665,0.969,SSE Procrustes
673,0.963,SSE Procrustes
681,0.987,SSE Procrustes
689,0.99,SSE Procrustes
697,0.974,SSE Procrustes
705,0.997,SSE Procrustes
713,0.9450000000000001,SSE Procrustes
721,0.837,SSE Procrustes
729,0.973,SSE Procrustes
737,0.9580000000000001,SSE Procrustes
745,0.975,SSE Procrustes
753,0.927,SSE Procrustes
761,0.985,SSE Procrustes
769,0.993,SSE Procrustes
777,0.9550000000000001,SSE Procrustes
785,0.9390000000000001,SSE Procrustes
793,0.898,SSE Procrustes
801,0.985,SSE Procrustes
809,0.988,SSE Procrustes
817,0.996,SSE Procrustes
825,0.866,SSE Procrustes
833,0.908,SSE Procrustes
841,0.913,SSE Procrustes
849,0.961,SSE Procrustes
857,0.927,SSE Procrustes
865,0.979,SSE Procrustes
873,0.993,SSE Procrustes
881,0.989,SSE Procrustes
889,0.9420000000000001,SSE Procrustes
897,0.898,SSE Procrustes
905,0.847,SSE Procrustes
913,0.98,SSE Procrustes
921,0.987,SSE Procrustes
929,0.985,SSE Procrustes
937,0.987,SSE Procrustes
945,0.981,SSE Procrustes
953,0.966,SSE Procrustes
961,0.968,SSE Procrustes
969,0.991,SSE Procrustes
977,0.982,SSE Procrustes
985,0.98,SSE Procrustes
993,0.882,SSE Procrustes
1001,0.918,SSE Procrustes
1009,0.917,SSE Procrustes
1017,0.9580000000000001,SSE Procrustes
1025,1.0,SSE Procrustes
1033,0.791,SSE Procrustes
1041,0.999,SSE Procrustes
1049,0.9510000000000001,SSE Procrustes
1057,0.969,SSE Procrustes
1065,0.998,SSE Procrustes
1073,0.882,SSE Procrustes
1081,0.782,SSE Procrustes
1089,0.971,SSE Procrustes
1097,0.913,SSE Procrustes
1105,0.972,SSE Procrustes
1113,0.996,SSE Procrustes
1121,0.979,SSE Procrustes
1129,0.972,SSE Procrustes
1137,0.97,SSE Procrustes
1145,0.894,SSE Procrustes
1153,0.904,SSE Procrustes
1161,0.982,SSE Procrustes
1169,0.9,SSE Procrustes
1177,1.0,SSE Procrustes
1185,0.9540000000000001,SSE Procrustes
1193,0.868,SSE Procrustes
1201,0.9440000000000001,SSE Procrustes
1209,0.887,SSE Procrustes
1217,0.966,SSE Procrustes
1225,0.863,SSE Procrustes
1233,0.997,SSE Procrustes
1241,0.887,SSE Procrustes
1249,0.929,SSE Procrustes
1257,0.93,SSE Procrustes
1265,0.9490000000000001,SSE Procrustes
1273,0.994,SSE Procrustes
1281,0.968,SSE Procrustes
1289,0.961,SSE Procrustes
1297,0.972,SSE Procrustes
1305,1.0,SSE Procrustes
1313,0.844,SSE Procrustes
1321,0.996,SSE Procrustes
1329,0.99,SSE Procrustes
1337,0.967,SSE Procrustes
1345,0.933,SSE Procrustes
1353,0.981,SSE Procrustes
1361,0.913,SSE Procrustes
1369,0.792,SSE Procrustes
1377,0.98,SSE Procrustes
1385,0.9490000000000001,SSE Procrustes
1393,0.9410000000000001,SSE Procrustes
1401,0.989,SSE Procrustes
1409,0.87,SSE Procrustes
1417,0.906,SSE Procrustes
1425,0.967,SSE Procrustes
1433,0.9490000000000001,SSE Procrustes
1441,0.8320000000000001,SSE Procrustes
1449,0.985,SSE Procrustes
1457,0.9410000000000001,SSE Procrustes
1465,0.877,SSE Procrustes
1473,0.999,SSE Procrustes
1481,0.9390000000000001,SSE Procrustes
1489,0.999,SSE Procrustes
1497,0.9500000000000001,SSE Procrustes
1505,0.966,SSE Procrustes
1513,0.9590000000000001,SSE Procrustes
1521,0.996,SSE Procrustes
1529,0.9430000000000001,SSE Procrustes
1537,0.999,SSE Procrustes
1545,0.988,SSE Procrustes
1553,0.999,SSE Procrustes
1561,0.995,SSE Procrustes
1569,0.891,SSE Procrustes
1577,0.999,SSE Procrustes
1585,0.987,SSE Procrustes
1593,0.902,SSE Procrustes
