,p_hat,method
0,0.964,SSE
1,0.966,SSE
2,0.897,SSE
3,0.985,SSE
4,0.93,SSE
5,0.992,SSE
6,0.998,SSE
7,0.998,SSE
8,0.988,SSE
9,0.976,SSE
10,0.895,SSE
11,0.967,SSE
12,0.934,SSE
13,0.988,SSE
14,0.981,SSE
15,0.97,SSE
16,0.8270000000000001,SSE
17,0.987,SSE
18,0.973,SSE
19,0.923,SSE
20,0.929,SSE
21,0.9400000000000001,SSE
22,0.981,SSE
23,0.895,SSE
24,0.964,SSE
25,0.99,SSE
26,0.9440000000000001,SSE
27,0.998,SSE
28,0.874,SSE
29,0.901,SSE
30,0.991,SSE
31,0.97,SSE
32,1.0,SSE
33,0.992,SSE
34,0.985,SSE
35,0.9530000000000001,SSE
36,0.979,SSE
37,0.996,SSE
38,0.962,SSE
39,0.911,SSE
40,0.9460000000000001,SSE
41,0.994,SSE
42,0.977,SSE
43,0.9590000000000001,SSE
44,0.972,SSE
45,0.9510000000000001,SSE
46,0.98,SSE
47,0.981,SSE
48,0.972,SSE
49,0.9490000000000001,SSE
50,0.995,SSE
51,0.932,SSE
52,0.998,SSE
53,0.996,SSE
54,0.921,SSE
55,0.989,SSE
56,0.964,SSE
57,0.915,SSE
58,0.936,SSE
59,0.988,SSE
60,0.926,SSE
61,0.986,SSE
62,0.921,SSE
63,0.992,SSE
64,0.994,SSE
65,0.993,SSE
66,0.9490000000000001,SSE
67,0.984,SSE
68,0.911,SSE
69,0.976,SSE
70,0.927,SSE
71,0.963,SSE
72,0.936,SSE
73,0.986,SSE
74,0.966,SSE
75,0.974,SSE
76,0.987,SSE
77,0.99,SSE
78,0.9550000000000001,SSE
79,0.964,SSE
80,0.982,SSE
81,0.964,SSE
82,0.976,SSE
83,0.971,SSE
84,0.99,SSE
85,0.9480000000000001,SSE
86,0.979,SSE
87,0.916,SSE
88,0.983,SSE
89,0.992,SSE
90,0.99,SSE
91,0.997,SSE
92,0.875,SSE
93,0.9590000000000001,SSE
94,0.968,SSE
95,0.964,SSE
96,0.99,SSE
97,0.9550000000000001,SSE
98,0.99,SSE
99,0.98,SSE
100,0.981,SSE
101,0.96,SSE
102,0.871,SSE
103,0.982,SSE
104,0.974,SSE
105,0.9570000000000001,SSE
106,0.9540000000000001,SSE
107,0.964,SSE
108,0.999,SSE
109,0.992,SSE
110,0.935,SSE
111,0.992,SSE
112,0.961,SSE
113,0.981,SSE
114,0.982,SSE
115,0.975,SSE
116,0.997,SSE
117,0.962,SSE
118,0.991,SSE
119,0.999,SSE
120,0.961,SSE
121,0.994,SSE
122,0.934,SSE
123,0.997,SSE
124,0.986,SSE
125,0.999,SSE
126,0.934,SSE
127,0.995,SSE
128,0.976,SSE
129,0.933,SSE
130,0.932,SSE
131,0.9460000000000001,SSE
132,0.981,SSE
133,0.993,SSE
134,0.997,SSE
135,0.988,SSE
136,0.98,SSE
137,0.981,SSE
138,0.988,SSE
139,0.881,SSE
140,0.985,SSE
141,0.993,SSE
142,0.991,SSE
143,0.963,SSE
144,0.996,SSE
145,0.9430000000000001,SSE
146,0.887,SSE
147,0.997,SSE
148,0.993,SSE
149,0.969,SSE
150,0.978,SSE
151,0.986,SSE
152,0.937,SSE
153,0.9380000000000001,SSE
154,0.994,SSE
155,0.983,SSE
156,1.0,SSE
157,0.899,SSE
158,0.9520000000000001,SSE
159,0.991,SSE
160,0.963,SSE
161,0.904,SSE
162,0.966,SSE
163,0.928,SSE
164,0.962,SSE
165,0.987,SSE
166,1.0,SSE
167,0.9500000000000001,SSE
168,0.833,SSE
169,0.978,SSE
170,0.977,SSE
171,0.915,SSE
172,0.99,SSE
173,0.9500000000000001,SSE
174,0.9550000000000001,SSE
175,0.961,SSE
176,0.996,SSE
177,1.0,SSE
178,0.989,SSE
179,0.996,SSE
180,0.984,SSE
181,0.985,SSE
182,0.986,SSE
183,1.0,SSE
184,0.933,SSE
185,0.979,SSE
186,0.962,SSE
187,0.99,SSE
188,0.997,SSE
189,0.996,SSE
190,0.881,SSE
191,0.987,SSE
192,0.97,SSE
193,0.976,SSE
194,0.964,SSE
195,0.983,SSE
196,0.992,SSE
197,0.994,SSE
198,0.9520000000000001,SSE
199,1.0,SSE
