,p_hat,method
3,0.551,UASE
11,0.454,UASE
19,0.179,UASE
27,0.775,UASE
35,0.868,UASE
43,0.803,UASE
51,0.604,UASE
59,0.667,UASE
67,0.587,UASE
75,0.654,UASE
83,0.28200000000000003,UASE
91,0.391,UASE
99,0.199,UASE
107,0.521,UASE
115,0.352,UASE
123,0.146,UASE
131,0.651,UASE
139,0.524,UASE
147,0.189,UASE
155,0.279,UASE
163,0.41000000000000003,UASE
171,0.338,UASE
179,0.747,UASE
187,0.057,UASE
195,0.719,UASE
203,0.338,UASE
211,0.642,UASE
219,0.20500000000000002,UASE
227,0.997,UASE
235,0.799,UASE
243,0.465,UASE
251,0.386,UASE
259,0.28800000000000003,UASE
267,0.176,UASE
275,0.195,UASE
283,0.464,UASE
291,0.265,UASE
299,0.007,UASE
307,0.315,UASE
315,0.402,UASE
323,0.633,UASE
331,0.759,UASE
339,0.053,UASE
347,0.858,UASE
355,0.295,UASE
363,0.449,UASE
371,0.162,UASE
379,0.309,UASE
387,0.303,UASE
395,0.138,UASE
403,0.279,UASE
411,0.977,UASE
419,0.517,UASE
427,0.28800000000000003,UASE
435,0.901,UASE
443,0.783,UASE
451,0.766,UASE
459,0.904,UASE
467,0.425,UASE
475,0.735,UASE
483,0.169,UASE
491,0.25,UASE
499,0.41100000000000003,UASE
507,0.399,UASE
515,0.256,UASE
523,1.0,UASE
531,0.382,UASE
539,0.309,UASE
547,0.168,UASE
555,0.802,UASE
563,0.501,UASE
571,0.7000000000000001,UASE
579,0.527,UASE
587,0.354,UASE
595,0.935,UASE
603,0.28500000000000003,UASE
611,0.319,UASE
619,0.84,UASE
627,0.326,UASE
635,0.751,UASE
643,0.541,UASE
651,0.062,UASE
659,0.706,UASE
667,0.6930000000000001,UASE
675,0.904,UASE
683,0.766,UASE
691,0.8140000000000001,UASE
699,0.393,UASE
707,0.6890000000000001,UASE
715,0.623,UASE
723,0.012,UASE
731,0.918,UASE
739,0.402,UASE
747,0.446,UASE
755,0.753,UASE
763,0.421,UASE
771,0.312,UASE
779,0.341,UASE
787,0.651,UASE
795,0.368,UASE
803,0.04,UASE
811,0.918,UASE
819,0.548,UASE
827,0.115,UASE
835,0.081,UASE
843,0.984,UASE
851,0.277,UASE
859,0.642,UASE
867,0.062,UASE
875,0.891,UASE
883,0.557,UASE
891,0.305,UASE
899,0.356,UASE
907,0.272,UASE
915,0.439,UASE
923,0.983,UASE
931,0.43,UASE
939,0.936,UASE
947,0.07100000000000001,UASE
955,0.715,UASE
963,0.381,UASE
971,0.012,UASE
979,0.5730000000000001,UASE
987,0.912,UASE
995,0.075,UASE
1003,0.468,UASE
1011,0.04,UASE
1019,0.876,UASE
1027,0.11,UASE
1035,0.004,UASE
1043,0.41300000000000003,UASE
1051,0.27,UASE
1059,0.016,UASE
1067,0.298,UASE
1075,0.844,UASE
1083,0.3,UASE
1091,0.833,UASE
1099,0.189,UASE
1107,0.111,UASE
1115,0.28500000000000003,UASE
1123,0.835,UASE
1131,0.444,UASE
1139,0.251,UASE
1147,0.55,UASE
1155,0.256,UASE
1163,0.723,UASE
1171,0.221,UASE
1179,0.766,UASE
1187,0.964,UASE
1195,0.9590000000000001,UASE
1203,0.725,UASE
1211,0.246,UASE
1219,0.729,UASE
1227,0.61,UASE
1235,0.47400000000000003,UASE
1243,0.178,UASE
1251,0.092,UASE
1259,0.84,UASE
1267,0.99,UASE
1275,0.366,UASE
1283,0.188,UASE
1291,0.538,UASE
1299,0.873,UASE
1307,0.8210000000000001,UASE
1315,0.92,UASE
1323,0.99,UASE
1331,0.226,UASE
1339,0.34,UASE
1347,0.20800000000000002,UASE
1355,0.8270000000000001,UASE
1363,0.39,UASE
1371,0.402,UASE
1379,0.022,UASE
1387,0.078,UASE
1395,0.303,UASE
1403,0.07200000000000001,UASE
1411,0.063,UASE
1419,0.833,UASE
1427,0.8220000000000001,UASE
1435,0.28600000000000003,UASE
1443,0.642,UASE
1451,0.8,UASE
1459,0.045,UASE
1467,0.9,UASE
1475,0.897,UASE
1483,0.148,UASE
1491,0.753,UASE
1499,0.534,UASE
1507,0.318,UASE
1515,0.448,UASE
1523,0.301,UASE
1531,0.51,UASE
1539,0.683,UASE
1547,0.5,UASE
1555,0.67,UASE
1563,0.12,UASE
1571,0.039,UASE
1579,0.798,UASE
1587,0.464,UASE
1595,0.509,UASE
