,p_hat,method
4,0.307,URLSE
12,0.11800000000000001,URLSE
20,0.525,URLSE
28,0.047,URLSE
36,0.34400000000000003,URLSE
44,0.9450000000000001,URLSE
52,0.735,URLSE
60,0.902,URLSE
68,0.773,URLSE
76,0.799,URLSE
84,0.35100000000000003,URLSE
92,0.67,URLSE
100,0.134,URLSE
108,0.772,URLSE
116,0.651,URLSE
124,0.316,URLSE
132,0.334,URLSE
140,0.5740000000000001,URLSE
148,0.179,URLSE
156,0.19,URLSE
164,0.724,URLSE
172,0.068,URLSE
180,0.23700000000000002,URLSE
188,0.28600000000000003,URLSE
196,0.523,URLSE
204,0.302,URLSE
212,0.232,URLSE
220,0.482,URLSE
228,0.744,URLSE
236,0.04,URLSE
244,0.556,URLSE
252,0.846,URLSE
260,0.164,URLSE
268,0.082,URLSE
276,0.654,URLSE
284,0.403,URLSE
292,0.645,URLSE
300,0.28600000000000003,URLSE
308,0.45,URLSE
316,0.47800000000000004,URLSE
324,0.24,URLSE
332,0.731,URLSE
340,0.064,URLSE
348,0.674,URLSE
356,0.421,URLSE
364,0.528,URLSE
372,0.169,URLSE
380,0.271,URLSE
388,0.04,URLSE
396,0.255,URLSE
404,0.468,URLSE
412,0.509,URLSE
420,0.635,URLSE
428,0.673,URLSE
436,0.485,URLSE
444,0.107,URLSE
452,0.184,URLSE
460,0.516,URLSE
468,0.788,URLSE
476,0.798,URLSE
484,0.459,URLSE
492,0.341,URLSE
500,0.601,URLSE
508,0.755,URLSE
516,0.503,URLSE
524,0.705,URLSE
532,0.544,URLSE
540,0.638,URLSE
548,0.796,URLSE
556,0.098,URLSE
564,0.464,URLSE
572,0.277,URLSE
580,0.526,URLSE
588,0.676,URLSE
596,0.358,URLSE
604,0.604,URLSE
612,0.422,URLSE
620,0.598,URLSE
628,0.111,URLSE
636,0.797,URLSE
644,0.511,URLSE
652,0.053,URLSE
660,0.9520000000000001,URLSE
668,0.889,URLSE
676,0.98,URLSE
684,0.375,URLSE
692,0.617,URLSE
700,0.279,URLSE
708,0.773,URLSE
716,0.704,URLSE
724,0.004,URLSE
732,0.91,URLSE
740,0.84,URLSE
748,0.459,URLSE
756,0.654,URLSE
764,0.751,URLSE
772,0.6,URLSE
780,0.965,URLSE
788,0.643,URLSE
796,0.47400000000000003,URLSE
804,0.13,URLSE
812,0.97,URLSE
820,0.783,URLSE
828,0.184,URLSE
836,0.14300000000000002,URLSE
844,0.443,URLSE
852,0.746,URLSE
860,0.863,URLSE
868,0.114,URLSE
876,0.653,URLSE
884,0.833,URLSE
892,0.535,URLSE
900,0.47800000000000004,URLSE
908,0.525,URLSE
916,0.932,URLSE
924,0.988,URLSE
932,0.135,URLSE
940,0.736,URLSE
948,0.606,URLSE
956,0.985,URLSE
964,0.439,URLSE
972,0.23600000000000002,URLSE
980,0.8260000000000001,URLSE
988,0.601,URLSE
996,0.178,URLSE
1004,0.274,URLSE
1012,0.131,URLSE
1020,0.9590000000000001,URLSE
1028,0.937,URLSE
1036,0.22,URLSE
1044,0.097,URLSE
1052,0.47200000000000003,URLSE
1060,0.025,URLSE
1068,0.055,URLSE
1076,0.17,URLSE
1084,0.6970000000000001,URLSE
1092,0.43,URLSE
1100,0.5,URLSE
1108,0.374,URLSE
1116,0.163,URLSE
1124,0.775,URLSE
1132,0.6970000000000001,URLSE
1140,0.255,URLSE
1148,0.055,URLSE
1156,0.274,URLSE
1164,0.758,URLSE
1172,0.244,URLSE
1180,0.863,URLSE
1188,0.11900000000000001,URLSE
1196,0.583,URLSE
1204,0.5670000000000001,URLSE
1212,0.594,URLSE
1220,0.8170000000000001,URLSE
1228,0.10300000000000001,URLSE
1236,0.848,URLSE
1244,0.3,URLSE
1252,0.24,URLSE
1260,0.266,URLSE
1268,0.705,URLSE
1276,0.643,URLSE
1284,0.41600000000000004,URLSE
1292,0.679,URLSE
1300,0.845,URLSE
1308,0.918,URLSE
1316,0.8210000000000001,URLSE
1324,0.426,URLSE
1332,0.028,URLSE
1340,0.533,URLSE
1348,0.806,URLSE
1356,0.9560000000000001,URLSE
1364,0.364,URLSE
1372,0.507,URLSE
1380,0.068,URLSE
1388,0.23900000000000002,URLSE
1396,0.5670000000000001,URLSE
1404,0.10300000000000001,URLSE
1412,0.352,URLSE
1420,0.838,URLSE
1428,0.437,URLSE
1436,0.511,URLSE
1444,0.8200000000000001,URLSE
1452,0.985,URLSE
1460,0.22,URLSE
1468,0.9530000000000001,URLSE
1476,0.647,URLSE
1484,0.22,URLSE
1492,0.726,URLSE
1500,0.7020000000000001,URLSE
1508,0.524,URLSE
1516,0.28,URLSE
1524,0.792,URLSE
1532,0.306,URLSE
1540,0.616,URLSE
1548,0.883,URLSE
1556,0.245,URLSE
1564,0.538,URLSE
1572,0.054,URLSE
1580,0.35100000000000003,URLSE
1588,0.123,URLSE
1596,0.126,URLSE
