,p_hat,method
6,0.129,Unfolded Node2Vec
14,0.47000000000000003,Unfolded Node2Vec
22,0.841,Unfolded Node2Vec
30,0.919,Unfolded Node2Vec
38,0.847,Unfolded Node2Vec
46,0.722,Unfolded Node2Vec
54,0.132,Unfolded Node2Vec
62,0.228,Unfolded Node2Vec
70,0.994,Unfolded Node2Vec
78,0.337,Unfolded Node2Vec
86,0.9380000000000001,Unfolded Node2Vec
94,0.617,Unfolded Node2Vec
102,0.861,Unfolded Node2Vec
110,0.78,Unfolded Node2Vec
118,0.019,Unfolded Node2Vec
126,0.461,Unfolded Node2Vec
134,0.254,Unfolded Node2Vec
142,0.09,Unfolded Node2Vec
150,0.9580000000000001,Unfolded Node2Vec
158,0.658,Unfolded Node2Vec
166,0.8200000000000001,Unfolded Node2Vec
174,0.268,Unfolded Node2Vec
182,0.335,Unfolded Node2Vec
190,0.014,Unfolded Node2Vec
198,0.241,Unfolded Node2Vec
206,0.627,Unfolded Node2Vec
214,0.445,Unfolded Node2Vec
222,0.65,Unfolded Node2Vec
230,0.453,Unfolded Node2Vec
238,0.28700000000000003,Unfolded Node2Vec
246,0.5740000000000001,Unfolded Node2Vec
254,0.247,Unfolded Node2Vec
262,0.876,Unfolded Node2Vec
270,0.723,Unfolded Node2Vec
278,0.966,Unfolded Node2Vec
286,0.746,Unfolded Node2Vec
294,0.399,Unfolded Node2Vec
302,0.229,Unfolded Node2Vec
310,0.641,Unfolded Node2Vec
318,0.246,Unfolded Node2Vec
326,0.397,Unfolded Node2Vec
334,0.704,Unfolded Node2Vec
342,0.8250000000000001,Unfolded Node2Vec
350,0.511,Unfolded Node2Vec
358,0.156,Unfolded Node2Vec
366,0.003,Unfolded Node2Vec
374,0.904,Unfolded Node2Vec
382,0.217,Unfolded Node2Vec
390,0.869,Unfolded Node2Vec
398,0.548,Unfolded Node2Vec
406,0.037,Unfolded Node2Vec
414,0.394,Unfolded Node2Vec
422,0.265,Unfolded Node2Vec
430,0.447,Unfolded Node2Vec
438,0.807,Unfolded Node2Vec
446,0.106,Unfolded Node2Vec
454,0.34800000000000003,Unfolded Node2Vec
462,0.27,Unfolded Node2Vec
470,0.11800000000000001,Unfolded Node2Vec
478,0.327,Unfolded Node2Vec
486,0.903,Unfolded Node2Vec
494,0.591,Unfolded Node2Vec
502,0.737,Unfolded Node2Vec
510,0.124,Unfolded Node2Vec
518,0.522,Unfolded Node2Vec
526,0.14400000000000002,Unfolded Node2Vec
534,0.08,Unfolded Node2Vec
542,0.514,Unfolded Node2Vec
550,0.646,Unfolded Node2Vec
558,0.294,Unfolded Node2Vec
566,0.20600000000000002,Unfolded Node2Vec
574,0.232,Unfolded Node2Vec
582,0.325,Unfolded Node2Vec
590,0.558,Unfolded Node2Vec
598,0.226,Unfolded Node2Vec
606,0.927,Unfolded Node2Vec
614,0.833,Unfolded Node2Vec
622,0.706,Unfolded Node2Vec
630,0.886,Unfolded Node2Vec
638,0.083,Unfolded Node2Vec
646,0.378,Unfolded Node2Vec
654,0.681,Unfolded Node2Vec
662,0.077,Unfolded Node2Vec
670,0.781,Unfolded Node2Vec
678,0.231,Unfolded Node2Vec
686,0.859,Unfolded Node2Vec
694,0.531,Unfolded Node2Vec
702,0.85,Unfolded Node2Vec
710,0.849,Unfolded Node2Vec
718,0.317,Unfolded Node2Vec
726,0.715,Unfolded Node2Vec
734,0.184,Unfolded Node2Vec
742,0.675,Unfolded Node2Vec
750,0.271,Unfolded Node2Vec
758,0.684,Unfolded Node2Vec
766,0.526,Unfolded Node2Vec
774,0.914,Unfolded Node2Vec
782,0.372,Unfolded Node2Vec
790,0.131,Unfolded Node2Vec
798,0.481,Unfolded Node2Vec
806,0.467,Unfolded Node2Vec
814,0.706,Unfolded Node2Vec
822,0.058,Unfolded Node2Vec
830,0.555,Unfolded Node2Vec
838,0.758,Unfolded Node2Vec
846,0.356,Unfolded Node2Vec
854,0.909,Unfolded Node2Vec
862,0.935,Unfolded Node2Vec
870,0.496,Unfolded Node2Vec
878,0.426,Unfolded Node2Vec
886,0.928,Unfolded Node2Vec
894,0.007,Unfolded Node2Vec
902,0.34600000000000003,Unfolded Node2Vec
910,0.14100000000000001,Unfolded Node2Vec
918,0.40800000000000003,Unfolded Node2Vec
926,0.71,Unfolded Node2Vec
934,0.226,Unfolded Node2Vec
942,0.96,Unfolded Node2Vec
950,0.496,Unfolded Node2Vec
958,0.771,Unfolded Node2Vec
966,0.032,Unfolded Node2Vec
974,0.40800000000000003,Unfolded Node2Vec
982,0.176,Unfolded Node2Vec
990,0.435,Unfolded Node2Vec
998,0.27,Unfolded Node2Vec
1006,0.183,Unfolded Node2Vec
1014,0.096,Unfolded Node2Vec
1022,0.28,Unfolded Node2Vec
1030,0.129,Unfolded Node2Vec
1038,0.5710000000000001,Unfolded Node2Vec
1046,0.17500000000000002,Unfolded Node2Vec
1054,0.895,Unfolded Node2Vec
1062,0.798,Unfolded Node2Vec
1070,0.10200000000000001,Unfolded Node2Vec
1078,0.41100000000000003,Unfolded Node2Vec
1086,0.434,Unfolded Node2Vec
1094,0.724,Unfolded Node2Vec
1102,0.6950000000000001,Unfolded Node2Vec
1110,0.514,Unfolded Node2Vec
1118,0.715,Unfolded Node2Vec
1126,0.446,Unfolded Node2Vec
1134,0.365,Unfolded Node2Vec
1142,0.806,Unfolded Node2Vec
1150,0.11,Unfolded Node2Vec
1158,0.711,Unfolded Node2Vec
1166,0.912,Unfolded Node2Vec
1174,0.314,Unfolded Node2Vec
1182,0.404,Unfolded Node2Vec
1190,0.396,Unfolded Node2Vec
1198,0.336,Unfolded Node2Vec
1206,0.094,Unfolded Node2Vec
1214,0.229,Unfolded Node2Vec
1222,0.164,Unfolded Node2Vec
1230,0.384,Unfolded Node2Vec
1238,0.581,Unfolded Node2Vec
1246,0.369,Unfolded Node2Vec
1254,0.643,Unfolded Node2Vec
1262,0.579,Unfolded Node2Vec
1270,0.704,Unfolded Node2Vec
1278,0.487,Unfolded Node2Vec
1286,0.378,Unfolded Node2Vec
1294,0.313,Unfolded Node2Vec
1302,0.9500000000000001,Unfolded Node2Vec
1310,0.24,Unfolded Node2Vec
1318,0.995,Unfolded Node2Vec
1326,0.584,Unfolded Node2Vec
1334,0.369,Unfolded Node2Vec
1342,0.5760000000000001,Unfolded Node2Vec
1350,0.524,Unfolded Node2Vec
1358,0.778,Unfolded Node2Vec
1366,0.34500000000000003,Unfolded Node2Vec
1374,0.978,Unfolded Node2Vec
1382,0.802,Unfolded Node2Vec
1390,0.777,Unfolded Node2Vec
1398,0.857,Unfolded Node2Vec
1406,0.916,Unfolded Node2Vec
1414,0.761,Unfolded Node2Vec
1422,0.17500000000000002,Unfolded Node2Vec
1430,0.327,Unfolded Node2Vec
1438,0.812,Unfolded Node2Vec
1446,0.171,Unfolded Node2Vec
1454,0.581,Unfolded Node2Vec
1462,0.9570000000000001,Unfolded Node2Vec
1470,0.463,Unfolded Node2Vec
1478,0.627,Unfolded Node2Vec
1486,0.549,Unfolded Node2Vec
1494,0.158,Unfolded Node2Vec
1502,0.63,Unfolded Node2Vec
1510,0.133,Unfolded Node2Vec
1518,0.968,Unfolded Node2Vec
1526,0.178,Unfolded Node2Vec
1534,0.66,Unfolded Node2Vec
1542,0.43,Unfolded Node2Vec
1550,0.719,Unfolded Node2Vec
1558,0.437,Unfolded Node2Vec
1566,0.894,Unfolded Node2Vec
1574,0.623,Unfolded Node2Vec
1582,0.364,Unfolded Node2Vec
1590,0.044,Unfolded Node2Vec
1598,0.426,Unfolded Node2Vec
