,p_hat,method
5,0.757,Independent Node2Vec
13,0.429,Independent Node2Vec
21,0.094,Independent Node2Vec
29,0.036000000000000004,Independent Node2Vec
37,0.366,Independent Node2Vec
45,0.124,Independent Node2Vec
53,0.192,Independent Node2Vec
61,0.894,Independent Node2Vec
69,0.865,Independent Node2Vec
77,0.795,Independent Node2Vec
85,0.642,Independent Node2Vec
93,0.314,Independent Node2Vec
101,0.79,Independent Node2Vec
109,0.17400000000000002,Independent Node2Vec
117,0.859,Independent Node2Vec
125,0.909,Independent Node2Vec
133,0.715,Independent Node2Vec
141,0.163,Independent Node2Vec
149,0.987,Independent Node2Vec
157,0.739,Independent Node2Vec
165,0.043000000000000003,Independent Node2Vec
173,0.308,Independent Node2Vec
181,0.061,Independent Node2Vec
189,0.6900000000000001,Independent Node2Vec
197,0.365,Independent Node2Vec
205,0.113,Independent Node2Vec
213,0.099,Independent Node2Vec
221,0.682,Independent Node2Vec
229,0.88,Independent Node2Vec
237,0.749,Independent Node2Vec
245,0.923,Independent Node2Vec
253,0.273,Independent Node2Vec
261,0.716,Independent Node2Vec
269,0.28300000000000003,Independent Node2Vec
277,0.216,Independent Node2Vec
285,0.41000000000000003,Independent Node2Vec
293,0.535,Independent Node2Vec
301,0.614,Independent Node2Vec
309,0.394,Independent Node2Vec
317,0.024,Independent Node2Vec
325,0.29,Independent Node2Vec
333,0.557,Independent Node2Vec
341,0.355,Independent Node2Vec
349,0.20800000000000002,Independent Node2Vec
357,0.14400000000000002,Independent Node2Vec
365,0.758,Independent Node2Vec
373,0.852,Independent Node2Vec
381,0.062,Independent Node2Vec
389,0.085,Independent Node2Vec
397,0.76,Independent Node2Vec
405,0.513,Independent Node2Vec
413,0.09,Independent Node2Vec
421,0.536,Independent Node2Vec
429,0.64,Independent Node2Vec
437,0.441,Independent Node2Vec
445,0.862,Independent Node2Vec
453,0.633,Independent Node2Vec
461,0.108,Independent Node2Vec
469,0.51,Independent Node2Vec
477,0.562,Independent Node2Vec
485,0.765,Independent Node2Vec
493,0.611,Independent Node2Vec
501,0.634,Independent Node2Vec
509,0.214,Independent Node2Vec
517,0.523,Independent Node2Vec
525,0.647,Independent Node2Vec
533,0.836,Independent Node2Vec
541,0.078,Independent Node2Vec
549,0.198,Independent Node2Vec
557,0.608,Independent Node2Vec
565,0.875,Independent Node2Vec
573,0.9500000000000001,Independent Node2Vec
581,0.20700000000000002,Independent Node2Vec
589,0.004,Independent Node2Vec
597,0.359,Independent Node2Vec
605,0.98,Independent Node2Vec
613,0.766,Independent Node2Vec
621,0.376,Independent Node2Vec
629,0.497,Independent Node2Vec
637,0.334,Independent Node2Vec
645,0.47900000000000004,Independent Node2Vec
653,0.451,Independent Node2Vec
661,0.195,Independent Node2Vec
669,0.032,Independent Node2Vec
677,0.839,Independent Node2Vec
685,0.394,Independent Node2Vec
693,0.077,Independent Node2Vec
701,0.89,Independent Node2Vec
709,0.298,Independent Node2Vec
717,0.521,Independent Node2Vec
725,0.199,Independent Node2Vec
733,0.498,Independent Node2Vec
741,0.025,Independent Node2Vec
749,0.902,Independent Node2Vec
757,0.065,Independent Node2Vec
765,0.795,Independent Node2Vec
773,0.429,Independent Node2Vec
781,0.421,Independent Node2Vec
789,0.9410000000000001,Independent Node2Vec
797,0.548,Independent Node2Vec
805,0.028,Independent Node2Vec
813,0.245,Independent Node2Vec
821,0.899,Independent Node2Vec
829,0.675,Independent Node2Vec
837,0.673,Independent Node2Vec
845,0.749,Independent Node2Vec
853,0.523,Independent Node2Vec
861,0.501,Independent Node2Vec
869,0.0,Independent Node2Vec
877,0.127,Independent Node2Vec
885,0.529,Independent Node2Vec
893,0.714,Independent Node2Vec
901,0.44,Independent Node2Vec
909,0.645,Independent Node2Vec
917,0.607,Independent Node2Vec
925,0.34700000000000003,Independent Node2Vec
933,0.807,Independent Node2Vec
941,0.973,Independent Node2Vec
949,0.114,Independent Node2Vec
957,0.044,Independent Node2Vec
965,0.8280000000000001,Independent Node2Vec
973,0.516,Independent Node2Vec
981,0.5680000000000001,Independent Node2Vec
989,0.192,Independent Node2Vec
997,0.589,Independent Node2Vec
1005,0.06,Independent Node2Vec
1013,0.713,Independent Node2Vec
1021,0.061,Independent Node2Vec
1029,0.489,Independent Node2Vec
1037,0.718,Independent Node2Vec
1045,0.28400000000000003,Independent Node2Vec
1053,0.834,Independent Node2Vec
1061,0.777,Independent Node2Vec
1069,0.786,Independent Node2Vec
1077,0.075,Independent Node2Vec
1085,0.391,Independent Node2Vec
1093,0.993,Independent Node2Vec
1101,0.396,Independent Node2Vec
1109,0.248,Independent Node2Vec
1117,0.269,Independent Node2Vec
1125,0.595,Independent Node2Vec
1133,0.112,Independent Node2Vec
1141,0.582,Independent Node2Vec
1149,0.708,Independent Node2Vec
1157,0.6,Independent Node2Vec
1165,0.862,Independent Node2Vec
1173,0.586,Independent Node2Vec
1181,0.451,Independent Node2Vec
1189,0.41000000000000003,Independent Node2Vec
1197,0.28200000000000003,Independent Node2Vec
1205,0.11900000000000001,Independent Node2Vec
1213,0.668,Independent Node2Vec
1221,0.557,Independent Node2Vec
1229,0.56,Independent Node2Vec
1237,0.07100000000000001,Independent Node2Vec
1245,0.084,Independent Node2Vec
1253,0.079,Independent Node2Vec
1261,0.577,Independent Node2Vec
1269,0.533,Independent Node2Vec
1277,0.626,Independent Node2Vec
1285,0.7000000000000001,Independent Node2Vec
1293,0.448,Independent Node2Vec
1301,0.637,Independent Node2Vec
1309,0.876,Independent Node2Vec
1317,0.128,Independent Node2Vec
1325,0.85,Independent Node2Vec
1333,0.613,Independent Node2Vec
1341,0.839,Independent Node2Vec
1349,0.757,Independent Node2Vec
1357,0.23,Independent Node2Vec
1365,0.23500000000000001,Independent Node2Vec
1373,0.338,Independent Node2Vec
1381,0.53,Independent Node2Vec
1389,0.679,Independent Node2Vec
1397,0.56,Independent Node2Vec
1405,0.64,Independent Node2Vec
1413,0.983,Independent Node2Vec
1421,0.373,Independent Node2Vec
1429,0.494,Independent Node2Vec
1437,0.6970000000000001,Independent Node2Vec
1445,0.427,Independent Node2Vec
1453,0.756,Independent Node2Vec
1461,0.681,Independent Node2Vec
1469,0.098,Independent Node2Vec
1477,0.048,Independent Node2Vec
1485,0.648,Independent Node2Vec
1493,0.252,Independent Node2Vec
1501,0.841,Independent Node2Vec
1509,0.686,Independent Node2Vec
1517,0.785,Independent Node2Vec
1525,0.902,Independent Node2Vec
1533,0.488,Independent Node2Vec
1541,0.251,Independent Node2Vec
1549,0.20500000000000002,Independent Node2Vec
1557,0.0,Independent Node2Vec
1565,0.647,Independent Node2Vec
1573,0.009000000000000001,Independent Node2Vec
1581,0.792,Independent Node2Vec
1589,0.6970000000000001,Independent Node2Vec
1597,0.6900000000000001,Independent Node2Vec
