,p_hat,method
2,0.642,OMNI
10,0.038,OMNI
18,0.677,OMNI
26,0.226,OMNI
34,0.446,OMNI
42,0.39,OMNI
50,0.861,OMNI
58,0.869,OMNI
66,0.604,OMNI
74,0.9420000000000001,OMNI
82,0.604,OMNI
90,0.991,OMNI
98,0.424,OMNI
106,0.444,OMNI
114,0.647,OMNI
122,0.622,OMNI
130,0.41200000000000003,OMNI
138,0.34600000000000003,OMNI
146,0.308,OMNI
154,0.309,OMNI
162,0.212,OMNI
170,0.6910000000000001,OMNI
178,0.869,OMNI
186,0.156,OMNI
194,0.34900000000000003,OMNI
202,0.926,OMNI
210,0.747,OMNI
218,0.685,OMNI
226,0.866,OMNI
234,0.777,OMNI
242,0.518,OMNI
250,0.544,OMNI
258,0.359,OMNI
266,0.86,OMNI
274,0.549,OMNI
282,0.915,OMNI
290,0.624,OMNI
298,0.16,OMNI
306,0.22,OMNI
314,0.23500000000000001,OMNI
322,0.589,OMNI
330,0.877,OMNI
338,0.835,OMNI
346,0.808,OMNI
354,0.078,OMNI
362,0.452,OMNI
370,0.34400000000000003,OMNI
378,0.771,OMNI
386,0.369,OMNI
394,0.883,OMNI
402,0.852,OMNI
410,0.675,OMNI
418,0.109,OMNI
426,0.369,OMNI
434,0.887,OMNI
442,0.683,OMNI
450,0.41000000000000003,OMNI
458,0.861,OMNI
466,0.10400000000000001,OMNI
474,0.398,OMNI
482,0.079,OMNI
490,0.331,OMNI
498,0.054,OMNI
506,0.488,OMNI
514,0.91,OMNI
522,0.91,OMNI
530,0.376,OMNI
538,0.091,OMNI
546,0.606,OMNI
554,0.094,OMNI
562,0.976,OMNI
570,0.064,OMNI
578,0.106,OMNI
586,0.976,OMNI
594,0.382,OMNI
602,0.005,OMNI
610,0.374,OMNI
618,0.292,OMNI
626,0.09,OMNI
634,0.182,OMNI
642,0.334,OMNI
650,0.837,OMNI
658,0.323,OMNI
666,0.616,OMNI
674,0.738,OMNI
682,0.23600000000000002,OMNI
690,0.533,OMNI
698,0.418,OMNI
706,0.589,OMNI
714,0.765,OMNI
722,0.195,OMNI
730,0.781,OMNI
738,0.431,OMNI
746,0.503,OMNI
754,0.27,OMNI
762,0.248,OMNI
770,0.085,OMNI
778,0.079,OMNI
786,0.28300000000000003,OMNI
794,0.003,OMNI
802,0.901,OMNI
810,0.155,OMNI
818,0.529,OMNI
826,0.369,OMNI
834,0.748,OMNI
842,0.27,OMNI
850,0.889,OMNI
858,0.006,OMNI
866,0.611,OMNI
874,0.919,OMNI
882,0.326,OMNI
890,0.723,OMNI
898,0.082,OMNI
906,0.871,OMNI
914,0.169,OMNI
922,0.977,OMNI
930,0.487,OMNI
938,0.549,OMNI
946,0.779,OMNI
954,0.135,OMNI
962,0.402,OMNI
970,0.325,OMNI
978,0.929,OMNI
986,0.026000000000000002,OMNI
994,0.809,OMNI
1002,0.8210000000000001,OMNI
1010,0.739,OMNI
1018,0.902,OMNI
1026,0.6960000000000001,OMNI
1034,0.91,OMNI
1042,0.5750000000000001,OMNI
1050,0.433,OMNI
1058,0.115,OMNI
1066,0.405,OMNI
1074,0.447,OMNI
1082,0.012,OMNI
1090,0.751,OMNI
1098,0.133,OMNI
1106,0.279,OMNI
1114,0.562,OMNI
1122,0.552,OMNI
1130,0.545,OMNI
1138,0.455,OMNI
1146,0.8230000000000001,OMNI
1154,0.061,OMNI
1162,0.881,OMNI
1170,0.22,OMNI
1178,0.1,OMNI
1186,0.7020000000000001,OMNI
1194,0.137,OMNI
1202,0.485,OMNI
1210,0.859,OMNI
1218,0.589,OMNI
1226,0.342,OMNI
1234,0.14,OMNI
1242,0.54,OMNI
1250,0.983,OMNI
1258,0.928,OMNI
1266,0.491,OMNI
1274,0.147,OMNI
1282,0.8320000000000001,OMNI
1290,0.3,OMNI
1298,0.873,OMNI
1306,0.382,OMNI
1314,0.879,OMNI
1322,0.797,OMNI
1330,0.728,OMNI
1338,0.249,OMNI
1346,0.723,OMNI
1354,0.431,OMNI
1362,0.905,OMNI
1370,0.632,OMNI
1378,0.578,OMNI
1386,0.214,OMNI
1394,0.388,OMNI
1402,0.202,OMNI
1410,0.493,OMNI
1418,0.327,OMNI
1426,0.419,OMNI
1434,0.33,OMNI
1442,0.322,OMNI
1450,0.468,OMNI
1458,0.66,OMNI
1466,0.9460000000000001,OMNI
1474,0.78,OMNI
1482,0.635,OMNI
1490,0.491,OMNI
1498,0.9390000000000001,OMNI
1506,0.311,OMNI
1514,0.81,OMNI
1522,0.125,OMNI
1530,0.168,OMNI
1538,0.985,OMNI
1546,0.5640000000000001,OMNI
1554,0.028,OMNI
1562,0.647,OMNI
1570,0.29,OMNI
1578,0.091,OMNI
1586,0.002,OMNI
1594,0.969,OMNI
