,p_hat,method
1,0.858,SSE Procrustes
9,0.47400000000000003,SSE Procrustes
17,0.51,SSE Procrustes
25,0.589,SSE Procrustes
33,0.364,SSE Procrustes
41,0.879,SSE Procrustes
49,0.625,SSE Procrustes
57,0.672,SSE Procrustes
65,0.88,SSE Procrustes
73,0.02,SSE Procrustes
81,0.158,SSE Procrustes
89,0.6990000000000001,SSE Procrustes
97,0.14100000000000001,SSE Procrustes
105,0.362,SSE Procrustes
113,0.326,SSE Procrustes
121,0.011,SSE Procrustes
129,0.091,SSE Procrustes
137,0.027,SSE Procrustes
145,0.213,SSE Procrustes
153,0.011,SSE Procrustes
161,0.88,SSE Procrustes
169,0.715,SSE Procrustes
177,0.873,SSE Procrustes
185,0.258,SSE Procrustes
193,0.34400000000000003,SSE Procrustes
201,0.34700000000000003,SSE Procrustes
209,0.309,SSE Procrustes
217,0.839,SSE Procrustes
225,0.061,SSE Procrustes
233,0.376,SSE Procrustes
241,0.6890000000000001,SSE Procrustes
249,0.034,SSE Procrustes
257,0.736,SSE Procrustes
265,0.381,SSE Procrustes
273,0.518,SSE Procrustes
281,0.508,SSE Procrustes
289,0.34600000000000003,SSE Procrustes
297,0.747,SSE Procrustes
305,0.728,SSE Procrustes
313,0.258,SSE Procrustes
321,0.619,SSE Procrustes
329,0.311,SSE Procrustes
337,0.871,SSE Procrustes
345,0.8240000000000001,SSE Procrustes
353,0.834,SSE Procrustes
361,0.548,SSE Procrustes
369,0.596,SSE Procrustes
377,0.775,SSE Procrustes
385,0.615,SSE Procrustes
393,0.845,SSE Procrustes
401,0.026000000000000002,SSE Procrustes
409,0.42,SSE Procrustes
417,0.834,SSE Procrustes
425,0.095,SSE Procrustes
433,0.716,SSE Procrustes
441,0.85,SSE Procrustes
449,0.91,SSE Procrustes
457,0.773,SSE Procrustes
465,0.006,SSE Procrustes
473,0.083,SSE Procrustes
481,0.8220000000000001,SSE Procrustes
489,0.148,SSE Procrustes
497,0.5730000000000001,SSE Procrustes
505,0.427,SSE Procrustes
513,0.092,SSE Procrustes
521,0.427,SSE Procrustes
529,0.648,SSE Procrustes
537,0.11900000000000001,SSE Procrustes
545,0.524,SSE Procrustes
553,0.601,SSE Procrustes
561,0.935,SSE Procrustes
569,0.709,SSE Procrustes
577,0.525,SSE Procrustes
585,0.537,SSE Procrustes
593,0.189,SSE Procrustes
601,0.241,SSE Procrustes
609,0.9490000000000001,SSE Procrustes
617,0.788,SSE Procrustes
625,0.399,SSE Procrustes
633,0.8240000000000001,SSE Procrustes
641,0.585,SSE Procrustes
649,0.995,SSE Procrustes
657,0.485,SSE Procrustes
665,0.273,SSE Procrustes
673,0.368,SSE Procrustes
681,0.782,SSE Procrustes
689,0.521,SSE Procrustes
697,0.362,SSE Procrustes
705,0.384,SSE Procrustes
713,0.422,SSE Procrustes
721,0.322,SSE Procrustes
729,0.08600000000000001,SSE Procrustes
737,0.6940000000000001,SSE Procrustes
745,0.914,SSE Procrustes
753,0.847,SSE Procrustes
761,0.666,SSE Procrustes
769,0.649,SSE Procrustes
777,0.727,SSE Procrustes
785,0.9550000000000001,SSE Procrustes
793,0.125,SSE Procrustes
801,0.116,SSE Procrustes
809,0.358,SSE Procrustes
817,0.20800000000000002,SSE Procrustes
825,0.374,SSE Procrustes
833,0.792,SSE Procrustes
841,0.5710000000000001,SSE Procrustes
849,0.544,SSE Procrustes
857,0.56,SSE Procrustes
865,0.8170000000000001,SSE Procrustes
873,0.243,SSE Procrustes
881,0.514,SSE Procrustes
889,0.047,SSE Procrustes
897,0.837,SSE Procrustes
905,0.039,SSE Procrustes
913,0.41200000000000003,SSE Procrustes
921,0.788,SSE Procrustes
929,0.116,SSE Procrustes
937,0.998,SSE Procrustes
945,0.751,SSE Procrustes
953,0.062,SSE Procrustes
961,0.234,SSE Procrustes
969,0.559,SSE Procrustes
977,0.843,SSE Procrustes
985,0.758,SSE Procrustes
993,0.34700000000000003,SSE Procrustes
1001,0.185,SSE Procrustes
1009,0.81,SSE Procrustes
1017,0.779,SSE Procrustes
1025,0.389,SSE Procrustes
1033,0.877,SSE Procrustes
1041,0.037,SSE Procrustes
1049,0.024,SSE Procrustes
1057,0.68,SSE Procrustes
1065,0.47000000000000003,SSE Procrustes
1073,0.305,SSE Procrustes
1081,0.023,SSE Procrustes
1089,0.343,SSE Procrustes
1097,0.153,SSE Procrustes
1105,0.511,SSE Procrustes
1113,0.373,SSE Procrustes
1121,0.8130000000000001,SSE Procrustes
1129,0.291,SSE Procrustes
1137,0.01,SSE Procrustes
1145,0.627,SSE Procrustes
1153,0.931,SSE Procrustes
1161,0.9580000000000001,SSE Procrustes
1169,0.6970000000000001,SSE Procrustes
1177,0.992,SSE Procrustes
1185,0.655,SSE Procrustes
1193,0.396,SSE Procrustes
1201,0.651,SSE Procrustes
1209,0.313,SSE Procrustes
1217,0.98,SSE Procrustes
1225,0.6940000000000001,SSE Procrustes
1233,0.243,SSE Procrustes
1241,0.5680000000000001,SSE Procrustes
1249,0.673,SSE Procrustes
1257,0.557,SSE Procrustes
1265,0.137,SSE Procrustes
1273,0.7010000000000001,SSE Procrustes
1281,0.004,SSE Procrustes
1289,0.018000000000000002,SSE Procrustes
1297,0.332,SSE Procrustes
1305,0.8280000000000001,SSE Procrustes
1313,0.302,SSE Procrustes
1321,0.907,SSE Procrustes
1329,0.442,SSE Procrustes
1337,0.17500000000000002,SSE Procrustes
1345,0.11,SSE Procrustes
1353,0.17400000000000002,SSE Procrustes
1361,0.456,SSE Procrustes
1369,0.443,SSE Procrustes
1377,0.14300000000000002,SSE Procrustes
1385,0.796,SSE Procrustes
1393,0.665,SSE Procrustes
1401,0.866,SSE Procrustes
1409,0.441,SSE Procrustes
1417,0.134,SSE Procrustes
1425,0.294,SSE Procrustes
1433,0.786,SSE Procrustes
1441,0.542,SSE Procrustes
1449,0.888,SSE Procrustes
1457,0.037,SSE Procrustes
1465,0.126,SSE Procrustes
1473,0.307,SSE Procrustes
1481,0.234,SSE Procrustes
1489,0.68,SSE Procrustes
1497,0.707,SSE Procrustes
1505,0.5720000000000001,SSE Procrustes
1513,0.908,SSE Procrustes
1521,0.77,SSE Procrustes
1529,0.423,SSE Procrustes
1537,0.306,SSE Procrustes
1545,0.67,SSE Procrustes
1553,0.248,SSE Procrustes
1561,0.352,SSE Procrustes
1569,0.745,SSE Procrustes
1577,0.509,SSE Procrustes
1585,0.5660000000000001,SSE Procrustes
1593,0.003,SSE Procrustes
