,p_hat,method
0,0.85,SSE
8,0.886,SSE
16,0.23500000000000001,SSE
24,0.056,SSE
32,0.842,SSE
40,0.616,SSE
48,0.867,SSE
56,0.787,SSE
64,0.372,SSE
72,0.983,SSE
80,0.105,SSE
88,0.844,SSE
96,0.672,SSE
104,0.518,SSE
112,0.587,SSE
120,0.606,SSE
128,0.025,SSE
136,0.6890000000000001,SSE
144,0.136,SSE
152,0.134,SSE
160,0.614,SSE
168,0.4,SSE
176,0.487,SSE
184,0.294,SSE
192,0.6940000000000001,SSE
200,0.796,SSE
208,0.07200000000000001,SSE
216,0.085,SSE
224,0.855,SSE
232,0.99,SSE
240,0.268,SSE
248,0.198,SSE
256,0.847,SSE
264,0.061,SSE
272,0.43,SSE
280,0.369,SSE
288,0.898,SSE
296,0.078,SSE
304,0.58,SSE
312,0.8250000000000001,SSE
320,0.761,SSE
328,0.461,SSE
336,0.218,SSE
344,0.459,SSE
352,0.862,SSE
360,0.085,SSE
368,0.042,SSE
376,0.28800000000000003,SSE
384,0.759,SSE
392,0.561,SSE
400,0.249,SSE
408,0.319,SSE
416,0.926,SSE
424,0.799,SSE
432,0.396,SSE
440,0.9430000000000001,SSE
448,0.9470000000000001,SSE
456,0.384,SSE
464,0.49,SSE
472,0.20600000000000002,SSE
480,0.775,SSE
488,0.458,SSE
496,0.323,SSE
504,0.47700000000000004,SSE
512,0.872,SSE
520,0.229,SSE
528,0.048,SSE
536,0.042,SSE
544,0.483,SSE
552,0.117,SSE
560,0.91,SSE
568,0.20500000000000002,SSE
576,0.593,SSE
584,0.33,SSE
592,0.297,SSE
600,0.755,SSE
608,0.517,SSE
616,0.8320000000000001,SSE
624,0.421,SSE
632,0.426,SSE
640,0.34700000000000003,SSE
648,0.23900000000000002,SSE
656,0.441,SSE
664,0.675,SSE
672,0.728,SSE
680,0.487,SSE
688,0.759,SSE
696,0.9390000000000001,SSE
704,0.34400000000000003,SSE
712,0.424,SSE
720,0.057,SSE
728,0.844,SSE
736,0.126,SSE
744,0.513,SSE
752,0.325,SSE
760,0.133,SSE
768,0.737,SSE
776,0.402,SSE
784,0.176,SSE
792,0.051000000000000004,SSE
800,0.934,SSE
808,0.481,SSE
816,0.6910000000000001,SSE
824,0.121,SSE
832,0.631,SSE
840,0.11900000000000001,SSE
848,0.581,SSE
856,0.9470000000000001,SSE
864,0.661,SSE
872,0.48,SSE
880,0.753,SSE
888,0.404,SSE
896,0.636,SSE
904,0.9390000000000001,SSE
912,0.851,SSE
920,0.67,SSE
928,0.066,SSE
936,0.171,SSE
944,0.341,SSE
952,0.9410000000000001,SSE
960,0.074,SSE
968,0.518,SSE
976,0.722,SSE
984,0.35100000000000003,SSE
992,0.437,SSE
1000,0.433,SSE
1008,0.221,SSE
1016,0.753,SSE
1024,0.872,SSE
1032,0.11900000000000001,SSE
1040,0.931,SSE
1048,0.192,SSE
1056,0.678,SSE
1064,0.669,SSE
1072,0.655,SSE
1080,0.08600000000000001,SSE
1088,0.421,SSE
1096,0.548,SSE
1104,0.9380000000000001,SSE
1112,0.612,SSE
1120,0.202,SSE
1128,0.11900000000000001,SSE
1136,0.9530000000000001,SSE
1144,0.379,SSE
1152,0.988,SSE
1160,0.029,SSE
1168,0.533,SSE
1176,0.884,SSE
1184,0.63,SSE
1192,0.8290000000000001,SSE
1200,0.229,SSE
1208,0.9490000000000001,SSE
1216,0.973,SSE
1224,0.3,SSE
1232,0.17500000000000002,SSE
1240,0.14400000000000002,SSE
1248,0.542,SSE
1256,0.435,SSE
1264,0.28600000000000003,SSE
1272,0.5730000000000001,SSE
1280,0.133,SSE
1288,0.908,SSE
1296,0.988,SSE
1304,0.645,SSE
1312,0.504,SSE
1320,0.463,SSE
1328,0.6990000000000001,SSE
1336,0.234,SSE
1344,0.528,SSE
1352,0.5690000000000001,SSE
1360,0.157,SSE
1368,0.41100000000000003,SSE
1376,0.356,SSE
1384,0.806,SSE
1392,0.241,SSE
1400,0.083,SSE
1408,0.001,SSE
1416,0.018000000000000002,SSE
1424,0.865,SSE
1432,0.056,SSE
1440,0.005,SSE
1448,0.9590000000000001,SSE
1456,0.589,SSE
1464,0.644,SSE
1472,0.019,SSE
1480,0.5710000000000001,SSE
1488,0.28400000000000003,SSE
1496,0.306,SSE
1504,0.372,SSE
1512,0.059000000000000004,SSE
1520,0.678,SSE
1528,0.988,SSE
1536,0.5720000000000001,SSE
1544,0.6960000000000001,SSE
1552,0.9580000000000001,SSE
1560,0.598,SSE
1568,0.651,SSE
1576,0.517,SSE
1584,0.225,SSE
1592,0.092,SSE
