,p_hat,method
3,0.364,UASE
11,0.546,UASE
19,0.5650000000000001,UASE
27,0.5680000000000001,UASE
35,0.016,UASE
43,0.852,UASE
51,0.66,UASE
59,0.511,UASE
67,0.35100000000000003,UASE
75,0.004,UASE
83,0.315,UASE
91,0.634,UASE
99,0.005,UASE
107,0.445,UASE
115,0.9590000000000001,UASE
123,0.23,UASE
131,0.46900000000000003,UASE
139,0.866,UASE
147,0.422,UASE
155,0.935,UASE
163,0.544,UASE
171,0.675,UASE
179,0.094,UASE
187,0.43,UASE
195,0.272,UASE
203,0.198,UASE
211,0.897,UASE
219,0.589,UASE
227,0.125,UASE
235,0.171,UASE
243,0.8270000000000001,UASE
251,0.357,UASE
259,0.886,UASE
267,0.983,UASE
275,0.222,UASE
283,0.78,UASE
291,0.725,UASE
299,0.843,UASE
307,0.455,UASE
315,0.259,UASE
323,0.17200000000000001,UASE
331,0.209,UASE
339,0.589,UASE
347,0.675,UASE
355,0.578,UASE
363,0.447,UASE
371,0.34,UASE
379,0.991,UASE
387,0.981,UASE
395,0.881,UASE
403,0.372,UASE
411,0.276,UASE
419,0.612,UASE
427,0.5660000000000001,UASE
435,0.085,UASE
443,0.92,UASE
451,0.446,UASE
459,0.135,UASE
467,0.535,UASE
475,0.101,UASE
483,0.893,UASE
491,0.8300000000000001,UASE
499,0.031,UASE
507,0.024,UASE
515,0.502,UASE
523,0.742,UASE
531,0.388,UASE
539,0.667,UASE
547,0.709,UASE
555,0.166,UASE
563,0.196,UASE
571,0.39,UASE
579,0.891,UASE
587,0.973,UASE
595,0.273,UASE
603,0.617,UASE
611,0.021,UASE
619,0.27,UASE
627,0.666,UASE
635,0.916,UASE
643,0.87,UASE
651,0.47500000000000003,UASE
659,0.372,UASE
667,0.11,UASE
675,0.875,UASE
683,0.681,UASE
691,0.649,UASE
699,0.647,UASE
707,0.925,UASE
715,0.427,UASE
723,0.124,UASE
731,0.299,UASE
739,0.722,UASE
747,0.607,UASE
755,0.364,UASE
763,0.76,UASE
771,0.62,UASE
779,0.339,UASE
787,0.73,UASE
795,0.398,UASE
803,0.5680000000000001,UASE
811,0.712,UASE
819,0.6890000000000001,UASE
827,0.976,UASE
835,0.045,UASE
843,0.9400000000000001,UASE
851,0.28500000000000003,UASE
859,0.275,UASE
867,0.669,UASE
875,0.891,UASE
883,0.769,UASE
891,0.201,UASE
899,0.893,UASE
907,0.457,UASE
915,0.322,UASE
923,0.914,UASE
931,0.445,UASE
939,0.736,UASE
947,0.634,UASE
955,0.14300000000000002,UASE
963,0.35000000000000003,UASE
971,0.073,UASE
979,0.41500000000000004,UASE
987,0.989,UASE
995,0.41300000000000003,UASE
1003,0.556,UASE
1011,0.718,UASE
1019,0.637,UASE
1027,0.123,UASE
1035,0.594,UASE
1043,0.23600000000000002,UASE
1051,0.095,UASE
1059,0.763,UASE
1067,0.486,UASE
1075,0.269,UASE
1083,0.295,UASE
1091,0.101,UASE
1099,0.084,UASE
1107,0.864,UASE
1115,0.616,UASE
1123,0.507,UASE
1131,0.02,UASE
1139,0.805,UASE
1147,0.198,UASE
1155,0.537,UASE
1163,0.559,UASE
1171,0.717,UASE
1179,0.649,UASE
1187,0.456,UASE
1195,0.921,UASE
1203,0.34,UASE
1211,0.679,UASE
1219,0.965,UASE
1227,0.894,UASE
1235,0.734,UASE
1243,0.578,UASE
1251,0.046,UASE
1259,0.833,UASE
1267,0.519,UASE
1275,0.17300000000000001,UASE
1283,0.371,UASE
1291,0.794,UASE
1299,0.798,UASE
1307,0.042,UASE
1315,0.007,UASE
1323,0.535,UASE
1331,0.465,UASE
1339,0.418,UASE
1347,0.749,UASE
1355,0.277,UASE
1363,0.488,UASE
1371,0.622,UASE
1379,0.078,UASE
1387,0.431,UASE
1395,0.562,UASE
1403,0.265,UASE
1411,0.261,UASE
1419,0.156,UASE
1427,0.808,UASE
1435,0.371,UASE
1443,0.878,UASE
1451,0.86,UASE
1459,0.737,UASE
1467,0.035,UASE
1475,0.767,UASE
1483,0.17400000000000002,UASE
1491,0.036000000000000004,UASE
1499,0.2,UASE
1507,0.533,UASE
1515,0.71,UASE
1523,0.68,UASE
1531,0.631,UASE
1539,0.662,UASE
1547,0.802,UASE
1555,0.303,UASE
1563,0.667,UASE
1571,0.9420000000000001,UASE
1579,0.898,UASE
1587,0.19,UASE
1595,0.20400000000000001,UASE
