,p_hat,method
4,0.40800000000000003,URLSE
12,0.536,URLSE
20,0.594,URLSE
28,0.559,URLSE
36,0.015,URLSE
44,0.839,URLSE
52,0.642,URLSE
60,0.51,URLSE
68,0.338,URLSE
76,0.002,URLSE
84,0.371,URLSE
92,0.646,URLSE
100,0.001,URLSE
108,0.446,URLSE
116,0.99,URLSE
124,0.231,URLSE
132,0.499,URLSE
140,0.8230000000000001,URLSE
148,0.47400000000000003,URLSE
156,0.937,URLSE
164,0.5640000000000001,URLSE
172,0.617,URLSE
180,0.08600000000000001,URLSE
188,0.391,URLSE
196,0.279,URLSE
204,0.268,URLSE
212,0.891,URLSE
220,0.602,URLSE
228,0.107,URLSE
236,0.164,URLSE
244,0.778,URLSE
252,0.323,URLSE
260,0.911,URLSE
268,0.981,URLSE
276,0.259,URLSE
284,0.808,URLSE
292,0.687,URLSE
300,0.892,URLSE
308,0.485,URLSE
316,0.254,URLSE
324,0.14400000000000002,URLSE
332,0.209,URLSE
340,0.53,URLSE
348,0.6980000000000001,URLSE
356,0.639,URLSE
364,0.429,URLSE
372,0.383,URLSE
380,0.995,URLSE
388,0.981,URLSE
396,0.8320000000000001,URLSE
404,0.34500000000000003,URLSE
412,0.302,URLSE
420,0.551,URLSE
428,0.558,URLSE
436,0.069,URLSE
444,0.931,URLSE
452,0.444,URLSE
460,0.12,URLSE
468,0.581,URLSE
476,0.07200000000000001,URLSE
484,0.9420000000000001,URLSE
492,0.843,URLSE
500,0.039,URLSE
508,0.024,URLSE
516,0.47900000000000004,URLSE
524,0.6940000000000001,URLSE
532,0.368,URLSE
540,0.621,URLSE
548,0.773,URLSE
556,0.17200000000000001,URLSE
564,0.2,URLSE
572,0.367,URLSE
580,0.875,URLSE
588,0.967,URLSE
596,0.3,URLSE
604,0.56,URLSE
612,0.02,URLSE
620,0.267,URLSE
628,0.679,URLSE
636,0.922,URLSE
644,0.9,URLSE
652,0.484,URLSE
660,0.371,URLSE
668,0.111,URLSE
676,0.838,URLSE
684,0.65,URLSE
692,0.593,URLSE
700,0.668,URLSE
708,0.923,URLSE
716,0.40900000000000003,URLSE
724,0.092,URLSE
732,0.291,URLSE
740,0.722,URLSE
748,0.623,URLSE
756,0.35000000000000003,URLSE
764,0.797,URLSE
772,0.623,URLSE
780,0.326,URLSE
788,0.74,URLSE
796,0.40700000000000003,URLSE
804,0.594,URLSE
812,0.659,URLSE
820,0.679,URLSE
828,0.968,URLSE
836,0.04,URLSE
844,0.9520000000000001,URLSE
852,0.28700000000000003,URLSE
860,0.28700000000000003,URLSE
868,0.656,URLSE
876,0.873,URLSE
884,0.78,URLSE
892,0.21,URLSE
900,0.842,URLSE
908,0.419,URLSE
916,0.339,URLSE
924,0.929,URLSE
932,0.444,URLSE
940,0.808,URLSE
948,0.632,URLSE
956,0.111,URLSE
964,0.343,URLSE
972,0.057,URLSE
980,0.436,URLSE
988,0.966,URLSE
996,0.447,URLSE
1004,0.56,URLSE
1012,0.641,URLSE
1020,0.622,URLSE
1028,0.192,URLSE
1036,0.492,URLSE
1044,0.267,URLSE
1052,0.10300000000000001,URLSE
1060,0.784,URLSE
1068,0.48,URLSE
1076,0.274,URLSE
1084,0.276,URLSE
1092,0.085,URLSE
1100,0.115,URLSE
1108,0.85,URLSE
1116,0.636,URLSE
1124,0.53,URLSE
1132,0.014,URLSE
1140,0.842,URLSE
1148,0.194,URLSE
1156,0.513,URLSE
1164,0.545,URLSE
1172,0.685,URLSE
1180,0.603,URLSE
1188,0.488,URLSE
1196,0.909,URLSE
1204,0.365,URLSE
1212,0.714,URLSE
1220,0.971,URLSE
1228,0.909,URLSE
1236,0.808,URLSE
1244,0.62,URLSE
1252,0.037,URLSE
1260,0.804,URLSE
1268,0.53,URLSE
1276,0.177,URLSE
1284,0.39,URLSE
1292,0.795,URLSE
1300,0.794,URLSE
1308,0.038,URLSE
1316,0.007,URLSE
1324,0.543,URLSE
1332,0.543,URLSE
1340,0.418,URLSE
1348,0.732,URLSE
1356,0.249,URLSE
1364,0.536,URLSE
1372,0.6950000000000001,URLSE
1380,0.06,URLSE
1388,0.457,URLSE
1396,0.5680000000000001,URLSE
1404,0.23900000000000002,URLSE
1412,0.231,URLSE
1420,0.15,URLSE
1428,0.859,URLSE
1436,0.331,URLSE
1444,0.879,URLSE
1452,0.882,URLSE
1460,0.747,URLSE
1468,0.05,URLSE
1476,0.765,URLSE
1484,0.189,URLSE
1492,0.03,URLSE
1500,0.214,URLSE
1508,0.509,URLSE
1516,0.716,URLSE
1524,0.729,URLSE
1532,0.648,URLSE
1540,0.623,URLSE
1548,0.8230000000000001,URLSE
1556,0.334,URLSE
1564,0.6910000000000001,URLSE
1572,0.916,URLSE
1580,0.897,URLSE
1588,0.193,URLSE
1596,0.244,URLSE
