,p_hat,method
6,0.234,Unfolded Node2Vec
14,0.6880000000000001,Unfolded Node2Vec
22,0.036000000000000004,Unfolded Node2Vec
30,0.354,Unfolded Node2Vec
38,0.3,Unfolded Node2Vec
46,0.438,Unfolded Node2Vec
54,0.121,Unfolded Node2Vec
62,0.374,Unfolded Node2Vec
70,0.01,Unfolded Node2Vec
78,0.509,Unfolded Node2Vec
86,0.016,Unfolded Node2Vec
94,0.35100000000000003,Unfolded Node2Vec
102,0.722,Unfolded Node2Vec
110,0.224,Unfolded Node2Vec
118,0.6910000000000001,Unfolded Node2Vec
126,0.289,Unfolded Node2Vec
134,0.44,Unfolded Node2Vec
142,0.295,Unfolded Node2Vec
150,0.913,Unfolded Node2Vec
158,0.328,Unfolded Node2Vec
166,0.011,Unfolded Node2Vec
174,0.927,Unfolded Node2Vec
182,0.994,Unfolded Node2Vec
190,0.154,Unfolded Node2Vec
198,0.5650000000000001,Unfolded Node2Vec
206,0.21,Unfolded Node2Vec
214,0.406,Unfolded Node2Vec
222,0.185,Unfolded Node2Vec
230,0.6990000000000001,Unfolded Node2Vec
238,0.9500000000000001,Unfolded Node2Vec
246,0.731,Unfolded Node2Vec
254,0.135,Unfolded Node2Vec
262,0.966,Unfolded Node2Vec
270,0.116,Unfolded Node2Vec
278,0.864,Unfolded Node2Vec
286,0.789,Unfolded Node2Vec
294,0.847,Unfolded Node2Vec
302,0.528,Unfolded Node2Vec
310,0.687,Unfolded Node2Vec
318,0.183,Unfolded Node2Vec
326,0.452,Unfolded Node2Vec
334,0.626,Unfolded Node2Vec
342,0.0,Unfolded Node2Vec
350,0.234,Unfolded Node2Vec
358,0.083,Unfolded Node2Vec
366,0.84,Unfolded Node2Vec
374,0.796,Unfolded Node2Vec
382,0.23700000000000002,Unfolded Node2Vec
390,0.27,Unfolded Node2Vec
398,0.342,Unfolded Node2Vec
406,0.961,Unfolded Node2Vec
414,0.895,Unfolded Node2Vec
422,0.196,Unfolded Node2Vec
430,0.599,Unfolded Node2Vec
438,0.975,Unfolded Node2Vec
446,0.127,Unfolded Node2Vec
454,0.92,Unfolded Node2Vec
462,0.676,Unfolded Node2Vec
470,0.262,Unfolded Node2Vec
478,0.41000000000000003,Unfolded Node2Vec
486,0.027,Unfolded Node2Vec
494,0.9520000000000001,Unfolded Node2Vec
502,0.512,Unfolded Node2Vec
510,0.269,Unfolded Node2Vec
518,0.628,Unfolded Node2Vec
526,0.849,Unfolded Node2Vec
534,0.746,Unfolded Node2Vec
542,0.9440000000000001,Unfolded Node2Vec
550,0.41600000000000004,Unfolded Node2Vec
558,0.9580000000000001,Unfolded Node2Vec
566,0.29,Unfolded Node2Vec
574,0.98,Unfolded Node2Vec
582,0.443,Unfolded Node2Vec
590,0.404,Unfolded Node2Vec
598,0.604,Unfolded Node2Vec
606,0.838,Unfolded Node2Vec
614,0.965,Unfolded Node2Vec
622,0.425,Unfolded Node2Vec
630,0.977,Unfolded Node2Vec
638,0.399,Unfolded Node2Vec
646,0.876,Unfolded Node2Vec
654,0.446,Unfolded Node2Vec
662,0.784,Unfolded Node2Vec
670,0.753,Unfolded Node2Vec
678,0.8300000000000001,Unfolded Node2Vec
686,0.639,Unfolded Node2Vec
694,0.08700000000000001,Unfolded Node2Vec
702,0.504,Unfolded Node2Vec
710,0.062,Unfolded Node2Vec
718,0.16,Unfolded Node2Vec
726,0.58,Unfolded Node2Vec
734,0.309,Unfolded Node2Vec
742,0.605,Unfolded Node2Vec
750,0.927,Unfolded Node2Vec
758,0.364,Unfolded Node2Vec
766,0.402,Unfolded Node2Vec
774,0.483,Unfolded Node2Vec
782,0.037,Unfolded Node2Vec
790,0.6970000000000001,Unfolded Node2Vec
798,0.5750000000000001,Unfolded Node2Vec
806,0.873,Unfolded Node2Vec
814,0.561,Unfolded Node2Vec
822,0.272,Unfolded Node2Vec
830,0.246,Unfolded Node2Vec
838,0.754,Unfolded Node2Vec
846,0.666,Unfolded Node2Vec
854,0.802,Unfolded Node2Vec
862,0.8130000000000001,Unfolded Node2Vec
870,0.989,Unfolded Node2Vec
878,0.307,Unfolded Node2Vec
886,0.75,Unfolded Node2Vec
894,0.666,Unfolded Node2Vec
902,0.712,Unfolded Node2Vec
910,0.338,Unfolded Node2Vec
918,0.9570000000000001,Unfolded Node2Vec
926,0.258,Unfolded Node2Vec
934,0.602,Unfolded Node2Vec
942,0.8150000000000001,Unfolded Node2Vec
950,0.388,Unfolded Node2Vec
958,0.683,Unfolded Node2Vec
966,0.314,Unfolded Node2Vec
974,0.122,Unfolded Node2Vec
982,0.318,Unfolded Node2Vec
990,0.261,Unfolded Node2Vec
998,0.25,Unfolded Node2Vec
1006,0.308,Unfolded Node2Vec
1014,0.787,Unfolded Node2Vec
1022,0.6950000000000001,Unfolded Node2Vec
1030,0.078,Unfolded Node2Vec
1038,0.331,Unfolded Node2Vec
1046,0.556,Unfolded Node2Vec
1054,0.493,Unfolded Node2Vec
1062,0.806,Unfolded Node2Vec
1070,0.6930000000000001,Unfolded Node2Vec
1078,0.498,Unfolded Node2Vec
1086,0.546,Unfolded Node2Vec
1094,0.074,Unfolded Node2Vec
1102,0.078,Unfolded Node2Vec
1110,0.428,Unfolded Node2Vec
1118,0.352,Unfolded Node2Vec
1126,0.138,Unfolded Node2Vec
1134,0.848,Unfolded Node2Vec
1142,0.383,Unfolded Node2Vec
1150,0.127,Unfolded Node2Vec
1158,0.297,Unfolded Node2Vec
1166,0.10300000000000001,Unfolded Node2Vec
1174,0.518,Unfolded Node2Vec
