,p_hat,method
8,0.033,GloDyNE
17,0.116,GloDyNE
26,0.026000000000000002,GloDyNE
35,0.11900000000000001,GloDyNE
44,0.084,GloDyNE
53,0.056,GloDyNE
62,0.03,GloDyNE
71,0.03,GloDyNE
80,0.17500000000000002,GloDyNE
89,0.22,GloDyNE
98,0.028,GloDyNE
107,0.292,GloDyNE
116,0.177,GloDyNE
125,0.022,GloDyNE
134,0.329,GloDyNE
143,0.192,GloDyNE
152,0.191,GloDyNE
161,0.133,GloDyNE
170,0.082,GloDyNE
179,0.267,GloDyNE
188,0.06,GloDyNE
197,0.024,GloDyNE
206,0.336,GloDyNE
215,0.07100000000000001,GloDyNE
224,0.129,GloDyNE
233,0.024,GloDyNE
242,0.026000000000000002,GloDyNE
251,0.007,GloDyNE
260,0.025,GloDyNE
269,0.085,GloDyNE
278,0.012,GloDyNE
287,0.075,GloDyNE
296,0.029,GloDyNE
305,0.062,GloDyNE
314,0.043000000000000003,GloDyNE
323,0.019,GloDyNE
332,0.246,GloDyNE
341,0.003,GloDyNE
350,0.025,GloDyNE
359,0.053,GloDyNE
368,0.063,GloDyNE
377,0.088,GloDyNE
386,0.022,GloDyNE
395,0.054,GloDyNE
404,0.014,GloDyNE
413,0.042,GloDyNE
422,0.049,GloDyNE
431,0.046,GloDyNE
440,0.043000000000000003,GloDyNE
449,0.192,GloDyNE
458,0.075,GloDyNE
467,0.262,GloDyNE
476,0.058,GloDyNE
485,0.138,GloDyNE
494,0.049,GloDyNE
503,0.074,GloDyNE
512,0.036000000000000004,GloDyNE
521,0.186,GloDyNE
530,0.082,GloDyNE
539,0.013000000000000001,GloDyNE
548,0.129,GloDyNE
557,0.036000000000000004,GloDyNE
566,0.134,GloDyNE
575,0.167,GloDyNE
584,0.214,GloDyNE
593,0.082,GloDyNE
602,0.111,GloDyNE
611,0.06,GloDyNE
620,0.183,GloDyNE
629,0.189,GloDyNE
638,0.161,GloDyNE
647,0.077,GloDyNE
656,0.043000000000000003,GloDyNE
665,0.016,GloDyNE
674,0.009000000000000001,GloDyNE
683,0.14200000000000002,GloDyNE
692,0.10200000000000001,GloDyNE
701,0.024,GloDyNE
710,0.135,GloDyNE
719,0.164,GloDyNE
728,0.056,GloDyNE
737,0.01,GloDyNE
746,0.09,GloDyNE
755,0.006,GloDyNE
764,0.092,GloDyNE
773,0.127,GloDyNE
782,0.022,GloDyNE
791,0.079,GloDyNE
800,0.124,GloDyNE
809,0.046,GloDyNE
818,0.059000000000000004,GloDyNE
827,0.048,GloDyNE
836,0.01,GloDyNE
845,0.303,GloDyNE
854,0.068,GloDyNE
863,0.031,GloDyNE
872,0.039,GloDyNE
881,0.023,GloDyNE
890,0.088,GloDyNE
899,0.037,GloDyNE
908,0.01,GloDyNE
917,0.111,GloDyNE
926,0.08700000000000001,GloDyNE
935,0.025,GloDyNE
944,0.073,GloDyNE
953,0.088,GloDyNE
962,0.011,GloDyNE
971,0.04,GloDyNE
980,0.028,GloDyNE
989,0.11800000000000001,GloDyNE
998,0.031,GloDyNE
1007,0.07,GloDyNE
1016,0.241,GloDyNE
1025,0.126,GloDyNE
1034,0.168,GloDyNE
1043,0.08,GloDyNE
1052,0.005,GloDyNE
1061,0.027,GloDyNE
1070,0.078,GloDyNE
1079,0.23900000000000002,GloDyNE
1088,0.093,GloDyNE
1097,0.067,GloDyNE
1106,0.088,GloDyNE
1115,0.059000000000000004,GloDyNE
1124,0.115,GloDyNE
1133,0.057,GloDyNE
1142,0.07200000000000001,GloDyNE
1151,0.08,GloDyNE
1160,0.1,GloDyNE
1169,0.074,GloDyNE
1178,0.066,GloDyNE
1187,0.099,GloDyNE
1196,0.323,GloDyNE
1205,0.074,GloDyNE
1214,0.081,GloDyNE
1223,0.064,GloDyNE
1232,0.068,GloDyNE
1241,0.019,GloDyNE
1250,0.115,GloDyNE
1259,0.08,GloDyNE
1268,0.11900000000000001,GloDyNE
1277,0.099,GloDyNE
1286,0.073,GloDyNE
1295,0.132,GloDyNE
1304,0.31,GloDyNE
1313,0.041,GloDyNE
1322,0.091,GloDyNE
1331,0.14400000000000002,GloDyNE
1340,0.003,GloDyNE
1349,0.212,GloDyNE
1358,0.07,GloDyNE
1367,0.013000000000000001,GloDyNE
1376,0.016,GloDyNE
1385,0.099,GloDyNE
1394,0.024,GloDyNE
1403,0.335,GloDyNE
1412,0.048,GloDyNE
1421,0.057,GloDyNE
1430,0.019,GloDyNE
1439,0.07,GloDyNE
1448,0.024,GloDyNE
1457,0.123,GloDyNE
1466,0.014,GloDyNE
1475,0.043000000000000003,GloDyNE
1484,0.14100000000000001,GloDyNE
1493,0.084,GloDyNE
1502,0.01,GloDyNE
1511,0.013000000000000001,GloDyNE
1520,0.027,GloDyNE
1529,0.063,GloDyNE
1538,0.084,GloDyNE
1547,0.028,GloDyNE
1556,0.067,GloDyNE
1565,0.025,GloDyNE
1574,0.031,GloDyNE
1583,0.048,GloDyNE
1592,0.037,GloDyNE
1601,0.032,GloDyNE
1610,0.024,GloDyNE
1619,0.136,GloDyNE
1628,0.098,GloDyNE
1637,0.014,GloDyNE
1646,0.046,GloDyNE
1655,0.016,GloDyNE
1664,0.10200000000000001,GloDyNE
1673,0.09,GloDyNE
1682,0.132,GloDyNE
1691,0.06,GloDyNE
1700,0.093,GloDyNE
1709,0.015,GloDyNE
1718,0.122,GloDyNE
1727,0.031,GloDyNE
1736,0.084,GloDyNE
1745,0.014,GloDyNE
1754,0.044,GloDyNE
1763,0.108,GloDyNE
1772,0.111,GloDyNE
1781,0.032,GloDyNE
1790,0.021,GloDyNE
1799,0.026000000000000002,GloDyNE
