,p_hat,method
7,0.002,Independent Node2vec
16,0.0,Independent Node2vec
25,0.003,Independent Node2vec
34,0.0,Independent Node2vec
43,0.0,Independent Node2vec
52,0.602,Independent Node2vec
61,0.0,Independent Node2vec
70,0.0,Independent Node2vec
79,0.0,Independent Node2vec
88,0.0,Independent Node2vec
97,0.0,Independent Node2vec
106,0.0,Independent Node2vec
115,0.0,Independent Node2vec
124,0.8170000000000001,Independent Node2vec
133,0.0,Independent Node2vec
142,0.0,Independent Node2vec
151,0.0,Independent Node2vec
160,0.719,Independent Node2vec
169,0.0,Independent Node2vec
178,0.0,Independent Node2vec
187,0.0,Independent Node2vec
196,0.0,Independent Node2vec
205,0.0,Independent Node2vec
214,0.002,Independent Node2vec
223,0.0,Independent Node2vec
232,0.0,Independent Node2vec
241,0.0,Independent Node2vec
250,0.0,Independent Node2vec
259,0.0,Independent Node2vec
268,0.0,Independent Node2vec
277,0.0,Independent Node2vec
286,0.059000000000000004,Independent Node2vec
295,0.0,Independent Node2vec
304,0.0,Independent Node2vec
313,0.0,Independent Node2vec
322,0.0,Independent Node2vec
331,0.001,Independent Node2vec
340,0.0,Independent Node2vec
349,0.0,Independent Node2vec
358,0.0,Independent Node2vec
367,0.0,Independent Node2vec
376,0.0,Independent Node2vec
385,0.0,Independent Node2vec
394,0.0,Independent Node2vec
403,0.0,Independent Node2vec
412,0.0,Independent Node2vec
421,0.0,Independent Node2vec
430,0.0,Independent Node2vec
439,0.0,Independent Node2vec
448,0.0,Independent Node2vec
457,0.0,Independent Node2vec
466,0.038,Independent Node2vec
475,0.0,Independent Node2vec
484,0.0,Independent Node2vec
493,0.0,Independent Node2vec
502,0.0,Independent Node2vec
511,0.0,Independent Node2vec
520,0.0,Independent Node2vec
529,0.0,Independent Node2vec
538,0.0,Independent Node2vec
547,0.0,Independent Node2vec
556,0.0,Independent Node2vec
565,0.0,Independent Node2vec
574,0.0,Independent Node2vec
583,0.0,Independent Node2vec
592,0.0,Independent Node2vec
601,0.0,Independent Node2vec
610,0.0,Independent Node2vec
619,0.0,Independent Node2vec
628,0.0,Independent Node2vec
637,0.0,Independent Node2vec
646,0.0,Independent Node2vec
655,0.0,Independent Node2vec
664,0.0,Independent Node2vec
673,0.0,Independent Node2vec
682,0.0,Independent Node2vec
691,0.0,Independent Node2vec
700,0.0,Independent Node2vec
709,0.006,Independent Node2vec
718,0.0,Independent Node2vec
727,0.0,Independent Node2vec
736,0.0,Independent Node2vec
745,0.051000000000000004,Independent Node2vec
754,0.0,Independent Node2vec
763,0.0,Independent Node2vec
772,0.0,Independent Node2vec
781,0.0,Independent Node2vec
790,0.0,Independent Node2vec
799,0.0,Independent Node2vec
808,0.0,Independent Node2vec
817,0.0,Independent Node2vec
826,0.0,Independent Node2vec
835,0.317,Independent Node2vec
844,0.0,Independent Node2vec
853,0.0,Independent Node2vec
862,0.0,Independent Node2vec
871,0.0,Independent Node2vec
880,0.0,Independent Node2vec
889,0.0,Independent Node2vec
898,0.09,Independent Node2vec
907,0.0,Independent Node2vec
916,0.0,Independent Node2vec
925,0.0,Independent Node2vec
934,0.0,Independent Node2vec
943,0.0,Independent Node2vec
952,0.0,Independent Node2vec
961,0.0,Independent Node2vec
970,0.0,Independent Node2vec
979,0.0,Independent Node2vec
988,0.0,Independent Node2vec
997,0.159,Independent Node2vec
1006,0.0,Independent Node2vec
1015,0.0,Independent Node2vec
1024,0.0,Independent Node2vec
1033,0.0,Independent Node2vec
1042,0.0,Independent Node2vec
1051,0.0,Independent Node2vec
1060,0.0,Independent Node2vec
1069,0.45,Independent Node2vec
1078,0.0,Independent Node2vec
1087,0.159,Independent Node2vec
1096,0.0,Independent Node2vec
1105,0.0,Independent Node2vec
1114,0.0,Independent Node2vec
1123,0.0,Independent Node2vec
1132,0.0,Independent Node2vec
1141,0.0,Independent Node2vec
1150,0.637,Independent Node2vec
1159,0.0,Independent Node2vec
1168,0.0,Independent Node2vec
1177,0.0,Independent Node2vec
1186,0.017,Independent Node2vec
1195,0.0,Independent Node2vec
1204,0.0,Independent Node2vec
1213,0.0,Independent Node2vec
1222,0.001,Independent Node2vec
1231,0.0,Independent Node2vec
1240,0.0,Independent Node2vec
1249,0.0,Independent Node2vec
1258,0.0,Independent Node2vec
1267,0.07200000000000001,Independent Node2vec
1276,0.0,Independent Node2vec
1285,0.0,Independent Node2vec
1294,0.01,Independent Node2vec
1303,0.0,Independent Node2vec
1312,0.0,Independent Node2vec
1321,0.0,Independent Node2vec
1330,0.928,Independent Node2vec
1339,0.0,Independent Node2vec
1348,0.0,Independent Node2vec
1357,0.0,Independent Node2vec
1366,0.0,Independent Node2vec
1375,0.0,Independent Node2vec
1384,0.001,Independent Node2vec
1393,0.0,Independent Node2vec
1402,0.0,Independent Node2vec
1411,0.0,Independent Node2vec
1420,0.0,Independent Node2vec
1429,0.0,Independent Node2vec
1438,0.015,Independent Node2vec
1447,0.025,Independent Node2vec
1456,0.0,Independent Node2vec
1465,0.0,Independent Node2vec
1474,0.8180000000000001,Independent Node2vec
1483,0.0,Independent Node2vec
1492,0.0,Independent Node2vec
1501,0.0,Independent Node2vec
1510,0.0,Independent Node2vec
1519,0.28200000000000003,Independent Node2vec
1528,0.0,Independent Node2vec
1537,0.0,Independent Node2vec
1546,0.0,Independent Node2vec
1555,0.021,Independent Node2vec
1564,0.0,Independent Node2vec
1573,0.0,Independent Node2vec
1582,0.0,Independent Node2vec
1591,0.0,Independent Node2vec
1600,0.003,Independent Node2vec
1609,0.0,Independent Node2vec
1618,0.0,Independent Node2vec
1627,0.7020000000000001,Independent Node2vec
1636,0.0,Independent Node2vec
1645,0.0,Independent Node2vec
1654,0.0,Independent Node2vec
1663,0.0,Independent Node2vec
1672,0.0,Independent Node2vec
1681,0.0,Independent Node2vec
1690,0.003,Independent Node2vec
1699,0.0,Independent Node2vec
1708,0.0,Independent Node2vec
1717,0.0,Independent Node2vec
1726,0.0,Independent Node2vec
1735,0.0,Independent Node2vec
1744,0.0,Independent Node2vec
1753,0.0,Independent Node2vec
1762,0.0,Independent Node2vec
1771,0.0,Independent Node2vec
1780,0.006,Independent Node2vec
1789,0.0,Independent Node2vec
1798,0.0,Independent Node2vec
