,p_hat,method
1,0.033,SSE Procrustes
10,0.0,SSE Procrustes
19,0.001,SSE Procrustes
28,0.442,SSE Procrustes
37,0.004,SSE Procrustes
46,0.0,SSE Procrustes
55,0.048,SSE Procrustes
64,0.156,SSE Procrustes
73,0.0,SSE Procrustes
82,0.004,SSE Procrustes
91,0.528,SSE Procrustes
100,0.624,SSE Procrustes
109,0.094,SSE Procrustes
118,0.767,SSE Procrustes
127,0.0,SSE Procrustes
136,0.09,SSE Procrustes
145,0.11900000000000001,SSE Procrustes
154,0.0,SSE Procrustes
163,0.23700000000000002,SSE Procrustes
172,0.289,SSE Procrustes
181,0.384,SSE Procrustes
190,0.073,SSE Procrustes
199,0.009000000000000001,SSE Procrustes
208,0.271,SSE Procrustes
217,0.062,SSE Procrustes
226,0.06,SSE Procrustes
235,0.001,SSE Procrustes
244,0.0,SSE Procrustes
253,0.0,SSE Procrustes
262,0.505,SSE Procrustes
271,0.006,SSE Procrustes
280,0.028,SSE Procrustes
289,0.805,SSE Procrustes
298,0.489,SSE Procrustes
307,0.384,SSE Procrustes
316,0.743,SSE Procrustes
325,0.0,SSE Procrustes
334,0.0,SSE Procrustes
343,0.654,SSE Procrustes
352,0.058,SSE Procrustes
361,0.002,SSE Procrustes
370,0.47200000000000003,SSE Procrustes
379,0.0,SSE Procrustes
388,0.094,SSE Procrustes
397,0.008,SSE Procrustes
406,0.51,SSE Procrustes
415,0.039,SSE Procrustes
424,0.401,SSE Procrustes
433,0.001,SSE Procrustes
442,0.0,SSE Procrustes
451,0.0,SSE Procrustes
460,0.358,SSE Procrustes
469,0.321,SSE Procrustes
478,0.0,SSE Procrustes
487,0.038,SSE Procrustes
496,0.226,SSE Procrustes
505,0.708,SSE Procrustes
514,0.707,SSE Procrustes
523,0.022,SSE Procrustes
532,0.107,SSE Procrustes
541,0.007,SSE Procrustes
550,0.025,SSE Procrustes
559,0.197,SSE Procrustes
568,0.20600000000000002,SSE Procrustes
577,0.879,SSE Procrustes
586,0.195,SSE Procrustes
595,0.0,SSE Procrustes
604,0.59,SSE Procrustes
613,0.598,SSE Procrustes
622,0.9520000000000001,SSE Procrustes
631,0.0,SSE Procrustes
640,0.71,SSE Procrustes
649,0.432,SSE Procrustes
658,0.069,SSE Procrustes
667,0.052000000000000005,SSE Procrustes
