,p_hat,method
0,0.269,SSE
9,0.093,SSE
18,0.847,SSE
27,0.935,SSE
36,0.751,SSE
45,0.772,SSE
54,0.9590000000000001,SSE
63,0.97,SSE
72,0.861,SSE
81,0.069,SSE
90,0.41300000000000003,SSE
99,0.64,SSE
108,0.249,SSE
117,0.761,SSE
126,0.186,SSE
135,0.885,SSE
144,0.679,SSE
153,0.183,SSE
162,0.107,SSE
171,0.9490000000000001,SSE
180,0.129,SSE
189,0.34800000000000003,SSE
198,0.195,SSE
207,0.733,SSE
216,0.921,SSE
225,0.004,SSE
234,0.503,SSE
243,0.904,SSE
252,0.115,SSE
261,0.132,SSE
270,0.9470000000000001,SSE
279,0.028,SSE
288,0.881,SSE
297,0.75,SSE
306,0.846,SSE
315,0.6880000000000001,SSE
324,0.5630000000000001,SSE
333,0.001,SSE
342,0.866,SSE
351,0.736,SSE
360,0.933,SSE
369,0.99,SSE
378,0.304,SSE
387,0.924,SSE
396,0.0,SSE
405,0.8300000000000001,SSE
414,0.9410000000000001,SSE
423,0.511,SSE
432,0.443,SSE
441,0.14200000000000002,SSE
450,0.7010000000000001,SSE
459,0.925,SSE
468,0.59,SSE
477,0.515,SSE
486,0.873,SSE
495,0.527,SSE
504,0.8220000000000001,SSE
513,0.526,SSE
522,0.869,SSE
531,0.996,SSE
540,0.307,SSE
549,0.797,SSE
558,0.388,SSE
567,0.502,SSE
576,0.467,SSE
585,0.8200000000000001,SSE
594,0.548,SSE
603,0.974,SSE
612,0.794,SSE
621,0.9520000000000001,SSE
630,0.333,SSE
639,0.751,SSE
648,0.23600000000000002,SSE
657,0.134,SSE
666,0.161,SSE
675,0.8240000000000001,SSE
684,0.066,SSE
693,0.34600000000000003,SSE
702,0.997,SSE
711,0.014,SSE
720,0.41300000000000003,SSE
729,0.16,SSE
738,0.226,SSE
747,0.34,SSE
756,0.318,SSE
765,0.159,SSE
774,0.001,SSE
783,0.96,SSE
792,0.002,SSE
801,0.0,SSE
810,0.369,SSE
819,0.176,SSE
828,0.884,SSE
837,0.218,SSE
846,0.906,SSE
855,0.017,SSE
864,0.857,SSE
873,0.788,SSE
882,0.309,SSE
891,0.031,SSE
900,0.985,SSE
909,0.372,SSE
918,0.562,SSE
927,0.003,SSE
936,0.042,SSE
945,0.005,SSE
954,0.987,SSE
963,0.833,SSE
972,0.521,SSE
981,0.341,SSE
990,0.008,SSE
999,0.438,SSE
1008,0.01,SSE
1017,0.713,SSE
1026,0.992,SSE
1035,0.783,SSE
1044,0.333,SSE
1053,0.305,SSE
1062,0.022,SSE
1071,0.446,SSE
1080,0.15,SSE
1089,0.545,SSE
1098,0.904,SSE
1107,0.635,SSE
1116,0.481,SSE
1125,0.546,SSE
1134,0.993,SSE
1143,0.006,SSE
1152,0.981,SSE
1161,0.55,SSE
1170,0.843,SSE
1179,0.752,SSE
1188,0.732,SSE
1197,0.923,SSE
1206,0.217,SSE
1215,0.8280000000000001,SSE
1224,0.9550000000000001,SSE
1233,0.774,SSE
1242,0.041,SSE
1251,0.211,SSE
1260,0.035,SSE
1269,0.839,SSE
1278,0.014,SSE
1287,0.363,SSE
1296,0.298,SSE
1305,0.804,SSE
1314,0.109,SSE
1323,0.686,SSE
1332,0.451,SSE
1341,0.643,SSE
1350,0.47200000000000003,SSE
1359,0.262,SSE
1368,0.8250000000000001,SSE
1377,0.42,SSE
1386,0.267,SSE
1395,0.023,SSE
1404,0.289,SSE
1413,0.898,SSE
1422,0.676,SSE
1431,0.11900000000000001,SSE
1440,0.989,SSE
1449,0.528,SSE
1458,0.54,SSE
1467,0.967,SSE
1476,0.318,SSE
1485,0.248,SSE
1494,0.734,SSE
1503,0.006,SSE
1512,0.6970000000000001,SSE
1521,0.423,SSE
1530,0.9500000000000001,SSE
1539,0.531,SSE
1548,0.997,SSE
1557,0.327,SSE
1566,0.481,SSE
1575,0.78,SSE
1584,0.358,SSE
1593,0.02,SSE
1602,0.8290000000000001,SSE
1611,0.381,SSE
1620,0.787,SSE
1629,0.089,SSE
1638,0.89,SSE
1647,0.366,SSE
1656,0.8170000000000001,SSE
1665,0.015,SSE
1674,0.857,SSE
1683,0.06,SSE
1692,0.715,SSE
1701,0.232,SSE
1710,0.686,SSE
1719,0.305,SSE
1728,0.015,SSE
1737,0.377,SSE
1746,0.9450000000000001,SSE
1755,0.069,SSE
1764,0.17200000000000001,SSE
1773,0.858,SSE
1782,0.14400000000000002,SSE
1791,0.994,SSE
