,p_hat,method
3,0.637,UASE
12,0.872,UASE
21,0.514,UASE
30,0.637,UASE
39,0.493,UASE
48,0.039,UASE
57,0.512,UASE
66,0.101,UASE
75,0.976,UASE
84,0.859,UASE
93,0.622,UASE
102,0.86,UASE
111,0.147,UASE
120,0.711,UASE
129,0.534,UASE
138,0.835,UASE
147,0.8180000000000001,UASE
156,0.537,UASE
165,0.301,UASE
174,0.8280000000000001,UASE
183,0.39,UASE
192,0.5650000000000001,UASE
201,0.725,UASE
210,0.234,UASE
219,0.10300000000000001,UASE
228,0.095,UASE
237,0.317,UASE
246,0.606,UASE
255,0.876,UASE
264,0.296,UASE
273,0.845,UASE
282,0.512,UASE
291,0.023,UASE
300,0.508,UASE
309,0.729,UASE
318,0.74,UASE
327,0.986,UASE
336,0.627,UASE
345,0.9520000000000001,UASE
354,0.704,UASE
363,0.966,UASE
372,0.9510000000000001,UASE
381,0.557,UASE
390,0.972,UASE
399,0.039,UASE
408,0.47100000000000003,UASE
417,0.40900000000000003,UASE
426,0.229,UASE
435,0.745,UASE
444,0.257,UASE
453,0.991,UASE
462,0.5740000000000001,UASE
471,0.152,UASE
480,0.793,UASE
489,0.992,UASE
498,0.425,UASE
507,0.341,UASE
516,0.859,UASE
525,0.65,UASE
534,0.021,UASE
543,0.34,UASE
552,0.9390000000000001,UASE
561,0.052000000000000005,UASE
570,0.729,UASE
579,0.124,UASE
588,0.319,UASE
597,0.229,UASE
606,0.644,UASE
615,0.774,UASE
624,0.505,UASE
633,0.505,UASE
642,0.387,UASE
651,0.11900000000000001,UASE
660,0.773,UASE
669,0.192,UASE
678,0.806,UASE
687,0.153,UASE
696,0.518,UASE
705,0.749,UASE
714,0.043000000000000003,UASE
723,0.11800000000000001,UASE
732,0.019,UASE
741,0.708,UASE
750,0.509,UASE
759,0.322,UASE
768,0.538,UASE
777,0.053,UASE
786,0.302,UASE
795,0.085,UASE
804,0.615,UASE
813,0.448,UASE
822,0.5720000000000001,UASE
831,0.715,UASE
840,0.911,UASE
849,0.627,UASE
858,0.039,UASE
867,0.23500000000000001,UASE
876,0.781,UASE
885,0.8230000000000001,UASE
894,0.025,UASE
903,0.149,UASE
912,0.667,UASE
921,0.632,UASE
930,0.08700000000000001,UASE
939,0.182,UASE
948,0.799,UASE
957,0.985,UASE
966,0.972,UASE
975,0.529,UASE
984,0.17,UASE
993,0.58,UASE
1002,0.58,UASE
1011,0.297,UASE
1020,0.419,UASE
1029,0.47200000000000003,UASE
1038,0.233,UASE
1047,0.361,UASE
1056,0.278,UASE
1065,0.088,UASE
1074,0.273,UASE
1083,0.5690000000000001,UASE
1092,0.372,UASE
1101,0.753,UASE
1110,0.997,UASE
1119,0.8290000000000001,UASE
1128,0.616,UASE
1137,0.04,UASE
1146,0.733,UASE
1155,0.518,UASE
1164,0.188,UASE
1173,0.451,UASE
1182,0.724,UASE
1191,0.615,UASE
1200,0.554,UASE
1209,0.241,UASE
1218,0.6990000000000001,UASE
1227,0.933,UASE
1236,0.443,UASE
1245,0.093,UASE
1254,0.864,UASE
1263,0.635,UASE
1272,0.082,UASE
1281,0.123,UASE
1290,0.492,UASE
1299,0.525,UASE
1308,0.518,UASE
1317,0.594,UASE
1326,0.126,UASE
1335,0.241,UASE
1344,0.866,UASE
1353,0.314,UASE
1362,0.292,UASE
1371,0.966,UASE
1380,0.196,UASE
1389,0.241,UASE
1398,0.042,UASE
1407,0.34500000000000003,UASE
1416,0.182,UASE
1425,0.366,UASE
1434,0.5730000000000001,UASE
1443,0.023,UASE
1452,0.461,UASE
1461,0.494,UASE
1470,0.304,UASE
1479,0.454,UASE
1488,0.459,UASE
1497,0.845,UASE
1506,0.937,UASE
1515,0.109,UASE
1524,0.97,UASE
1533,0.922,UASE
1542,0.514,UASE
1551,0.244,UASE
1560,0.404,UASE
1569,0.34700000000000003,UASE
1578,0.451,UASE
1587,0.869,UASE
1596,0.5750000000000001,UASE
1605,0.124,UASE
1614,0.199,UASE
1623,0.41400000000000003,UASE
1632,0.312,UASE
1641,0.577,UASE
1650,0.5710000000000001,UASE
1659,0.685,UASE
1668,0.096,UASE
1677,0.082,UASE
1686,0.403,UASE
1695,0.833,UASE
1704,0.619,UASE
1713,0.45,UASE
1722,0.448,UASE
1731,0.134,UASE
1740,0.121,UASE
1749,0.226,UASE
1758,0.418,UASE
1767,0.264,UASE
1776,0.72,UASE
1785,0.048,UASE
1794,0.513,UASE
