,p_hat,method
4,0.5760000000000001,ULSE
13,0.806,ULSE
22,0.226,ULSE
31,0.376,ULSE
40,0.07100000000000001,ULSE
49,0.636,ULSE
58,0.71,ULSE
67,0.40700000000000003,ULSE
76,0.392,ULSE
85,0.292,ULSE
94,0.528,ULSE
103,0.482,ULSE
112,0.937,ULSE
121,0.79,ULSE
130,0.226,ULSE
139,0.8150000000000001,ULSE
148,0.462,ULSE
157,0.905,ULSE
166,0.595,ULSE
175,0.193,ULSE
184,0.343,ULSE
193,0.342,ULSE
202,0.07200000000000001,ULSE
211,0.887,ULSE
220,0.159,ULSE
229,0.107,ULSE
238,0.807,ULSE
247,0.877,ULSE
256,0.369,ULSE
265,0.377,ULSE
274,0.265,ULSE
283,0.12,ULSE
292,0.9510000000000001,ULSE
301,0.249,ULSE
310,0.164,ULSE
319,0.132,ULSE
328,0.968,ULSE
337,0.28500000000000003,ULSE
346,0.8140000000000001,ULSE
355,0.462,ULSE
364,0.188,ULSE
373,0.47400000000000003,ULSE
382,0.511,ULSE
391,0.906,ULSE
400,0.343,ULSE
409,0.31,ULSE
418,0.068,ULSE
427,0.049,ULSE
436,0.506,ULSE
445,0.301,ULSE
454,0.557,ULSE
463,0.47200000000000003,ULSE
472,0.9440000000000001,ULSE
481,0.776,ULSE
490,0.097,ULSE
499,0.28500000000000003,ULSE
508,0.442,ULSE
517,0.309,ULSE
526,0.583,ULSE
535,0.911,ULSE
544,0.728,ULSE
553,0.976,ULSE
562,0.841,ULSE
571,0.231,ULSE
580,0.272,ULSE
589,0.335,ULSE
598,0.496,ULSE
607,0.28,ULSE
616,0.38,ULSE
625,0.37,ULSE
634,0.63,ULSE
643,0.403,ULSE
652,0.5720000000000001,ULSE
661,0.9510000000000001,ULSE
670,0.015,ULSE
679,0.555,ULSE
688,0.781,ULSE
697,0.372,ULSE
706,0.59,ULSE
715,0.077,ULSE
724,0.712,ULSE
733,0.709,ULSE
742,0.738,ULSE
751,0.5630000000000001,ULSE
760,0.731,ULSE
769,0.41500000000000004,ULSE
778,0.198,ULSE
787,0.969,ULSE
796,0.009000000000000001,ULSE
805,0.4,ULSE
814,0.223,ULSE
823,0.077,ULSE
832,0.295,ULSE
841,0.011,ULSE
850,0.33,ULSE
859,0.781,ULSE
868,0.068,ULSE
877,0.384,ULSE
886,0.5730000000000001,ULSE
895,0.726,ULSE
904,0.425,ULSE
913,0.871,ULSE
922,0.551,ULSE
931,0.442,ULSE
940,0.062,ULSE
949,0.846,ULSE
958,0.738,ULSE
967,0.41600000000000004,ULSE
976,0.744,ULSE
985,0.739,ULSE
994,0.133,ULSE
1003,0.362,ULSE
1012,0.579,ULSE
1021,0.6,ULSE
1030,0.81,ULSE
1039,0.77,ULSE
1048,0.264,ULSE
1057,0.2,ULSE
1066,0.224,ULSE
1075,0.581,ULSE
1084,0.84,ULSE
1093,0.025,ULSE
1102,0.845,ULSE
1111,0.758,ULSE
1120,0.34900000000000003,ULSE
1129,0.84,ULSE
1138,0.531,ULSE
1147,0.727,ULSE
1156,0.4,ULSE
1165,0.28200000000000003,ULSE
1174,0.847,ULSE
1183,0.836,ULSE
1192,0.609,ULSE
1201,0.449,ULSE
1210,0.9380000000000001,ULSE
1219,0.444,ULSE
1228,0.34800000000000003,ULSE
1237,0.326,ULSE
1246,0.6910000000000001,ULSE
1255,0.448,ULSE
1264,0.327,ULSE
1273,0.807,ULSE
1282,0.10200000000000001,ULSE
1291,0.022,ULSE
1300,0.6880000000000001,ULSE
1309,0.6900000000000001,ULSE
1318,0.46,ULSE
1327,0.047,ULSE
1336,0.382,ULSE
1345,0.778,ULSE
1354,0.252,ULSE
1363,0.256,ULSE
1372,0.079,ULSE
1381,0.494,ULSE
1390,0.535,ULSE
1399,0.358,ULSE
1408,0.486,ULSE
1417,0.77,ULSE
1426,0.41200000000000003,ULSE
1435,0.417,ULSE
1444,0.301,ULSE
1453,0.468,ULSE
1462,0.9470000000000001,ULSE
1471,0.594,ULSE
1480,0.336,ULSE
1489,0.197,ULSE
1498,0.243,ULSE
1507,0.96,ULSE
1516,0.14300000000000002,ULSE
1525,0.112,ULSE
1534,0.625,ULSE
1543,0.966,ULSE
1552,0.775,ULSE
1561,0.722,ULSE
1570,0.28700000000000003,ULSE
1579,0.434,ULSE
1588,0.277,ULSE
1597,0.9500000000000001,ULSE
1606,0.518,ULSE
1615,0.634,ULSE
1624,0.438,ULSE
1633,0.468,ULSE
1642,0.641,ULSE
1651,0.037,ULSE
1660,0.418,ULSE
1669,0.772,ULSE
1678,0.269,ULSE
1687,0.218,ULSE
1696,0.061,ULSE
1705,0.984,ULSE
1714,0.043000000000000003,ULSE
1723,0.02,ULSE
1732,0.861,ULSE
1741,0.061,ULSE
1750,0.28500000000000003,ULSE
1759,0.864,ULSE
1768,0.876,ULSE
1777,0.151,ULSE
1786,0.381,ULSE
1795,0.32,ULSE
