,p_hat,method
5,0.55,URLSE
14,0.797,URLSE
23,0.217,URLSE
32,0.897,URLSE
41,0.074,URLSE
50,0.666,URLSE
59,0.676,URLSE
68,0.756,URLSE
77,0.377,URLSE
86,0.262,URLSE
95,0.559,URLSE
104,0.47500000000000003,URLSE
113,0.439,URLSE
122,0.892,URLSE
131,0.387,URLSE
140,0.615,URLSE
149,0.458,URLSE
158,0.925,URLSE
167,0.5650000000000001,URLSE
176,0.199,URLSE
185,0.224,URLSE
194,0.34800000000000003,URLSE
203,0.08,URLSE
212,0.888,URLSE
221,0.135,URLSE
230,0.099,URLSE
239,0.47600000000000003,URLSE
248,0.899,URLSE
257,0.325,URLSE
266,0.398,URLSE
275,0.799,URLSE
284,0.122,URLSE
293,0.9440000000000001,URLSE
302,0.253,URLSE
311,0.181,URLSE
320,0.907,URLSE
329,0.977,URLSE
338,0.512,URLSE
347,0.807,URLSE
356,0.105,URLSE
365,0.186,URLSE
374,0.47300000000000003,URLSE
383,0.52,URLSE
392,0.91,URLSE
401,0.891,URLSE
410,0.319,URLSE
419,0.182,URLSE
428,0.577,URLSE
437,0.507,URLSE
446,0.257,URLSE
455,0.519,URLSE
464,0.485,URLSE
473,0.9440000000000001,URLSE
482,0.789,URLSE
491,0.112,URLSE
500,0.356,URLSE
509,0.485,URLSE
518,0.293,URLSE
527,0.556,URLSE
536,0.182,URLSE
545,0.894,URLSE
554,0.993,URLSE
563,0.842,URLSE
572,0.23,URLSE
581,0.299,URLSE
590,0.329,URLSE
599,0.3,URLSE
608,0.58,URLSE
617,0.783,URLSE
626,0.375,URLSE
635,0.635,URLSE
644,0.381,URLSE
653,0.145,URLSE
662,0.9470000000000001,URLSE
671,0.018000000000000002,URLSE
680,0.522,URLSE
689,0.788,URLSE
698,0.41200000000000003,URLSE
707,0.14200000000000002,URLSE
716,0.622,URLSE
725,0.6930000000000001,URLSE
734,0.882,URLSE
743,0.724,URLSE
752,0.5720000000000001,URLSE
761,0.804,URLSE
770,0.387,URLSE
779,0.201,URLSE
788,0.7000000000000001,URLSE
797,0.005,URLSE
806,0.405,URLSE
815,0.231,URLSE
824,0.081,URLSE
833,0.275,URLSE
842,0.006,URLSE
851,0.338,URLSE
860,0.74,URLSE
869,0.069,URLSE
878,0.42,URLSE
887,0.56,URLSE
896,0.738,URLSE
905,0.463,URLSE
914,0.886,URLSE
923,0.7000000000000001,URLSE
932,0.432,URLSE
941,0.38,URLSE
950,0.849,URLSE
959,0.758,URLSE
968,0.9470000000000001,URLSE
977,0.621,URLSE
986,1.0,URLSE
995,0.14400000000000002,URLSE
1004,0.381,URLSE
1013,0.538,URLSE
1022,0.632,URLSE
1031,0.8150000000000001,URLSE
1040,0.762,URLSE
1049,0.438,URLSE
1058,0.214,URLSE
1067,0.214,URLSE
1076,0.598,URLSE
1085,0.851,URLSE
1094,0.431,URLSE
1103,0.745,URLSE
1112,0.707,URLSE
1121,0.37,URLSE
1130,0.851,URLSE
1139,0.535,URLSE
1148,0.741,URLSE
1157,0.373,URLSE
1166,0.886,URLSE
1175,0.808,URLSE
1184,0.8150000000000001,URLSE
1193,0.604,URLSE
1202,0.461,URLSE
1211,0.34900000000000003,URLSE
1220,0.488,URLSE
1229,0.343,URLSE
1238,0.322,URLSE
1247,0.652,URLSE
1256,0.457,URLSE
1265,0.28200000000000003,URLSE
1274,0.8130000000000001,URLSE
1283,0.588,URLSE
1292,0.027,URLSE
1301,0.677,URLSE
1310,0.6960000000000001,URLSE
1319,0.451,URLSE
1328,0.059000000000000004,URLSE
1337,0.405,URLSE
1346,0.791,URLSE
1355,0.252,URLSE
1364,0.262,URLSE
1373,0.093,URLSE
1382,0.49,URLSE
1391,0.532,URLSE
1400,0.72,URLSE
1409,0.514,URLSE
1418,0.751,URLSE
1427,0.423,URLSE
1436,0.396,URLSE
1445,0.28200000000000003,URLSE
1454,0.454,URLSE
1463,0.961,URLSE
1472,0.609,URLSE
1481,0.336,URLSE
1490,0.28500000000000003,URLSE
1499,0.266,URLSE
1508,0.557,URLSE
1517,0.153,URLSE
1526,0.11,URLSE
1535,0.664,URLSE
1544,0.971,URLSE
1553,0.47100000000000003,URLSE
1562,0.401,URLSE
1571,0.28700000000000003,URLSE
1580,0.41600000000000004,URLSE
1589,0.251,URLSE
1598,0.967,URLSE
1607,0.47300000000000003,URLSE
1616,0.626,URLSE
1625,0.435,URLSE
1634,0.447,URLSE
1643,0.602,URLSE
1652,0.042,URLSE
1661,0.424,URLSE
1670,0.753,URLSE
1679,0.5750000000000001,URLSE
1688,0.197,URLSE
1697,0.049,URLSE
1706,0.976,URLSE
1715,0.064,URLSE
1724,0.263,URLSE
1733,0.9510000000000001,URLSE
1742,0.038,URLSE
1751,0.275,URLSE
1760,0.8260000000000001,URLSE
1769,0.864,URLSE
1778,0.153,URLSE
1787,0.405,URLSE
1796,0.04,URLSE
