,p_hat,method
7,0.008,GloDyNE
15,0.553,GloDyNE
23,0.003,GloDyNE
31,0.504,GloDyNE
39,0.04,GloDyNE
47,0.224,GloDyNE
55,0.0,GloDyNE
63,0.276,GloDyNE
71,0.34,GloDyNE
79,0.07,GloDyNE
87,0.8270000000000001,GloDyNE
95,0.185,GloDyNE
103,0.139,GloDyNE
111,0.008,GloDyNE
119,0.5740000000000001,GloDyNE
127,0.014,GloDyNE
135,0.14100000000000001,GloDyNE
143,0.315,GloDyNE
151,0.023,GloDyNE
159,0.004,GloDyNE
167,0.184,GloDyNE
175,0.998,GloDyNE
183,0.002,GloDyNE
191,0.786,GloDyNE
199,0.059000000000000004,GloDyNE
207,0.998,GloDyNE
215,0.004,GloDyNE
223,0.32,GloDyNE
231,0.081,GloDyNE
239,0.751,GloDyNE
247,0.0,GloDyNE
255,0.398,GloDyNE
263,0.22,GloDyNE
271,0.0,GloDyNE
279,0.305,GloDyNE
287,0.06,GloDyNE
295,0.47200000000000003,GloDyNE
303,0.811,GloDyNE
311,0.002,GloDyNE
319,0.001,GloDyNE
327,0.37,GloDyNE
335,0.01,GloDyNE
343,0.136,GloDyNE
351,0.329,GloDyNE
359,0.47100000000000003,GloDyNE
367,0.791,GloDyNE
375,0.013000000000000001,GloDyNE
383,0.96,GloDyNE
391,0.133,GloDyNE
399,0.19,GloDyNE
407,0.483,GloDyNE
415,0.359,GloDyNE
423,0.069,GloDyNE
431,0.843,GloDyNE
439,0.424,GloDyNE
447,0.066,GloDyNE
455,0.247,GloDyNE
463,0.20700000000000002,GloDyNE
471,0.159,GloDyNE
479,0.16,GloDyNE
487,0.228,GloDyNE
495,0.006,GloDyNE
503,0.536,GloDyNE
511,0.886,GloDyNE
519,0.47500000000000003,GloDyNE
527,0.254,GloDyNE
535,0.002,GloDyNE
543,0.391,GloDyNE
551,0.0,GloDyNE
559,0.305,GloDyNE
567,0.189,GloDyNE
575,0.752,GloDyNE
583,0.976,GloDyNE
591,0.043000000000000003,GloDyNE
599,0.298,GloDyNE
607,0.379,GloDyNE
615,0.058,GloDyNE
623,0.11800000000000001,GloDyNE
631,0.066,GloDyNE
639,0.5740000000000001,GloDyNE
647,0.848,GloDyNE
655,0.387,GloDyNE
663,0.33,GloDyNE
671,0.115,GloDyNE
679,0.393,GloDyNE
687,0.845,GloDyNE
695,0.06,GloDyNE
703,0.001,GloDyNE
711,0.508,GloDyNE
719,0.0,GloDyNE
727,0.001,GloDyNE
735,0.542,GloDyNE
743,0.078,GloDyNE
751,0.008,GloDyNE
759,0.132,GloDyNE
767,0.598,GloDyNE
775,0.244,GloDyNE
783,0.593,GloDyNE
791,0.17500000000000002,GloDyNE
799,0.015,GloDyNE
807,0.004,GloDyNE
815,0.08,GloDyNE
823,0.47600000000000003,GloDyNE
831,0.54,GloDyNE
839,0.163,GloDyNE
847,0.024,GloDyNE
855,0.125,GloDyNE
863,0.06,GloDyNE
871,0.115,GloDyNE
879,0.157,GloDyNE
887,0.234,GloDyNE
895,0.384,GloDyNE
903,0.001,GloDyNE
911,0.006,GloDyNE
919,0.028,GloDyNE
927,0.857,GloDyNE
935,0.008,GloDyNE
943,0.636,GloDyNE
951,0.362,GloDyNE
959,0.147,GloDyNE
967,0.016,GloDyNE
975,0.0,GloDyNE
983,0.153,GloDyNE
991,0.17200000000000001,GloDyNE
999,0.044,GloDyNE
1007,0.0,GloDyNE
1015,0.58,GloDyNE
1023,0.064,GloDyNE
1031,0.058,GloDyNE
1039,0.176,GloDyNE
1047,0.0,GloDyNE
1055,0.013000000000000001,GloDyNE
1063,0.644,GloDyNE
1071,0.782,GloDyNE
1079,0.615,GloDyNE
1087,0.107,GloDyNE
1095,0.47800000000000004,GloDyNE
1103,0.492,GloDyNE
1111,0.9480000000000001,GloDyNE
1119,0.058,GloDyNE
1127,0.008,GloDyNE
1135,0.128,GloDyNE
1143,0.001,GloDyNE
1151,0.47800000000000004,GloDyNE
1159,0.001,GloDyNE
1167,0.011,GloDyNE
1175,0.878,GloDyNE
1183,0.029,GloDyNE
1191,0.069,GloDyNE
1199,0.005,GloDyNE
1207,0.026000000000000002,GloDyNE
1215,0.089,GloDyNE
1223,0.378,GloDyNE
1231,0.028,GloDyNE
1239,0.664,GloDyNE
1247,0.704,GloDyNE
1255,0.109,GloDyNE
1263,0.381,GloDyNE
1271,0.25,GloDyNE
1279,0.036000000000000004,GloDyNE
1287,0.002,GloDyNE
1295,0.004,GloDyNE
1303,0.889,GloDyNE
1311,0.002,GloDyNE
1319,0.041,GloDyNE
1327,0.9470000000000001,GloDyNE
1335,0.663,GloDyNE
1343,0.41300000000000003,GloDyNE
1351,0.10200000000000001,GloDyNE
1359,0.406,GloDyNE
1367,0.268,GloDyNE
1375,0.843,GloDyNE
1383,0.115,GloDyNE
1391,0.12,GloDyNE
1399,0.124,GloDyNE
1407,0.259,GloDyNE
1415,0.784,GloDyNE
1423,0.055,GloDyNE
1431,0.083,GloDyNE
1439,0.439,GloDyNE
1447,0.47900000000000004,GloDyNE
1455,0.398,GloDyNE
1463,0.017,GloDyNE
1471,0.0,GloDyNE
1479,0.811,GloDyNE
1487,0.088,GloDyNE
1495,0.0,GloDyNE
1503,0.075,GloDyNE
1511,0.017,GloDyNE
1519,0.048,GloDyNE
1527,0.0,GloDyNE
1535,0.21,GloDyNE
1543,0.008,GloDyNE
1551,0.846,GloDyNE
1559,0.964,GloDyNE
1567,0.007,GloDyNE
1575,0.004,GloDyNE
1583,0.533,GloDyNE
1591,0.006,GloDyNE
1599,0.02,GloDyNE
