,p_hat,method
5,0.65,Independent Node2Vec
13,0.751,Independent Node2Vec
21,0.537,Independent Node2Vec
29,0.608,Independent Node2Vec
37,0.16,Independent Node2Vec
45,0.004,Independent Node2Vec
53,0.341,Independent Node2Vec
61,0.457,Independent Node2Vec
69,0.185,Independent Node2Vec
77,0.5720000000000001,Independent Node2Vec
85,0.5660000000000001,Independent Node2Vec
93,0.333,Independent Node2Vec
101,0.584,Independent Node2Vec
109,0.665,Independent Node2Vec
117,0.843,Independent Node2Vec
125,0.8230000000000001,Independent Node2Vec
133,0.085,Independent Node2Vec
141,0.116,Independent Node2Vec
149,0.664,Independent Node2Vec
157,0.8270000000000001,Independent Node2Vec
165,0.643,Independent Node2Vec
173,0.677,Independent Node2Vec
181,0.669,Independent Node2Vec
189,0.195,Independent Node2Vec
197,0.033,Independent Node2Vec
205,0.9,Independent Node2Vec
213,0.735,Independent Node2Vec
221,0.804,Independent Node2Vec
229,0.352,Independent Node2Vec
237,0.8230000000000001,Independent Node2Vec
245,0.539,Independent Node2Vec
253,0.123,Independent Node2Vec
261,0.593,Independent Node2Vec
269,0.842,Independent Node2Vec
277,0.9380000000000001,Independent Node2Vec
285,0.622,Independent Node2Vec
293,0.406,Independent Node2Vec
301,0.539,Independent Node2Vec
309,0.458,Independent Node2Vec
317,0.6880000000000001,Independent Node2Vec
325,0.857,Independent Node2Vec
333,0.125,Independent Node2Vec
341,0.328,Independent Node2Vec
349,0.44,Independent Node2Vec
357,0.918,Independent Node2Vec
365,0.47100000000000003,Independent Node2Vec
373,0.903,Independent Node2Vec
381,0.17,Independent Node2Vec
389,0.436,Independent Node2Vec
397,0.27,Independent Node2Vec
405,0.489,Independent Node2Vec
413,0.9400000000000001,Independent Node2Vec
421,0.185,Independent Node2Vec
429,0.124,Independent Node2Vec
437,0.967,Independent Node2Vec
445,0.01,Independent Node2Vec
453,0.671,Independent Node2Vec
461,0.912,Independent Node2Vec
469,0.597,Independent Node2Vec
477,0.806,Independent Node2Vec
485,0.88,Independent Node2Vec
493,0.531,Independent Node2Vec
501,0.755,Independent Node2Vec
509,0.52,Independent Node2Vec
517,0.27,Independent Node2Vec
525,0.248,Independent Node2Vec
533,0.905,Independent Node2Vec
541,0.095,Independent Node2Vec
549,0.84,Independent Node2Vec
557,0.318,Independent Node2Vec
565,0.378,Independent Node2Vec
573,0.547,Independent Node2Vec
581,0.002,Independent Node2Vec
589,0.275,Independent Node2Vec
597,0.513,Independent Node2Vec
605,0.974,Independent Node2Vec
613,0.135,Independent Node2Vec
621,0.642,Independent Node2Vec
629,0.23700000000000002,Independent Node2Vec
637,0.154,Independent Node2Vec
645,0.867,Independent Node2Vec
653,0.241,Independent Node2Vec
661,0.707,Independent Node2Vec
669,0.5740000000000001,Independent Node2Vec
677,0.685,Independent Node2Vec
685,0.095,Independent Node2Vec
693,0.069,Independent Node2Vec
701,0.727,Independent Node2Vec
709,0.331,Independent Node2Vec
717,0.10400000000000001,Independent Node2Vec
725,0.145,Independent Node2Vec
733,0.717,Independent Node2Vec
741,0.544,Independent Node2Vec
749,0.522,Independent Node2Vec
757,0.156,Independent Node2Vec
765,0.227,Independent Node2Vec
773,0.228,Independent Node2Vec
781,0.6920000000000001,Independent Node2Vec
789,0.354,Independent Node2Vec
797,0.9480000000000001,Independent Node2Vec
805,0.9480000000000001,Independent Node2Vec
813,0.11,Independent Node2Vec
821,0.357,Independent Node2Vec
829,0.508,Independent Node2Vec
837,0.20800000000000002,Independent Node2Vec
845,0.17300000000000001,Independent Node2Vec
853,0.541,Independent Node2Vec
861,0.084,Independent Node2Vec
869,0.894,Independent Node2Vec
877,0.899,Independent Node2Vec
885,0.153,Independent Node2Vec
893,0.171,Independent Node2Vec
901,0.234,Independent Node2Vec
909,0.073,Independent Node2Vec
917,0.499,Independent Node2Vec
925,0.534,Independent Node2Vec
933,0.052000000000000005,Independent Node2Vec
941,0.5,Independent Node2Vec
949,0.509,Independent Node2Vec
957,0.366,Independent Node2Vec
965,0.28300000000000003,Independent Node2Vec
973,0.728,Independent Node2Vec
981,0.23700000000000002,Independent Node2Vec
989,0.127,Independent Node2Vec
997,0.722,Independent Node2Vec
1005,0.6930000000000001,Independent Node2Vec
1013,0.273,Independent Node2Vec
1021,0.5750000000000001,Independent Node2Vec
1029,0.372,Independent Node2Vec
1037,0.522,Independent Node2Vec
1045,0.001,Independent Node2Vec
1053,0.997,Independent Node2Vec
1061,0.973,Independent Node2Vec
1069,0.996,Independent Node2Vec
1077,0.013000000000000001,Independent Node2Vec
1085,0.656,Independent Node2Vec
1093,0.08700000000000001,Independent Node2Vec
1101,0.8170000000000001,Independent Node2Vec
1109,0.157,Independent Node2Vec
1117,0.17300000000000001,Independent Node2Vec
1125,0.23800000000000002,Independent Node2Vec
1133,0.095,Independent Node2Vec
1141,0.23500000000000001,Independent Node2Vec
1149,0.136,Independent Node2Vec
1157,0.004,Independent Node2Vec
1165,0.491,Independent Node2Vec
1173,0.515,Independent Node2Vec
1181,0.656,Independent Node2Vec
1189,0.617,Independent Node2Vec
1197,0.442,Independent Node2Vec
1205,0.203,Independent Node2Vec
1213,0.528,Independent Node2Vec
1221,0.781,Independent Node2Vec
1229,0.292,Independent Node2Vec
1237,0.555,Independent Node2Vec
1245,0.881,Independent Node2Vec
1253,0.752,Independent Node2Vec
1261,0.748,Independent Node2Vec
1269,0.365,Independent Node2Vec
1277,0.34500000000000003,Independent Node2Vec
1285,0.052000000000000005,Independent Node2Vec
1293,0.899,Independent Node2Vec
1301,0.34500000000000003,Independent Node2Vec
1309,0.17200000000000001,Independent Node2Vec
1317,0.993,Independent Node2Vec
1325,0.629,Independent Node2Vec
1333,0.055,Independent Node2Vec
1341,0.643,Independent Node2Vec
1349,0.134,Independent Node2Vec
1357,0.274,Independent Node2Vec
1365,0.886,Independent Node2Vec
1373,0.711,Independent Node2Vec
1381,0.25,Independent Node2Vec
1389,0.8190000000000001,Independent Node2Vec
1397,0.092,Independent Node2Vec
1405,0.468,Independent Node2Vec
1413,0.054,Independent Node2Vec
1421,0.269,Independent Node2Vec
1429,0.082,Independent Node2Vec
1437,0.779,Independent Node2Vec
1445,0.754,Independent Node2Vec
1453,0.541,Independent Node2Vec
1461,0.41600000000000004,Independent Node2Vec
1469,0.024,Independent Node2Vec
1477,0.127,Independent Node2Vec
1485,0.624,Independent Node2Vec
1493,0.278,Independent Node2Vec
1501,0.049,Independent Node2Vec
1509,0.355,Independent Node2Vec
1517,0.40800000000000003,Independent Node2Vec
1525,0.524,Independent Node2Vec
1533,0.882,Independent Node2Vec
1541,0.139,Independent Node2Vec
1549,0.15,Independent Node2Vec
1557,0.308,Independent Node2Vec
1565,0.619,Independent Node2Vec
1573,0.883,Independent Node2Vec
1581,0.555,Independent Node2Vec
1589,0.6,Independent Node2Vec
1597,0.705,Independent Node2Vec
