,p_hat,method
1,0.027,SSE Procrustes
9,0.227,SSE Procrustes
17,0.588,SSE Procrustes
25,0.251,SSE Procrustes
33,0.8140000000000001,SSE Procrustes
41,0.385,SSE Procrustes
49,0.671,SSE Procrustes
57,0.042,SSE Procrustes
65,0.925,SSE Procrustes
73,0.14200000000000002,SSE Procrustes
81,0.441,SSE Procrustes
89,0.036000000000000004,SSE Procrustes
97,0.978,SSE Procrustes
105,0.787,SSE Procrustes
113,0.0,SSE Procrustes
121,0.528,SSE Procrustes
129,0.126,SSE Procrustes
137,0.41200000000000003,SSE Procrustes
145,0.747,SSE Procrustes
153,0.9510000000000001,SSE Procrustes
161,0.061,SSE Procrustes
169,0.17,SSE Procrustes
177,0.849,SSE Procrustes
185,0.993,SSE Procrustes
193,0.658,SSE Procrustes
201,0.797,SSE Procrustes
209,0.322,SSE Procrustes
217,0.981,SSE Procrustes
225,0.2,SSE Procrustes
233,0.09,SSE Procrustes
241,0.799,SSE Procrustes
249,0.681,SSE Procrustes
257,0.662,SSE Procrustes
265,0.28200000000000003,SSE Procrustes
273,0.985,SSE Procrustes
281,0.362,SSE Procrustes
289,0.917,SSE Procrustes
297,0.534,SSE Procrustes
305,0.164,SSE Procrustes
313,0.924,SSE Procrustes
321,0.842,SSE Procrustes
329,0.275,SSE Procrustes
337,0.683,SSE Procrustes
345,0.726,SSE Procrustes
353,0.19,SSE Procrustes
361,0.193,SSE Procrustes
369,0.685,SSE Procrustes
377,0.9550000000000001,SSE Procrustes
385,0.493,SSE Procrustes
393,0.8150000000000001,SSE Procrustes
401,0.406,SSE Procrustes
409,0.313,SSE Procrustes
417,0.8200000000000001,SSE Procrustes
425,0.222,SSE Procrustes
433,0.9490000000000001,SSE Procrustes
441,0.61,SSE Procrustes
449,0.116,SSE Procrustes
457,0.006,SSE Procrustes
465,0.72,SSE Procrustes
473,0.1,SSE Procrustes
481,0.833,SSE Procrustes
489,0.99,SSE Procrustes
497,0.991,SSE Procrustes
505,0.676,SSE Procrustes
513,0.74,SSE Procrustes
521,0.862,SSE Procrustes
529,0.184,SSE Procrustes
537,0.447,SSE Procrustes
545,0.67,SSE Procrustes
553,0.003,SSE Procrustes
561,0.274,SSE Procrustes
569,0.997,SSE Procrustes
577,0.935,SSE Procrustes
585,0.051000000000000004,SSE Procrustes
593,0.72,SSE Procrustes
601,0.021,SSE Procrustes
609,0.977,SSE Procrustes
617,0.01,SSE Procrustes
625,0.785,SSE Procrustes
633,0.097,SSE Procrustes
641,0.359,SSE Procrustes
649,0.928,SSE Procrustes
657,0.492,SSE Procrustes
665,0.039,SSE Procrustes
673,0.9570000000000001,SSE Procrustes
681,0.643,SSE Procrustes
689,0.234,SSE Procrustes
697,0.628,SSE Procrustes
705,0.597,SSE Procrustes
713,0.843,SSE Procrustes
721,0.531,SSE Procrustes
729,0.9540000000000001,SSE Procrustes
737,0.995,SSE Procrustes
745,0.863,SSE Procrustes
753,0.799,SSE Procrustes
761,0.312,SSE Procrustes
769,0.396,SSE Procrustes
777,0.045,SSE Procrustes
785,0.9530000000000001,SSE Procrustes
793,0.9460000000000001,SSE Procrustes
801,0.978,SSE Procrustes
809,0.9560000000000001,SSE Procrustes
817,0.911,SSE Procrustes
825,0.34600000000000003,SSE Procrustes
833,0.718,SSE Procrustes
841,0.312,SSE Procrustes
849,0.547,SSE Procrustes
857,0.658,SSE Procrustes
865,0.383,SSE Procrustes
873,0.381,SSE Procrustes
881,0.8220000000000001,SSE Procrustes
889,0.051000000000000004,SSE Procrustes
897,0.403,SSE Procrustes
905,0.40700000000000003,SSE Procrustes
913,0.871,SSE Procrustes
921,0.096,SSE Procrustes
929,0.354,SSE Procrustes
937,0.021,SSE Procrustes
945,0.718,SSE Procrustes
953,0.34,SSE Procrustes
961,0.457,SSE Procrustes
969,0.6970000000000001,SSE Procrustes
977,0.221,SSE Procrustes
985,0.561,SSE Procrustes
993,0.887,SSE Procrustes
1001,0.507,SSE Procrustes
1009,0.14200000000000002,SSE Procrustes
1017,0.672,SSE Procrustes
1025,0.709,SSE Procrustes
1033,0.05,SSE Procrustes
1041,0.403,SSE Procrustes
1049,0.528,SSE Procrustes
1057,0.47700000000000004,SSE Procrustes
1065,0.7020000000000001,SSE Procrustes
1073,0.783,SSE Procrustes
1081,0.069,SSE Procrustes
1089,0.395,SSE Procrustes
1097,0.096,SSE Procrustes
1105,0.639,SSE Procrustes
1113,0.275,SSE Procrustes
1121,0.329,SSE Procrustes
1129,0.919,SSE Procrustes
1137,0.861,SSE Procrustes
1145,0.712,SSE Procrustes
1153,0.16,SSE Procrustes
1161,0.499,SSE Procrustes
1169,0.715,SSE Procrustes
1177,0.768,SSE Procrustes
1185,0.264,SSE Procrustes
1193,0.976,SSE Procrustes
1201,0.34400000000000003,SSE Procrustes
1209,0.084,SSE Procrustes
1217,0.494,SSE Procrustes
1225,0.879,SSE Procrustes
1233,0.1,SSE Procrustes
1241,0.506,SSE Procrustes
1249,0.326,SSE Procrustes
1257,0.309,SSE Procrustes
1265,0.811,SSE Procrustes
1273,0.66,SSE Procrustes
1281,0.127,SSE Procrustes
1289,0.552,SSE Procrustes
1297,0.616,SSE Procrustes
1305,1.0,SSE Procrustes
1313,0.332,SSE Procrustes
1321,0.732,SSE Procrustes
1329,0.056,SSE Procrustes
1337,0.535,SSE Procrustes
1345,0.909,SSE Procrustes
1353,0.044,SSE Procrustes
1361,0.704,SSE Procrustes
1369,0.056,SSE Procrustes
1377,0.044,SSE Procrustes
1385,0.983,SSE Procrustes
1393,0.5690000000000001,SSE Procrustes
1401,0.553,SSE Procrustes
1409,0.728,SSE Procrustes
1417,0.741,SSE Procrustes
1425,0.364,SSE Procrustes
1433,0.137,SSE Procrustes
1441,0.401,SSE Procrustes
1449,0.75,SSE Procrustes
1457,0.91,SSE Procrustes
1465,0.34,SSE Procrustes
1473,0.34500000000000003,SSE Procrustes
1481,0.159,SSE Procrustes
1489,0.54,SSE Procrustes
1497,0.36,SSE Procrustes
1505,0.192,SSE Procrustes
1513,0.145,SSE Procrustes
1521,0.335,SSE Procrustes
1529,0.9530000000000001,SSE Procrustes
1537,0.215,SSE Procrustes
1545,0.836,SSE Procrustes
1553,0.128,SSE Procrustes
1561,0.6890000000000001,SSE Procrustes
1569,0.525,SSE Procrustes
1577,0.881,SSE Procrustes
1585,0.202,SSE Procrustes
1593,0.686,SSE Procrustes
