,p_hat,method
0,0.019,SSE
8,0.217,SSE
16,0.583,SSE
24,0.257,SSE
32,0.8220000000000001,SSE
40,0.387,SSE
48,0.673,SSE
56,0.04,SSE
64,0.927,SSE
72,0.131,SSE
80,0.454,SSE
88,0.035,SSE
96,0.982,SSE
104,0.8170000000000001,SSE
112,0.0,SSE
120,0.516,SSE
128,0.109,SSE
136,0.404,SSE
144,0.739,SSE
152,0.965,SSE
160,0.043000000000000003,SSE
168,0.19,SSE
176,0.844,SSE
184,0.98,SSE
192,0.614,SSE
200,0.762,SSE
208,0.301,SSE
216,0.978,SSE
224,0.194,SSE
232,0.094,SSE
240,0.79,SSE
248,0.731,SSE
256,0.676,SSE
264,0.303,SSE
272,0.971,SSE
280,0.37,SSE
288,0.921,SSE
296,0.534,SSE
304,0.179,SSE
312,0.917,SSE
320,0.853,SSE
328,0.292,SSE
336,0.719,SSE
344,0.783,SSE
352,0.20700000000000002,SSE
360,0.171,SSE
368,0.6910000000000001,SSE
376,0.9510000000000001,SSE
384,0.438,SSE
392,0.796,SSE
400,0.41400000000000003,SSE
408,0.28500000000000003,SSE
416,0.805,SSE
424,0.231,SSE
432,0.9410000000000001,SSE
440,0.5740000000000001,SSE
448,0.101,SSE
456,0.008,SSE
464,0.7020000000000001,SSE
472,0.098,SSE
480,0.8200000000000001,SSE
488,0.99,SSE
496,0.988,SSE
504,0.706,SSE
512,0.773,SSE
520,0.872,SSE
528,0.189,SSE
536,0.44,SSE
544,0.676,SSE
552,0.002,SSE
560,0.255,SSE
568,0.994,SSE
576,0.932,SSE
584,0.049,SSE
592,0.6910000000000001,SSE
600,0.014,SSE
608,0.983,SSE
616,0.006,SSE
624,0.767,SSE
632,0.088,SSE
640,0.358,SSE
648,0.9380000000000001,SSE
656,0.47100000000000003,SSE
664,0.031,SSE
672,0.9590000000000001,SSE
680,0.634,SSE
688,0.224,SSE
696,0.607,SSE
704,0.555,SSE
712,0.84,SSE
720,0.535,SSE
728,0.926,SSE
736,0.997,SSE
744,0.857,SSE
752,0.786,SSE
760,0.309,SSE
768,0.429,SSE
776,0.044,SSE
784,0.9520000000000001,SSE
792,0.933,SSE
800,0.984,SSE
808,0.9570000000000001,SSE
816,0.901,SSE
824,0.353,SSE
832,0.731,SSE
840,0.34800000000000003,SSE
848,0.518,SSE
856,0.638,SSE
864,0.363,SSE
872,0.361,SSE
880,0.8280000000000001,SSE
888,0.061,SSE
896,0.393,SSE
904,0.422,SSE
912,0.884,SSE
920,0.117,SSE
928,0.34900000000000003,SSE
936,0.039,SSE
944,0.682,SSE
952,0.333,SSE
960,0.449,SSE
968,0.719,SSE
976,0.215,SSE
984,0.587,SSE
992,0.869,SSE
1000,0.47400000000000003,SSE
1008,0.152,SSE
1016,0.672,SSE
1024,0.707,SSE
1032,0.05,SSE
1040,0.41100000000000003,SSE
1048,0.54,SSE
1056,0.498,SSE
1064,0.712,SSE
1072,0.778,SSE
1080,0.061,SSE
1088,0.378,SSE
1096,0.098,SSE
1104,0.606,SSE
1112,0.265,SSE
1120,0.294,SSE
1128,0.924,SSE
1136,0.847,SSE
1144,0.746,SSE
1152,0.171,SSE
1160,0.502,SSE
1168,0.734,SSE
1176,0.777,SSE
1184,0.263,SSE
1192,0.985,SSE
1200,0.322,SSE
1208,0.073,SSE
1216,0.504,SSE
1224,0.872,SSE
1232,0.108,SSE
1240,0.512,SSE
1248,0.303,SSE
1256,0.28200000000000003,SSE
1264,0.8210000000000001,SSE
1272,0.61,SSE
1280,0.14400000000000002,SSE
1288,0.59,SSE
1296,0.635,SSE
1304,0.999,SSE
1312,0.334,SSE
1320,0.6960000000000001,SSE
1328,0.048,SSE
1336,0.547,SSE
1344,0.927,SSE
1352,0.031,SSE
1360,0.713,SSE
1368,0.035,SSE
1376,0.034,SSE
1384,0.983,SSE
1392,0.5640000000000001,SSE
1400,0.548,SSE
1408,0.734,SSE
1416,0.733,SSE
1424,0.41300000000000003,SSE
1432,0.18,SSE
1440,0.365,SSE
1448,0.792,SSE
1456,0.912,SSE
1464,0.308,SSE
1472,0.334,SSE
1480,0.14200000000000002,SSE
1488,0.542,SSE
1496,0.35100000000000003,SSE
1504,0.19,SSE
1512,0.164,SSE
1520,0.335,SSE
1528,0.9480000000000001,SSE
1536,0.20700000000000002,SSE
1544,0.857,SSE
1552,0.121,SSE
1560,0.6910000000000001,SSE
1568,0.54,SSE
1576,0.896,SSE
1584,0.176,SSE
1592,0.687,SSE
