,p_hat,method
3,0.081,UASE
11,0.375,UASE
19,0.457,UASE
27,0.706,UASE
35,0.061,UASE
43,0.5690000000000001,UASE
51,0.742,UASE
59,0.419,UASE
67,0.45,UASE
75,0.454,UASE
83,0.21,UASE
91,0.245,UASE
99,0.542,UASE
107,0.97,UASE
115,0.017,UASE
123,0.707,UASE
131,0.833,UASE
139,0.11800000000000001,UASE
147,0.04,UASE
155,0.604,UASE
163,0.9510000000000001,UASE
171,0.728,UASE
179,0.873,UASE
187,0.8250000000000001,UASE
195,0.997,UASE
203,0.41400000000000003,UASE
211,0.34,UASE
219,0.744,UASE
227,0.8170000000000001,UASE
235,0.095,UASE
243,0.17500000000000002,UASE
251,0.773,UASE
259,0.27,UASE
267,0.003,UASE
275,0.884,UASE
283,0.316,UASE
291,0.802,UASE
299,0.149,UASE
307,0.554,UASE
315,0.13,UASE
323,0.177,UASE
331,0.273,UASE
339,0.982,UASE
347,0.648,UASE
355,0.75,UASE
363,0.464,UASE
371,0.393,UASE
379,0.068,UASE
387,0.582,UASE
395,0.681,UASE
403,0.612,UASE
411,0.374,UASE
419,0.467,UASE
427,0.513,UASE
435,0.229,UASE
443,0.649,UASE
451,0.9590000000000001,UASE
459,0.373,UASE
467,0.465,UASE
475,0.522,UASE
483,0.266,UASE
491,0.088,UASE
499,0.484,UASE
507,0.28,UASE
515,0.196,UASE
523,0.875,UASE
531,0.972,UASE
539,1.0,UASE
547,0.751,UASE
555,0.65,UASE
563,0.024,UASE
571,0.128,UASE
579,0.664,UASE
587,0.083,UASE
595,0.215,UASE
603,0.041,UASE
611,0.193,UASE
619,0.8310000000000001,UASE
627,0.72,UASE
635,0.903,UASE
643,0.851,UASE
651,0.199,UASE
659,0.657,UASE
667,0.899,UASE
675,0.97,UASE
683,0.007,UASE
691,0.5630000000000001,UASE
699,0.311,UASE
707,0.291,UASE
715,0.96,UASE
723,0.311,UASE
731,0.28800000000000003,UASE
739,0.442,UASE
747,0.38,UASE
755,0.748,UASE
763,0.841,UASE
771,0.924,UASE
779,0.062,UASE
787,0.583,UASE
795,0.395,UASE
803,0.853,UASE
811,0.757,UASE
819,0.083,UASE
827,0.446,UASE
835,0.298,UASE
843,0.385,UASE
851,0.493,UASE
859,0.523,UASE
867,0.557,UASE
875,0.441,UASE
883,0.612,UASE
891,0.029,UASE
899,0.17,UASE
907,0.835,UASE
915,0.716,UASE
923,0.719,UASE
931,0.582,UASE
939,0.218,UASE
947,0.65,UASE
955,0.617,UASE
963,0.138,UASE
971,0.292,UASE
979,0.794,UASE
987,0.262,UASE
995,0.034,UASE
1003,0.324,UASE
1011,0.876,UASE
1019,0.34400000000000003,UASE
1027,0.933,UASE
1035,0.521,UASE
1043,0.221,UASE
1051,0.888,UASE
1059,0.447,UASE
1067,0.366,UASE
1075,0.504,UASE
1083,0.038,UASE
1091,0.381,UASE
1099,0.327,UASE
1107,0.509,UASE
1115,0.233,UASE
1123,0.548,UASE
1131,0.061,UASE
1139,0.372,UASE
1147,0.75,UASE
1155,0.7010000000000001,UASE
1163,0.588,UASE
1171,0.316,UASE
1179,0.047,UASE
1187,0.639,UASE
1195,0.713,UASE
1203,0.325,UASE
1211,0.553,UASE
1219,0.681,UASE
1227,0.157,UASE
1235,0.8180000000000001,UASE
1243,0.292,UASE
1251,0.555,UASE
1259,0.342,UASE
1267,0.655,UASE
1275,0.28700000000000003,UASE
1283,0.917,UASE
1291,0.43,UASE
1299,0.042,UASE
1307,0.109,UASE
1315,0.896,UASE
1323,0.787,UASE
1331,0.44,UASE
1339,0.09,UASE
1347,0.757,UASE
1355,0.261,UASE
1363,0.6910000000000001,UASE
1371,0.717,UASE
1379,0.727,UASE
1387,0.724,UASE
1395,0.306,UASE
1403,0.8180000000000001,UASE
1411,0.249,UASE
1419,0.434,UASE
1427,0.258,UASE
1435,0.7020000000000001,UASE
1443,0.441,UASE
1451,0.5,UASE
1459,0.278,UASE
1467,0.29,UASE
1475,0.357,UASE
1483,0.847,UASE
1491,0.559,UASE
1499,0.41400000000000003,UASE
1507,0.334,UASE
1515,0.96,UASE
1523,0.096,UASE
1531,0.47200000000000003,UASE
1539,0.382,UASE
1547,0.08,UASE
1555,0.799,UASE
1563,0.037,UASE
1571,0.841,UASE
1579,0.787,UASE
1587,0.851,UASE
1595,0.457,UASE
