,p_hat,method
4,0.112,URLSE
12,0.384,URLSE
20,0.509,URLSE
28,0.705,URLSE
36,0.08,URLSE
44,0.585,URLSE
52,0.704,URLSE
60,0.41100000000000003,URLSE
68,0.449,URLSE
76,0.498,URLSE
84,0.218,URLSE
92,0.275,URLSE
100,0.5650000000000001,URLSE
108,0.966,URLSE
116,0.014,URLSE
124,0.6960000000000001,URLSE
132,0.8130000000000001,URLSE
140,0.153,URLSE
148,0.046,URLSE
156,0.604,URLSE
164,0.963,URLSE
172,0.747,URLSE
180,0.857,URLSE
188,0.8190000000000001,URLSE
196,0.998,URLSE
204,0.434,URLSE
212,0.34500000000000003,URLSE
220,0.777,URLSE
228,0.812,URLSE
236,0.11900000000000001,URLSE
244,0.14300000000000002,URLSE
252,0.785,URLSE
260,0.271,URLSE
268,0.001,URLSE
276,0.882,URLSE
284,0.34900000000000003,URLSE
292,0.8240000000000001,URLSE
300,0.158,URLSE
308,0.5640000000000001,URLSE
316,0.105,URLSE
324,0.209,URLSE
332,0.266,URLSE
340,0.978,URLSE
348,0.654,URLSE
356,0.766,URLSE
364,0.487,URLSE
372,0.399,URLSE
380,0.051000000000000004,URLSE
388,0.6,URLSE
396,0.686,URLSE
404,0.596,URLSE
412,0.379,URLSE
420,0.458,URLSE
428,0.47900000000000004,URLSE
436,0.217,URLSE
444,0.668,URLSE
452,0.9570000000000001,URLSE
460,0.369,URLSE
468,0.461,URLSE
476,0.542,URLSE
484,0.28500000000000003,URLSE
492,0.10200000000000001,URLSE
500,0.47500000000000003,URLSE
508,0.267,URLSE
516,0.23900000000000002,URLSE
524,0.851,URLSE
532,0.972,URLSE
540,0.999,URLSE
548,0.74,URLSE
556,0.653,URLSE
564,0.036000000000000004,URLSE
572,0.126,URLSE
580,0.65,URLSE
588,0.065,URLSE
596,0.22,URLSE
604,0.041,URLSE
612,0.17200000000000001,URLSE
620,0.846,URLSE
628,0.755,URLSE
636,0.897,URLSE
644,0.852,URLSE
652,0.189,URLSE
660,0.678,URLSE
668,0.893,URLSE
676,0.97,URLSE
684,0.012,URLSE
692,0.5640000000000001,URLSE
700,0.34700000000000003,URLSE
708,0.28800000000000003,URLSE
716,0.967,URLSE
724,0.28500000000000003,URLSE
732,0.296,URLSE
740,0.458,URLSE
748,0.382,URLSE
756,0.738,URLSE
764,0.871,URLSE
772,0.92,URLSE
780,0.066,URLSE
788,0.5730000000000001,URLSE
796,0.397,URLSE
804,0.8260000000000001,URLSE
812,0.787,URLSE
820,0.083,URLSE
828,0.439,URLSE
836,0.292,URLSE
844,0.372,URLSE
852,0.487,URLSE
860,0.553,URLSE
868,0.551,URLSE
876,0.403,URLSE
884,0.648,URLSE
892,0.041,URLSE
900,0.17300000000000001,URLSE
908,0.834,URLSE
916,0.677,URLSE
924,0.713,URLSE
932,0.5670000000000001,URLSE
940,0.23,URLSE
948,0.658,URLSE
956,0.624,URLSE
964,0.14200000000000002,URLSE
972,0.293,URLSE
980,0.8220000000000001,URLSE
988,0.28400000000000003,URLSE
996,0.037,URLSE
1004,0.327,URLSE
1012,0.877,URLSE
1020,0.342,URLSE
1028,0.915,URLSE
1036,0.468,URLSE
1044,0.221,URLSE
1052,0.872,URLSE
1060,0.457,URLSE
1068,0.323,URLSE
1076,0.462,URLSE
1084,0.034,URLSE
1092,0.399,URLSE
1100,0.34700000000000003,URLSE
1108,0.544,URLSE
1116,0.20600000000000002,URLSE
1124,0.528,URLSE
1132,0.08700000000000001,URLSE
1140,0.397,URLSE
1148,0.751,URLSE
1156,0.706,URLSE
1164,0.556,URLSE
1172,0.3,URLSE
1180,0.05,URLSE
1188,0.624,URLSE
1196,0.715,URLSE
1204,0.305,URLSE
1212,0.592,URLSE
1220,0.665,URLSE
1228,0.148,URLSE
1236,0.809,URLSE
1244,0.29,URLSE
1252,0.538,URLSE
1260,0.352,URLSE
1268,0.63,URLSE
1276,0.315,URLSE
1284,0.931,URLSE
1292,0.453,URLSE
1300,0.042,URLSE
1308,0.114,URLSE
1316,0.908,URLSE
1324,0.757,URLSE
1332,0.425,URLSE
1340,0.091,URLSE
1348,0.753,URLSE
1356,0.256,URLSE
1364,0.663,URLSE
1372,0.711,URLSE
1380,0.6990000000000001,URLSE
1388,0.707,URLSE
1396,0.301,URLSE
1404,0.841,URLSE
1412,0.251,URLSE
1420,0.456,URLSE
1428,0.232,URLSE
1436,0.713,URLSE
1444,0.439,URLSE
1452,0.503,URLSE
1460,0.253,URLSE
1468,0.329,URLSE
1476,0.381,URLSE
1484,0.861,URLSE
1492,0.533,URLSE
1500,0.398,URLSE
1508,0.343,URLSE
1516,0.9510000000000001,URLSE
1524,0.109,URLSE
1532,0.435,URLSE
1540,0.34800000000000003,URLSE
1548,0.065,URLSE
1556,0.8130000000000001,URLSE
1564,0.039,URLSE
1572,0.833,URLSE
1580,0.792,URLSE
1588,0.851,URLSE
1596,0.442,URLSE
