,p_hat,method
6,0.838,Unfolded Node2Vec
14,0.107,Unfolded Node2Vec
22,0.08700000000000001,Unfolded Node2Vec
30,0.379,Unfolded Node2Vec
38,0.496,Unfolded Node2Vec
46,0.14400000000000002,Unfolded Node2Vec
54,0.79,Unfolded Node2Vec
62,0.678,Unfolded Node2Vec
70,0.186,Unfolded Node2Vec
78,0.492,Unfolded Node2Vec
86,0.516,Unfolded Node2Vec
94,0.444,Unfolded Node2Vec
102,0.382,Unfolded Node2Vec
110,0.916,Unfolded Node2Vec
118,0.089,Unfolded Node2Vec
126,0.985,Unfolded Node2Vec
134,0.857,Unfolded Node2Vec
142,0.123,Unfolded Node2Vec
150,0.521,Unfolded Node2Vec
158,0.705,Unfolded Node2Vec
166,0.229,Unfolded Node2Vec
174,0.833,Unfolded Node2Vec
182,0.40900000000000003,Unfolded Node2Vec
190,0.654,Unfolded Node2Vec
198,0.018000000000000002,Unfolded Node2Vec
206,0.975,Unfolded Node2Vec
214,0.992,Unfolded Node2Vec
222,0.015,Unfolded Node2Vec
230,0.758,Unfolded Node2Vec
238,0.062,Unfolded Node2Vec
246,0.145,Unfolded Node2Vec
254,0.34700000000000003,Unfolded Node2Vec
262,0.41500000000000004,Unfolded Node2Vec
270,0.9470000000000001,Unfolded Node2Vec
278,0.252,Unfolded Node2Vec
286,0.06,Unfolded Node2Vec
294,0.428,Unfolded Node2Vec
302,0.556,Unfolded Node2Vec
310,0.5,Unfolded Node2Vec
318,0.482,Unfolded Node2Vec
326,0.426,Unfolded Node2Vec
334,0.265,Unfolded Node2Vec
342,0.441,Unfolded Node2Vec
350,0.526,Unfolded Node2Vec
358,0.521,Unfolded Node2Vec
366,0.886,Unfolded Node2Vec
374,0.081,Unfolded Node2Vec
382,0.314,Unfolded Node2Vec
390,0.794,Unfolded Node2Vec
398,0.904,Unfolded Node2Vec
406,0.537,Unfolded Node2Vec
414,0.468,Unfolded Node2Vec
422,0.307,Unfolded Node2Vec
430,0.385,Unfolded Node2Vec
438,0.08,Unfolded Node2Vec
446,0.778,Unfolded Node2Vec
454,0.309,Unfolded Node2Vec
462,0.20600000000000002,Unfolded Node2Vec
470,0.25,Unfolded Node2Vec
478,0.55,Unfolded Node2Vec
486,0.10200000000000001,Unfolded Node2Vec
494,0.029,Unfolded Node2Vec
