,p_hat,method
0,0.005,GloDyNE
1,0.0,GloDyNE
2,0.0,GloDyNE
3,0.03,GloDyNE
4,0.036000000000000004,GloDyNE
5,0.0,GloDyNE
6,0.034,GloDyNE
7,0.334,GloDyNE
8,0.023,GloDyNE
9,0.0,GloDyNE
10,0.006,GloDyNE
11,0.712,GloDyNE
12,0.0,GloDyNE
13,0.0,GloDyNE
14,0.0,GloDyNE
15,0.0,GloDyNE
16,0.0,GloDyNE
17,0.005,GloDyNE
18,0.676,GloDyNE
19,0.528,GloDyNE
20,0.002,GloDyNE
21,0.035,GloDyNE
22,0.0,GloDyNE
23,0.0,GloDyNE
24,0.0,GloDyNE
25,0.001,GloDyNE
26,0.08,GloDyNE
27,0.0,GloDyNE
28,0.0,GloDyNE
29,0.0,GloDyNE
30,0.062,GloDyNE
31,0.0,GloDyNE
32,0.0,GloDyNE
33,0.0,GloDyNE
34,0.001,GloDyNE
35,0.0,GloDyNE
36,0.0,GloDyNE
37,0.0,GloDyNE
38,0.047,GloDyNE
39,0.015,GloDyNE
40,0.0,GloDyNE
41,0.0,GloDyNE
42,0.006,GloDyNE
43,0.005,GloDyNE
44,0.0,GloDyNE
45,0.021,GloDyNE
46,0.009000000000000001,GloDyNE
47,0.402,GloDyNE
48,0.633,GloDyNE
49,0.0,GloDyNE
50,0.454,GloDyNE
51,0.0,GloDyNE
52,0.0,GloDyNE
53,0.025,GloDyNE
54,0.0,GloDyNE
55,0.385,GloDyNE
56,0.0,GloDyNE
57,0.0,GloDyNE
58,0.0,GloDyNE
59,0.0,GloDyNE
60,0.0,GloDyNE
61,0.001,GloDyNE
62,0.001,GloDyNE
63,0.0,GloDyNE
64,0.539,GloDyNE
65,0.044,GloDyNE
66,0.458,GloDyNE
67,0.003,GloDyNE
68,0.632,GloDyNE
69,0.007,GloDyNE
70,0.008,GloDyNE
71,0.0,GloDyNE
72,0.0,GloDyNE
73,0.001,GloDyNE
74,0.0,GloDyNE
75,0.0,GloDyNE
76,0.462,GloDyNE
77,0.013000000000000001,GloDyNE
78,0.004,GloDyNE
79,0.0,GloDyNE
80,0.551,GloDyNE
81,0.001,GloDyNE
82,0.0,GloDyNE
83,0.0,GloDyNE
84,0.0,GloDyNE
85,0.67,GloDyNE
86,0.038,GloDyNE
87,0.10300000000000001,GloDyNE
88,0.0,GloDyNE
89,0.001,GloDyNE
90,0.577,GloDyNE
91,0.001,GloDyNE
92,0.0,GloDyNE
93,0.055,GloDyNE
94,0.031,GloDyNE
95,0.0,GloDyNE
96,0.513,GloDyNE
97,0.028,GloDyNE
98,0.0,GloDyNE
99,0.713,GloDyNE
100,0.014,GloDyNE
101,0.267,GloDyNE
102,0.0,GloDyNE
103,0.014,GloDyNE
104,0.0,GloDyNE
105,0.0,GloDyNE
106,0.0,GloDyNE
107,0.266,GloDyNE
108,0.0,GloDyNE
109,0.724,GloDyNE
110,0.0,GloDyNE
111,0.002,GloDyNE
112,0.058,GloDyNE
113,0.599,GloDyNE
114,0.001,GloDyNE
115,0.0,GloDyNE
116,0.0,GloDyNE
117,0.001,GloDyNE
118,0.0,GloDyNE
119,0.0,GloDyNE
120,0.577,GloDyNE
121,0.01,GloDyNE
122,0.0,GloDyNE
123,0.77,GloDyNE
124,0.0,GloDyNE
125,0.0,GloDyNE
126,0.0,GloDyNE
127,0.003,GloDyNE
128,0.001,GloDyNE
129,0.546,GloDyNE
130,0.003,GloDyNE
131,0.0,GloDyNE
132,0.8150000000000001,GloDyNE
133,0.0,GloDyNE
134,0.354,GloDyNE
135,0.0,GloDyNE
136,0.0,GloDyNE
137,0.0,GloDyNE
138,0.0,GloDyNE
139,0.0,GloDyNE
140,0.0,GloDyNE
141,0.151,GloDyNE
142,0.627,GloDyNE
143,0.0,GloDyNE
144,0.077,GloDyNE
145,0.0,GloDyNE
146,0.781,GloDyNE
147,0.001,GloDyNE
148,0.935,GloDyNE
149,0.0,GloDyNE
150,0.0,GloDyNE
151,0.002,GloDyNE
152,0.003,GloDyNE
153,0.01,GloDyNE
154,0.094,GloDyNE
155,0.778,GloDyNE
156,0.001,GloDyNE
157,0.013000000000000001,GloDyNE
158,0.0,GloDyNE
159,0.067,GloDyNE
160,0.0,GloDyNE
161,0.844,GloDyNE
162,0.899,GloDyNE
163,0.229,GloDyNE
164,0.089,GloDyNE
165,0.0,GloDyNE
166,0.06,GloDyNE
167,0.29,GloDyNE
168,0.0,GloDyNE
169,0.008,GloDyNE
170,0.14300000000000002,GloDyNE
171,0.001,GloDyNE
172,0.125,GloDyNE
173,0.0,GloDyNE
174,0.8230000000000001,GloDyNE
175,0.05,GloDyNE
176,0.0,GloDyNE
177,0.0,GloDyNE
178,0.012,GloDyNE
179,0.0,GloDyNE
180,0.146,GloDyNE
181,0.498,GloDyNE
182,0.068,GloDyNE
183,0.0,GloDyNE
184,0.005,GloDyNE
185,0.29,GloDyNE
186,0.0,GloDyNE
187,0.20400000000000001,GloDyNE
188,0.41200000000000003,GloDyNE
189,0.064,GloDyNE
190,0.0,GloDyNE
191,0.0,GloDyNE
192,0.14200000000000002,GloDyNE
193,0.0,GloDyNE
194,0.843,GloDyNE
195,0.075,GloDyNE
196,0.537,GloDyNE
197,0.002,GloDyNE
198,0.003,GloDyNE
199,0.855,GloDyNE
