,p_hat,method
1,0.9380000000000001,Independent Node2Vec
3,0.325,Independent Node2Vec
5,0.127,Independent Node2Vec
7,0.917,Independent Node2Vec
9,0.077,Independent Node2Vec
11,0.641,Independent Node2Vec
13,0.589,Independent Node2Vec
15,0.883,Independent Node2Vec
17,0.923,Independent Node2Vec
19,0.883,Independent Node2Vec
21,0.6990000000000001,Independent Node2Vec
23,0.042,Independent Node2Vec
25,0.654,Independent Node2Vec
27,0.8220000000000001,Independent Node2Vec
29,0.898,Independent Node2Vec
31,0.05,Independent Node2Vec
33,0.9480000000000001,Independent Node2Vec
35,0.935,Independent Node2Vec
37,0.8170000000000001,Independent Node2Vec
39,0.192,Independent Node2Vec
41,0.63,Independent Node2Vec
43,0.9420000000000001,Independent Node2Vec
45,0.731,Independent Node2Vec
47,0.23700000000000002,Independent Node2Vec
49,0.5,Independent Node2Vec
51,0.178,Independent Node2Vec
53,0.05,Independent Node2Vec
55,0.9510000000000001,Independent Node2Vec
57,0.28400000000000003,Independent Node2Vec
59,0.075,Independent Node2Vec
61,0.92,Independent Node2Vec
63,0.47700000000000004,Independent Node2Vec
65,0.905,Independent Node2Vec
67,0.128,Independent Node2Vec
69,0.528,Independent Node2Vec
71,0.8140000000000001,Independent Node2Vec
73,0.443,Independent Node2Vec
75,0.589,Independent Node2Vec
77,0.179,Independent Node2Vec
79,0.418,Independent Node2Vec
81,0.444,Independent Node2Vec
83,0.969,Independent Node2Vec
85,0.631,Independent Node2Vec
87,0.859,Independent Node2Vec
89,0.771,Independent Node2Vec
91,0.223,Independent Node2Vec
93,0.212,Independent Node2Vec
95,0.792,Independent Node2Vec
97,0.2,Independent Node2Vec
99,0.27,Independent Node2Vec
101,0.627,Independent Node2Vec
103,0.247,Independent Node2Vec
105,0.712,Independent Node2Vec
107,0.795,Independent Node2Vec
109,0.225,Independent Node2Vec
111,0.91,Independent Node2Vec
113,0.962,Independent Node2Vec
115,0.849,Independent Node2Vec
117,0.501,Independent Node2Vec
119,0.969,Independent Node2Vec
121,0.176,Independent Node2Vec
123,0.579,Independent Node2Vec
125,0.654,Independent Node2Vec
127,0.935,Independent Node2Vec
129,0.035,Independent Node2Vec
131,0.422,Independent Node2Vec
133,0.212,Independent Node2Vec
135,0.9390000000000001,Independent Node2Vec
137,0.221,Independent Node2Vec
139,0.34400000000000003,Independent Node2Vec
141,0.164,Independent Node2Vec
143,0.657,Independent Node2Vec
145,0.127,Independent Node2Vec
147,0.442,Independent Node2Vec
149,0.333,Independent Node2Vec
151,0.508,Independent Node2Vec
153,0.9390000000000001,Independent Node2Vec
155,0.306,Independent Node2Vec
157,0.918,Independent Node2Vec
159,0.75,Independent Node2Vec
161,0.124,Independent Node2Vec
163,0.895,Independent Node2Vec
165,0.203,Independent Node2Vec
167,0.49,Independent Node2Vec
169,0.329,Independent Node2Vec
171,0.706,Independent Node2Vec
173,0.498,Independent Node2Vec
175,0.994,Independent Node2Vec
177,0.057,Independent Node2Vec
179,0.853,Independent Node2Vec
181,0.587,Independent Node2Vec
183,0.024,Independent Node2Vec
185,0.792,Independent Node2Vec
187,0.675,Independent Node2Vec
