,p_hat,method
0,0.0,OMNI
1,0.0,OMNI
2,0.0,OMNI
3,0.0,OMNI
4,0.0,OMNI
5,0.0,OMNI
6,0.0,OMNI
7,0.0,OMNI
8,0.0,OMNI
9,0.0,OMNI
10,0.0,OMNI
11,0.0,OMNI
12,0.0,OMNI
13,0.0,OMNI
14,0.0,OMNI
15,0.0,OMNI
16,0.0,OMNI
17,0.0,OMNI
18,0.0,OMNI
19,0.0,OMNI
20,0.0,OMNI
21,0.0,OMNI
22,0.0,OMNI
23,0.0,OMNI
24,0.0,OMNI
25,0.0,OMNI
26,0.0,OMNI
27,0.0,OMNI
28,0.0,OMNI
29,0.0,OMNI
30,0.0,OMNI
31,0.0,OMNI
32,0.0,OMNI
33,0.0,OMNI
34,0.0,OMNI
35,0.0,OMNI
36,0.0,OMNI
37,0.0,OMNI
38,0.0,OMNI
39,0.0,OMNI
40,0.0,OMNI
41,0.0,OMNI
42,0.0,OMNI
43,0.0,OMNI
44,0.0,OMNI
45,0.0,OMNI
46,0.0,OMNI
47,0.0,OMNI
48,0.0,OMNI
49,0.0,OMNI
50,0.0,OMNI
51,0.0,OMNI
52,0.0,OMNI
53,0.0,OMNI
54,0.0,OMNI
55,0.0,OMNI
56,0.0,OMNI
57,0.0,OMNI
58,0.0,OMNI
59,0.0,OMNI
60,0.0,OMNI
61,0.0,OMNI
62,0.0,OMNI
63,0.0,OMNI
64,0.0,OMNI
65,0.0,OMNI
66,0.0,OMNI
67,0.0,OMNI
68,0.0,OMNI
69,0.0,OMNI
70,0.0,OMNI
71,0.0,OMNI
72,0.0,OMNI
73,0.0,OMNI
74,0.0,OMNI
75,0.0,OMNI
76,0.0,OMNI
77,0.0,OMNI
78,0.0,OMNI
79,0.0,OMNI
80,0.0,OMNI
81,0.0,OMNI
82,0.0,OMNI
83,0.0,OMNI
84,0.0,OMNI
85,0.0,OMNI
86,0.0,OMNI
87,0.0,OMNI
88,0.0,OMNI
89,0.0,OMNI
90,0.0,OMNI
91,0.0,OMNI
92,0.0,OMNI
93,0.0,OMNI
94,0.0,OMNI
95,0.0,OMNI
96,0.0,OMNI
97,0.0,OMNI
98,0.0,OMNI
99,0.0,OMNI
100,0.0,OMNI
101,0.0,OMNI
102,0.0,OMNI
103,0.0,OMNI
104,0.0,OMNI
105,0.0,OMNI
106,0.0,OMNI
107,0.0,OMNI
108,0.0,OMNI
109,0.0,OMNI
110,0.0,OMNI
111,0.0,OMNI
112,0.0,OMNI
113,0.0,OMNI
114,0.0,OMNI
115,0.0,OMNI
116,0.0,OMNI
117,0.0,OMNI
118,0.0,OMNI
119,0.0,OMNI
120,0.0,OMNI
121,0.0,OMNI
122,0.0,OMNI
123,0.0,OMNI
124,0.0,OMNI
125,0.0,OMNI
126,0.0,OMNI
127,0.0,OMNI
128,0.0,OMNI
129,0.0,OMNI
130,0.0,OMNI
131,0.0,OMNI
132,0.0,OMNI
133,0.0,OMNI
134,0.0,OMNI
135,0.0,OMNI
136,0.0,OMNI
137,0.0,OMNI
138,0.0,OMNI
139,0.0,OMNI
140,0.0,OMNI
141,0.0,OMNI
142,0.0,OMNI
143,0.0,OMNI
144,0.0,OMNI
145,0.0,OMNI
146,0.0,OMNI
147,0.0,OMNI
148,0.0,OMNI
149,0.0,OMNI
150,0.0,OMNI
151,0.0,OMNI
152,0.0,OMNI
153,0.0,OMNI
154,0.0,OMNI
155,0.0,OMNI
156,0.0,OMNI
157,0.0,OMNI
158,0.0,OMNI
159,0.0,OMNI
160,0.0,OMNI
161,0.0,OMNI
162,0.0,OMNI
163,0.0,OMNI
164,0.0,OMNI
165,0.0,OMNI
166,0.0,OMNI
167,0.0,OMNI
168,0.0,OMNI
169,0.0,OMNI
170,0.0,OMNI
171,0.0,OMNI
172,0.0,OMNI
173,0.0,OMNI
174,0.0,OMNI
175,0.0,OMNI
176,0.0,OMNI
177,0.0,OMNI
178,0.0,OMNI
179,0.0,OMNI
180,0.0,OMNI
181,0.0,OMNI
182,0.0,OMNI
183,0.0,OMNI
184,0.0,OMNI
185,0.0,OMNI
186,0.0,OMNI
187,0.0,OMNI
188,0.0,OMNI
189,0.0,OMNI
190,0.0,OMNI
191,0.0,OMNI
192,0.0,OMNI
193,0.0,OMNI
194,0.0,OMNI
195,0.0,OMNI
196,0.0,OMNI
197,0.0,OMNI
198,0.0,OMNI
199,0.0,OMNI
