,p_hat,method
1,0.648,SSE Procrustes
3,0.663,SSE Procrustes
5,0.278,SSE Procrustes
7,0.757,SSE Procrustes
9,0.8130000000000001,SSE Procrustes
11,0.794,SSE Procrustes
13,0.963,SSE Procrustes
15,0.215,SSE Procrustes
17,0.279,SSE Procrustes
19,0.456,SSE Procrustes
21,0.064,SSE Procrustes
23,0.358,SSE Procrustes
25,0.769,SSE Procrustes
27,0.9530000000000001,SSE Procrustes
29,0.918,SSE Procrustes
31,0.389,SSE Procrustes
33,0.13,SSE Procrustes
35,0.809,SSE Procrustes
37,0.305,SSE Procrustes
39,0.635,SSE Procrustes
41,0.969,SSE Procrustes
43,0.728,SSE Procrustes
45,0.085,SSE Procrustes
47,0.73,SSE Procrustes
49,0.6960000000000001,SSE Procrustes
51,0.9390000000000001,SSE Procrustes
53,0.418,SSE Procrustes
55,0.226,SSE Procrustes
57,0.96,SSE Procrustes
59,0.025,SSE Procrustes
61,0.658,SSE Procrustes
63,0.547,SSE Procrustes
65,0.265,SSE Procrustes
67,0.332,SSE Procrustes
69,0.994,SSE Procrustes
71,0.584,SSE Procrustes
73,0.974,SSE Procrustes
75,0.40900000000000003,SSE Procrustes
77,0.378,SSE Procrustes
79,0.836,SSE Procrustes
81,0.065,SSE Procrustes
83,0.76,SSE Procrustes
85,0.784,SSE Procrustes
87,0.664,SSE Procrustes
89,0.839,SSE Procrustes
91,0.318,SSE Procrustes
93,0.59,SSE Procrustes
95,0.794,SSE Procrustes
97,0.8260000000000001,SSE Procrustes
99,0.996,SSE Procrustes
101,0.043000000000000003,SSE Procrustes
103,0.165,SSE Procrustes
105,0.5650000000000001,SSE Procrustes
107,0.114,SSE Procrustes
109,0.677,SSE Procrustes
111,0.712,SSE Procrustes
113,0.626,SSE Procrustes
115,0.749,SSE Procrustes
117,0.988,SSE Procrustes
119,0.877,SSE Procrustes
121,0.961,SSE Procrustes
123,0.20500000000000002,SSE Procrustes
125,0.183,SSE Procrustes
127,0.062,SSE Procrustes
129,0.022,SSE Procrustes
131,0.014,SSE Procrustes
133,0.754,SSE Procrustes
135,0.109,SSE Procrustes
137,0.28600000000000003,SSE Procrustes
139,0.486,SSE Procrustes
141,0.8200000000000001,SSE Procrustes
143,0.428,SSE Procrustes
145,0.079,SSE Procrustes
147,0.171,SSE Procrustes
149,0.849,SSE Procrustes
151,0.836,SSE Procrustes
153,0.728,SSE Procrustes
155,0.91,SSE Procrustes
157,0.546,SSE Procrustes
159,0.398,SSE Procrustes
161,0.015,SSE Procrustes
163,0.738,SSE Procrustes
165,0.386,SSE Procrustes
167,0.998,SSE Procrustes
169,0.43,SSE Procrustes
171,0.515,SSE Procrustes
173,0.45,SSE Procrustes
175,0.9570000000000001,SSE Procrustes
177,0.372,SSE Procrustes
179,0.3,SSE Procrustes
181,0.078,SSE Procrustes
183,0.28700000000000003,SSE Procrustes
185,0.068,SSE Procrustes
187,0.042,SSE Procrustes
189,0.537,SSE Procrustes
191,0.8170000000000001,SSE Procrustes
193,0.635,SSE Procrustes
195,0.8250000000000001,SSE Procrustes
197,0.808,SSE Procrustes
199,0.084,SSE Procrustes
201,0.642,SSE Procrustes
