,p_hat,method
0,0.632,SSE
2,0.658,SSE
4,0.273,SSE
6,0.794,SSE
8,0.8310000000000001,SSE
10,0.772,SSE
12,0.9490000000000001,SSE
14,0.252,SSE
16,0.263,SSE
18,0.507,SSE
20,0.052000000000000005,SSE
22,0.363,SSE
24,0.774,SSE
26,0.9580000000000001,SSE
28,0.914,SSE
30,0.363,SSE
32,0.128,SSE
34,0.81,SSE
36,0.315,SSE
38,0.635,SSE
40,0.974,SSE
42,0.741,SSE
44,0.09,SSE
46,0.723,SSE
48,0.667,SSE
50,0.925,SSE
52,0.4,SSE
54,0.226,SSE
56,0.968,SSE
58,0.024,SSE
60,0.663,SSE
62,0.524,SSE
64,0.268,SSE
66,0.335,SSE
68,0.995,SSE
70,0.6,SSE
72,0.971,SSE
74,0.421,SSE
76,0.396,SSE
78,0.839,SSE
80,0.052000000000000005,SSE
82,0.752,SSE
84,0.776,SSE
86,0.679,SSE
88,0.8220000000000001,SSE
90,0.309,SSE
92,0.615,SSE
94,0.778,SSE
96,0.8160000000000001,SSE
98,0.989,SSE
100,0.045,SSE
102,0.16,SSE
104,0.5700000000000001,SSE
106,0.135,SSE
108,0.645,SSE
110,0.687,SSE
112,0.631,SSE
114,0.75,SSE
116,0.994,SSE
118,0.87,SSE
120,0.9580000000000001,SSE
122,0.2,SSE
124,0.17500000000000002,SSE
126,0.066,SSE
128,0.022,SSE
130,0.024,SSE
132,0.768,SSE
134,0.097,SSE
136,0.28300000000000003,SSE
138,0.486,SSE
140,0.845,SSE
142,0.432,SSE
144,0.09,SSE
146,0.176,SSE
148,0.85,SSE
150,0.851,SSE
152,0.708,SSE
154,0.881,SSE
156,0.5760000000000001,SSE
158,0.403,SSE
160,0.013000000000000001,SSE
162,0.735,SSE
164,0.401,SSE
166,0.996,SSE
168,0.45,SSE
170,0.513,SSE
172,0.47600000000000003,SSE
174,0.9500000000000001,SSE
176,0.353,SSE
178,0.247,SSE
180,0.068,SSE
182,0.302,SSE
184,0.051000000000000004,SSE
186,0.038,SSE
188,0.5720000000000001,SSE
190,0.8140000000000001,SSE
192,0.656,SSE
194,0.8230000000000001,SSE
196,0.788,SSE
198,0.08700000000000001,SSE
200,0.626,SSE
202,0.774,SSE
204,0.748,SSE
206,0.378,SSE
208,0.96,SSE
210,0.492,SSE
212,0.23900000000000002,SSE
214,0.55,SSE
216,0.509,SSE
218,0.217,SSE
220,0.655,SSE
222,0.752,SSE
224,0.047,SSE
226,0.483,SSE
228,0.194,SSE
230,0.19,SSE
232,0.637,SSE
234,0.46900000000000003,SSE
236,0.6890000000000001,SSE
238,0.425,SSE
240,0.8200000000000001,SSE
242,0.911,SSE
244,0.7020000000000001,SSE
246,0.516,SSE
248,0.65,SSE
250,0.844,SSE
252,0.884,SSE
254,0.987,SSE
256,0.776,SSE
258,0.106,SSE
260,0.897,SSE
262,0.771,SSE
264,0.626,SSE
266,0.749,SSE
268,0.029,SSE
270,0.461,SSE
272,0.512,SSE
274,0.257,SSE
276,0.215,SSE
278,0.125,SSE
280,0.19,SSE
282,0.008,SSE
284,0.12,SSE
286,0.5670000000000001,SSE
288,0.03,SSE
290,0.243,SSE
292,0.911,SSE
294,0.838,SSE
296,0.8210000000000001,SSE
298,0.6980000000000001,SSE
300,0.385,SSE
302,0.342,SSE
304,0.466,SSE
306,0.8210000000000001,SSE
308,0.117,SSE
310,0.045,SSE
312,0.775,SSE
314,0.586,SSE
316,0.647,SSE
318,0.066,SSE
320,0.848,SSE
322,0.665,SSE
324,0.536,SSE
326,0.531,SSE
328,0.21,SSE
330,0.147,SSE
332,0.845,SSE
334,0.871,SSE
336,0.925,SSE
338,0.617,SSE
340,0.8240000000000001,SSE
342,0.9480000000000001,SSE
344,0.261,SSE
346,0.397,SSE
348,0.333,SSE
350,0.043000000000000003,SSE
352,0.314,SSE
354,0.331,SSE
356,0.922,SSE
358,0.164,SSE
360,0.8160000000000001,SSE
362,0.058,SSE
364,0.137,SSE
366,0.891,SSE
368,0.112,SSE
370,0.9460000000000001,SSE
372,0.897,SSE
374,0.243,SSE
376,0.631,SSE
378,0.20800000000000002,SSE
380,0.71,SSE
382,0.158,SSE
384,0.332,SSE
386,0.9420000000000001,SSE
388,0.052000000000000005,SSE
390,0.429,SSE
392,0.28800000000000003,SSE
394,0.15,SSE
396,0.334,SSE
398,0.372,SSE
