,p_hat,method
2,0.801,UASE
6,0.245,UASE
10,0.604,UASE
14,0.28,UASE
18,0.753,UASE
22,0.733,UASE
26,0.321,UASE
30,0.332,UASE
34,0.221,UASE
38,0.68,UASE
42,0.222,UASE
46,0.313,UASE
50,0.442,UASE
54,0.5730000000000001,UASE
58,0.226,UASE
62,0.242,UASE
66,0.505,UASE
70,0.229,UASE
74,0.355,UASE
78,0.8210000000000001,UASE
82,0.509,UASE
86,0.274,UASE
90,0.022,UASE
94,0.626,UASE
98,0.792,UASE
102,0.783,UASE
106,0.789,UASE
110,0.418,UASE
114,0.902,UASE
118,0.915,UASE
122,0.123,UASE
126,0.421,UASE
130,0.853,UASE
134,0.59,UASE
138,0.5650000000000001,UASE
142,0.23,UASE
146,0.994,UASE
150,0.879,UASE
154,0.8250000000000001,UASE
158,0.179,UASE
162,0.354,UASE
166,0.431,UASE
170,0.8280000000000001,UASE
174,0.66,UASE
178,0.77,UASE
182,0.002,UASE
186,0.209,UASE
190,0.8170000000000001,UASE
194,0.686,UASE
198,0.305,UASE
202,0.875,UASE
206,0.56,UASE
210,0.516,UASE
214,0.994,UASE
218,0.773,UASE
222,0.847,UASE
226,0.161,UASE
230,0.84,UASE
234,0.709,UASE
238,0.274,UASE
242,0.08700000000000001,UASE
246,0.28800000000000003,UASE
250,0.677,UASE
254,0.069,UASE
258,0.363,UASE
262,0.622,UASE
266,0.10200000000000001,UASE
270,0.032,UASE
274,0.632,UASE
278,0.913,UASE
282,0.168,UASE
286,0.06,UASE
290,0.805,UASE
294,0.358,UASE
298,0.47700000000000004,UASE
302,0.26,UASE
306,0.182,UASE
310,0.361,UASE
314,0.338,UASE
318,0.40700000000000003,UASE
322,0.71,UASE
326,0.28500000000000003,UASE
330,0.664,UASE
334,0.843,UASE
338,0.467,UASE
342,0.44,UASE
346,0.0,UASE
350,0.745,UASE
354,0.9500000000000001,UASE
358,0.446,UASE
362,0.214,UASE
366,0.027,UASE
370,0.031,UASE
374,0.275,UASE
378,0.763,UASE
382,0.085,UASE
386,0.77,UASE
390,0.105,UASE
394,0.278,UASE
398,0.14100000000000001,UASE
402,0.263,UASE
406,0.887,UASE
410,0.63,UASE
414,0.465,UASE
418,0.858,UASE
422,0.34900000000000003,UASE
426,0.79,UASE
430,0.906,UASE
434,0.59,UASE
438,0.867,UASE
442,0.433,UASE
446,0.217,UASE
450,0.724,UASE
454,0.319,UASE
458,0.016,UASE
462,0.789,UASE
466,0.8300000000000001,UASE
470,0.337,UASE
474,0.969,UASE
478,0.394,UASE
482,0.073,UASE
486,0.177,UASE
490,0.721,UASE
494,0.885,UASE
498,0.807,UASE
502,0.454,UASE
506,0.523,UASE
510,0.589,UASE
514,0.727,UASE
518,0.23900000000000002,UASE
522,0.341,UASE
526,0.961,UASE
530,0.931,UASE
534,0.98,UASE
538,0.725,UASE
542,0.766,UASE
546,0.756,UASE
550,0.653,UASE
554,0.961,UASE
558,0.064,UASE
562,0.281,UASE
566,0.315,UASE
570,0.798,UASE
574,0.748,UASE
578,0.621,UASE
582,0.619,UASE
586,0.862,UASE
590,0.343,UASE
594,0.853,UASE
598,0.333,UASE
602,0.14400000000000002,UASE
606,0.147,UASE
610,0.383,UASE
614,0.5750000000000001,UASE
618,0.9590000000000001,UASE
622,0.364,UASE
626,0.325,UASE
630,0.234,UASE
634,0.398,UASE
638,0.937,UASE
642,0.654,UASE
646,0.369,UASE
650,0.971,UASE
654,0.226,UASE
658,0.711,UASE
662,0.34600000000000003,UASE
666,0.8280000000000001,UASE
670,0.115,UASE
674,0.5740000000000001,UASE
678,0.023,UASE
682,0.461,UASE
686,0.624,UASE
690,0.1,UASE
694,0.767,UASE
698,0.872,UASE
702,0.34400000000000003,UASE
706,0.788,UASE
710,0.883,UASE
714,0.935,UASE
718,0.432,UASE
722,0.436,UASE
726,0.326,UASE
730,0.863,UASE
734,0.617,UASE
738,0.841,UASE
742,0.548,UASE
746,0.9,UASE
750,0.899,UASE
754,0.012,UASE
758,0.321,UASE
762,0.935,UASE
766,0.5730000000000001,UASE
770,0.925,UASE
774,0.017,UASE
778,0.708,UASE
782,0.776,UASE
786,0.23500000000000001,UASE
790,0.43,UASE
794,0.361,UASE
798,0.315,UASE
