,p_hat,method
3,0.679,URLSE
7,0.434,URLSE
11,0.898,URLSE
15,0.718,URLSE
19,0.992,URLSE
23,0.965,URLSE
27,0.314,URLSE
31,0.289,URLSE
35,0.094,URLSE
39,0.842,URLSE
43,0.115,URLSE
47,0.488,URLSE
51,0.8280000000000001,URLSE
55,0.642,URLSE
59,0.214,URLSE
63,0.797,URLSE
67,0.79,URLSE
71,0.448,URLSE
75,0.489,URLSE
79,0.97,URLSE
83,0.047,URLSE
87,0.8240000000000001,URLSE
91,0.031,URLSE
95,0.905,URLSE
99,0.439,URLSE
103,0.767,URLSE
107,0.679,URLSE
111,0.41300000000000003,URLSE
115,0.995,URLSE
119,0.759,URLSE
123,0.492,URLSE
127,0.658,URLSE
131,0.34600000000000003,URLSE
135,0.23600000000000002,URLSE
139,0.536,URLSE
143,0.36,URLSE
147,0.998,URLSE
151,0.782,URLSE
155,0.974,URLSE
159,0.463,URLSE
163,0.5730000000000001,URLSE
167,0.669,URLSE
171,0.983,URLSE
175,0.65,URLSE
179,0.764,URLSE
183,0.07,URLSE
187,0.47600000000000003,URLSE
191,0.68,URLSE
195,0.153,URLSE
199,0.776,URLSE
203,0.865,URLSE
207,0.931,URLSE
211,0.5660000000000001,URLSE
215,0.584,URLSE
219,0.214,URLSE
223,0.639,URLSE
227,0.599,URLSE
231,0.88,URLSE
235,0.448,URLSE
239,0.389,URLSE
243,0.712,URLSE
247,0.527,URLSE
251,0.069,URLSE
255,0.6950000000000001,URLSE
259,0.212,URLSE
263,0.437,URLSE
267,0.676,URLSE
271,0.07200000000000001,URLSE
275,0.326,URLSE
279,0.116,URLSE
283,0.128,URLSE
287,0.319,URLSE
291,0.462,URLSE
295,0.326,URLSE
299,0.869,URLSE
303,0.247,URLSE
307,0.309,URLSE
311,0.536,URLSE
315,0.9470000000000001,URLSE
319,0.438,URLSE
323,0.745,URLSE
327,0.464,URLSE
331,0.667,URLSE
335,0.245,URLSE
339,0.559,URLSE
343,0.076,URLSE
347,0.075,URLSE
351,0.93,URLSE
355,0.307,URLSE
359,0.583,URLSE
363,0.052000000000000005,URLSE
367,0.018000000000000002,URLSE
371,0.47300000000000003,URLSE
375,0.442,URLSE
379,0.02,URLSE
383,0.20400000000000001,URLSE
387,0.065,URLSE
391,0.28,URLSE
395,0.443,URLSE
399,0.111,URLSE
403,0.599,URLSE
407,0.24,URLSE
411,0.846,URLSE
415,0.588,URLSE
419,0.462,URLSE
423,0.835,URLSE
427,0.852,URLSE
431,0.924,URLSE
435,0.647,URLSE
439,0.901,URLSE
443,0.227,URLSE
447,0.179,URLSE
451,0.464,URLSE
455,0.785,URLSE
459,0.186,URLSE
463,0.89,URLSE
467,0.773,URLSE
471,0.8200000000000001,URLSE
475,0.999,URLSE
479,0.653,URLSE
483,0.089,URLSE
487,0.743,URLSE
491,0.664,URLSE
495,0.999,URLSE
499,0.763,URLSE
503,0.711,URLSE
507,0.482,URLSE
511,0.319,URLSE
515,0.756,URLSE
519,0.455,URLSE
523,0.041,URLSE
527,0.28,URLSE
531,0.714,URLSE
535,1.0,URLSE
539,0.505,URLSE
543,0.855,URLSE
547,0.927,URLSE
551,0.524,URLSE
555,0.978,URLSE
559,0.5740000000000001,URLSE
563,0.096,URLSE
567,0.23700000000000002,URLSE
571,0.914,URLSE
575,0.687,URLSE
579,0.025,URLSE
583,0.875,URLSE
587,0.99,URLSE
591,0.054,URLSE
595,0.781,URLSE
599,0.373,URLSE
603,0.393,URLSE
607,0.376,URLSE
611,0.059000000000000004,URLSE
615,0.783,URLSE
619,0.269,URLSE
623,0.419,URLSE
627,0.8320000000000001,URLSE
631,0.422,URLSE
635,0.361,URLSE
639,0.34400000000000003,URLSE
643,0.661,URLSE
647,0.927,URLSE
651,0.973,URLSE
655,0.048,URLSE
659,0.846,URLSE
663,0.966,URLSE
667,0.775,URLSE
671,0.721,URLSE
675,0.803,URLSE
679,0.035,URLSE
683,0.8140000000000001,URLSE
687,0.6990000000000001,URLSE
691,0.768,URLSE
695,0.927,URLSE
699,0.853,URLSE
703,0.585,URLSE
707,0.994,URLSE
711,0.447,URLSE
715,0.901,URLSE
719,0.743,URLSE
723,0.63,URLSE
727,0.225,URLSE
731,0.88,URLSE
735,0.758,URLSE
739,0.86,URLSE
743,0.662,URLSE
747,0.964,URLSE
751,0.963,URLSE
755,0.784,URLSE
759,0.228,URLSE
763,0.771,URLSE
767,0.035,URLSE
771,0.234,URLSE
775,0.743,URLSE
779,0.07200000000000001,URLSE
783,0.309,URLSE
787,0.232,URLSE
791,0.31,URLSE
795,0.645,URLSE
799,0.061,URLSE
