,p_hat,method
0,0.215,Unfolded Node2Vec
2,0.001,Unfolded Node2Vec
4,0.739,Unfolded Node2Vec
6,0.248,Unfolded Node2Vec
8,0.969,Unfolded Node2Vec
10,0.34800000000000003,Unfolded Node2Vec
12,0.674,Unfolded Node2Vec
14,0.967,Unfolded Node2Vec
16,0.267,Unfolded Node2Vec
18,0.9400000000000001,Unfolded Node2Vec
20,0.041,Unfolded Node2Vec
22,0.228,Unfolded Node2Vec
24,0.707,Unfolded Node2Vec
26,0.381,Unfolded Node2Vec
28,0.379,Unfolded Node2Vec
30,0.203,Unfolded Node2Vec
32,0.803,Unfolded Node2Vec
34,0.761,Unfolded Node2Vec
36,0.461,Unfolded Node2Vec
38,0.07200000000000001,Unfolded Node2Vec
40,0.733,Unfolded Node2Vec
42,0.314,Unfolded Node2Vec
44,0.085,Unfolded Node2Vec
46,0.849,Unfolded Node2Vec
48,0.37,Unfolded Node2Vec
50,0.642,Unfolded Node2Vec
52,0.418,Unfolded Node2Vec
54,0.747,Unfolded Node2Vec
56,0.685,Unfolded Node2Vec
58,0.222,Unfolded Node2Vec
60,0.302,Unfolded Node2Vec
62,0.327,Unfolded Node2Vec
64,0.788,Unfolded Node2Vec
66,0.299,Unfolded Node2Vec
68,0.402,Unfolded Node2Vec
70,0.343,Unfolded Node2Vec
72,0.066,Unfolded Node2Vec
74,0.259,Unfolded Node2Vec
76,0.921,Unfolded Node2Vec
78,0.133,Unfolded Node2Vec
80,0.997,Unfolded Node2Vec
82,0.466,Unfolded Node2Vec
84,0.9530000000000001,Unfolded Node2Vec
86,0.527,Unfolded Node2Vec
88,0.9380000000000001,Unfolded Node2Vec
90,0.278,Unfolded Node2Vec
92,0.40700000000000003,Unfolded Node2Vec
94,0.363,Unfolded Node2Vec
96,0.662,Unfolded Node2Vec
98,0.001,Unfolded Node2Vec
100,0.254,Unfolded Node2Vec
102,0.742,Unfolded Node2Vec
104,0.07200000000000001,Unfolded Node2Vec
106,0.067,Unfolded Node2Vec
108,0.6900000000000001,Unfolded Node2Vec
110,0.875,Unfolded Node2Vec
112,0.794,Unfolded Node2Vec
114,0.28800000000000003,Unfolded Node2Vec
116,0.453,Unfolded Node2Vec
118,0.891,Unfolded Node2Vec
120,0.9540000000000001,Unfolded Node2Vec
122,0.933,Unfolded Node2Vec
124,0.797,Unfolded Node2Vec
126,0.66,Unfolded Node2Vec
128,0.976,Unfolded Node2Vec
130,0.47100000000000003,Unfolded Node2Vec
132,0.991,Unfolded Node2Vec
134,0.889,Unfolded Node2Vec
136,0.328,Unfolded Node2Vec
138,0.121,Unfolded Node2Vec
140,0.123,Unfolded Node2Vec
142,0.211,Unfolded Node2Vec
144,0.808,Unfolded Node2Vec
146,0.878,Unfolded Node2Vec
148,0.241,Unfolded Node2Vec
150,0.739,Unfolded Node2Vec
152,0.967,Unfolded Node2Vec
154,0.506,Unfolded Node2Vec
156,0.095,Unfolded Node2Vec
158,0.8160000000000001,Unfolded Node2Vec
160,0.015,Unfolded Node2Vec
162,0.354,Unfolded Node2Vec
164,0.763,Unfolded Node2Vec
166,0.262,Unfolded Node2Vec
168,0.379,Unfolded Node2Vec
170,0.915,Unfolded Node2Vec
172,0.34,Unfolded Node2Vec
174,0.898,Unfolded Node2Vec
176,0.881,Unfolded Node2Vec
178,0.672,Unfolded Node2Vec
180,0.808,Unfolded Node2Vec
182,0.049,Unfolded Node2Vec
184,0.548,Unfolded Node2Vec
186,0.194,Unfolded Node2Vec
188,0.47200000000000003,Unfolded Node2Vec
190,0.618,Unfolded Node2Vec
192,0.624,Unfolded Node2Vec
194,0.324,Unfolded Node2Vec
196,0.40900000000000003,Unfolded Node2Vec
198,0.8250000000000001,Unfolded Node2Vec
200,0.586,Unfolded Node2Vec
202,0.905,Unfolded Node2Vec
204,0.874,Unfolded Node2Vec
206,0.003,Unfolded Node2Vec
208,0.503,Unfolded Node2Vec
210,0.634,Unfolded Node2Vec
212,0.418,Unfolded Node2Vec
214,0.777,Unfolded Node2Vec
216,0.608,Unfolded Node2Vec
218,0.134,Unfolded Node2Vec
220,0.5630000000000001,Unfolded Node2Vec
222,0.47500000000000003,Unfolded Node2Vec
224,0.836,Unfolded Node2Vec
226,0.686,Unfolded Node2Vec
228,0.716,Unfolded Node2Vec
230,0.148,Unfolded Node2Vec
232,0.011,Unfolded Node2Vec
234,0.245,Unfolded Node2Vec
236,0.065,Unfolded Node2Vec
238,0.994,Unfolded Node2Vec
240,0.758,Unfolded Node2Vec
242,0.327,Unfolded Node2Vec
244,0.374,Unfolded Node2Vec
246,0.083,Unfolded Node2Vec
248,0.805,Unfolded Node2Vec
250,0.302,Unfolded Node2Vec
252,0.639,Unfolded Node2Vec
254,0.708,Unfolded Node2Vec
256,0.772,Unfolded Node2Vec
258,0.304,Unfolded Node2Vec
260,0.6900000000000001,Unfolded Node2Vec
262,0.969,Unfolded Node2Vec
264,0.643,Unfolded Node2Vec
266,0.313,Unfolded Node2Vec
268,0.8270000000000001,Unfolded Node2Vec
270,0.6980000000000001,Unfolded Node2Vec
272,0.626,Unfolded Node2Vec
274,0.029,Unfolded Node2Vec
276,0.135,Unfolded Node2Vec
278,0.511,Unfolded Node2Vec
280,0.405,Unfolded Node2Vec
282,0.498,Unfolded Node2Vec
284,0.029,Unfolded Node2Vec
286,0.46,Unfolded Node2Vec
288,0.123,Unfolded Node2Vec
290,0.8300000000000001,Unfolded Node2Vec
292,0.16,Unfolded Node2Vec
294,0.075,Unfolded Node2Vec
296,0.467,Unfolded Node2Vec
298,0.543,Unfolded Node2Vec
300,0.685,Unfolded Node2Vec
302,0.9380000000000001,Unfolded Node2Vec
304,0.489,Unfolded Node2Vec
306,0.008,Unfolded Node2Vec
308,0.099,Unfolded Node2Vec
310,0.385,Unfolded Node2Vec
312,0.222,Unfolded Node2Vec
314,0.052000000000000005,Unfolded Node2Vec
316,0.8240000000000001,Unfolded Node2Vec
318,0.261,Unfolded Node2Vec
320,0.048,Unfolded Node2Vec
322,0.28800000000000003,Unfolded Node2Vec
324,0.259,Unfolded Node2Vec
326,0.636,Unfolded Node2Vec
328,0.377,Unfolded Node2Vec
330,0.47300000000000003,Unfolded Node2Vec
332,0.094,Unfolded Node2Vec
334,0.876,Unfolded Node2Vec
336,0.378,Unfolded Node2Vec
338,0.927,Unfolded Node2Vec
340,0.897,Unfolded Node2Vec
342,0.964,Unfolded Node2Vec
344,0.5700000000000001,Unfolded Node2Vec
346,0.246,Unfolded Node2Vec
348,0.657,Unfolded Node2Vec
350,0.7010000000000001,Unfolded Node2Vec
352,0.007,Unfolded Node2Vec
354,0.601,Unfolded Node2Vec
356,0.771,Unfolded Node2Vec
358,0.23700000000000002,Unfolded Node2Vec
360,0.922,Unfolded Node2Vec
362,0.316,Unfolded Node2Vec
364,0.686,Unfolded Node2Vec
366,0.85,Unfolded Node2Vec
368,0.904,Unfolded Node2Vec
370,0.107,Unfolded Node2Vec
372,0.308,Unfolded Node2Vec
374,0.228,Unfolded Node2Vec
376,0.269,Unfolded Node2Vec
378,0.057,Unfolded Node2Vec
380,0.343,Unfolded Node2Vec
382,0.8260000000000001,Unfolded Node2Vec
384,0.126,Unfolded Node2Vec
386,0.468,Unfolded Node2Vec
388,0.483,Unfolded Node2Vec
390,0.152,Unfolded Node2Vec
392,0.928,Unfolded Node2Vec
394,0.935,Unfolded Node2Vec
396,0.5730000000000001,Unfolded Node2Vec
398,0.031,Unfolded Node2Vec
