,p_hat,method
8,0.125,GloDyNE
17,0.013000000000000001,GloDyNE
26,0.011,GloDyNE
35,0.068,GloDyNE
44,0.112,GloDyNE
53,0.232,GloDyNE
62,0.049,GloDyNE
71,0.02,GloDyNE
80,0.158,GloDyNE
89,0.056,GloDyNE
98,0.14100000000000001,GloDyNE
107,0.387,GloDyNE
116,0.092,GloDyNE
125,0.195,GloDyNE
134,0.269,GloDyNE
143,0.063,GloDyNE
152,0.023,GloDyNE
161,0.081,GloDyNE
170,0.056,GloDyNE
179,0.081,GloDyNE
188,0.181,GloDyNE
197,0.065,GloDyNE
206,0.02,GloDyNE
215,0.099,GloDyNE
224,0.17,GloDyNE
233,0.077,GloDyNE
242,0.12,GloDyNE
251,0.024,GloDyNE
260,0.404,GloDyNE
269,0.059000000000000004,GloDyNE
278,0.04,GloDyNE
287,0.137,GloDyNE
296,0.029,GloDyNE
305,0.054,GloDyNE
314,0.044,GloDyNE
323,0.212,GloDyNE
332,0.06,GloDyNE
341,0.432,GloDyNE
350,0.049,GloDyNE
359,0.167,GloDyNE
368,0.221,GloDyNE
377,0.121,GloDyNE
386,0.228,GloDyNE
395,0.184,GloDyNE
404,0.139,GloDyNE
413,0.224,GloDyNE
422,0.033,GloDyNE
431,0.203,GloDyNE
440,0.106,GloDyNE
449,0.001,GloDyNE
458,0.033,GloDyNE
467,0.159,GloDyNE
476,0.006,GloDyNE
485,0.259,GloDyNE
494,0.039,GloDyNE
503,0.147,GloDyNE
512,0.121,GloDyNE
521,0.248,GloDyNE
530,0.01,GloDyNE
539,0.7000000000000001,GloDyNE
548,0.046,GloDyNE
557,0.08700000000000001,GloDyNE
566,0.051000000000000004,GloDyNE
575,0.06,GloDyNE
584,0.047,GloDyNE
593,0.187,GloDyNE
602,0.093,GloDyNE
611,0.463,GloDyNE
620,0.034,GloDyNE
629,0.043000000000000003,GloDyNE
638,0.255,GloDyNE
647,0.093,GloDyNE
656,0.095,GloDyNE
665,0.11,GloDyNE
674,0.14200000000000002,GloDyNE
683,0.10200000000000001,GloDyNE
692,0.083,GloDyNE
701,0.20700000000000002,GloDyNE
710,0.218,GloDyNE
719,0.107,GloDyNE
728,0.151,GloDyNE
737,0.01,GloDyNE
746,0.11800000000000001,GloDyNE
755,0.492,GloDyNE
764,0.04,GloDyNE
773,0.049,GloDyNE
782,0.091,GloDyNE
791,0.116,GloDyNE
800,0.114,GloDyNE
809,0.461,GloDyNE
818,0.038,GloDyNE
827,0.20500000000000002,GloDyNE
836,0.1,GloDyNE
845,0.151,GloDyNE
854,0.199,GloDyNE
863,0.115,GloDyNE
872,0.074,GloDyNE
881,0.038,GloDyNE
890,0.067,GloDyNE
899,0.256,GloDyNE
908,0.079,GloDyNE
917,0.148,GloDyNE
926,0.03,GloDyNE
935,0.10400000000000001,GloDyNE
944,0.202,GloDyNE
953,0.029,GloDyNE
962,0.064,GloDyNE
971,0.093,GloDyNE
980,0.271,GloDyNE
989,0.074,GloDyNE
998,0.08600000000000001,GloDyNE
1007,0.114,GloDyNE
1016,0.066,GloDyNE
1025,0.063,GloDyNE
1034,0.28500000000000003,GloDyNE
1043,0.042,GloDyNE
1052,0.192,GloDyNE
1061,0.391,GloDyNE
1070,0.095,GloDyNE
1079,0.221,GloDyNE
1088,0.16,GloDyNE
1097,0.371,GloDyNE
1106,0.034,GloDyNE
1115,0.073,GloDyNE
1124,0.061,GloDyNE
1133,0.039,GloDyNE
1142,0.397,GloDyNE
1151,0.209,GloDyNE
1160,0.154,GloDyNE
1169,0.084,GloDyNE
1178,0.032,GloDyNE
1187,0.11900000000000001,GloDyNE
1196,0.212,GloDyNE
1205,0.08,GloDyNE
1214,0.034,GloDyNE
1223,0.34500000000000003,GloDyNE
1232,0.092,GloDyNE
1241,0.022,GloDyNE
1250,0.043000000000000003,GloDyNE
1259,0.012,GloDyNE
1268,0.132,GloDyNE
1277,0.048,GloDyNE
1286,0.196,GloDyNE
1295,0.29,GloDyNE
1304,0.017,GloDyNE
1313,0.134,GloDyNE
1322,0.10300000000000001,GloDyNE
1331,0.228,GloDyNE
1340,0.026000000000000002,GloDyNE
1349,0.10300000000000001,GloDyNE
