,p_hat,method
0,0.296,OMNI
1,0.458,OMNI
2,0.256,OMNI
3,0.785,OMNI
4,0.229,OMNI
5,0.603,OMNI
6,0.439,OMNI
7,0.28800000000000003,OMNI
8,0.9440000000000001,OMNI
9,0.643,OMNI
10,0.627,OMNI
11,0.401,OMNI
12,0.061,OMNI
13,0.8260000000000001,OMNI
14,0.512,OMNI
15,0.045,OMNI
16,0.257,OMNI
17,0.108,OMNI
18,0.272,OMNI
19,0.243,OMNI
20,0.018000000000000002,OMNI
21,0.536,OMNI
22,0.444,OMNI
23,0.454,OMNI
24,0.902,OMNI
25,0.372,OMNI
26,0.031,OMNI
27,0.362,OMNI
28,0.41200000000000003,OMNI
29,0.389,OMNI
30,0.808,OMNI
31,0.619,OMNI
32,0.092,OMNI
33,0.648,OMNI
34,0.379,OMNI
35,0.112,OMNI
36,0.421,OMNI
37,0.005,OMNI
38,0.317,OMNI
39,0.006,OMNI
40,0.138,OMNI
41,0.152,OMNI
42,0.08700000000000001,OMNI
43,0.41100000000000003,OMNI
44,0.112,OMNI
45,0.607,OMNI
46,0.531,OMNI
47,0.457,OMNI
48,0.505,OMNI
49,0.532,OMNI
50,0.551,OMNI
51,0.064,OMNI
52,0.612,OMNI
53,0.10400000000000001,OMNI
54,0.53,OMNI
55,0.514,OMNI
56,0.551,OMNI
57,0.015,OMNI
58,0.244,OMNI
59,0.9430000000000001,OMNI
60,0.048,OMNI
61,0.263,OMNI
62,0.147,OMNI
63,0.07100000000000001,OMNI
64,0.452,OMNI
65,0.34500000000000003,OMNI
66,0.427,OMNI
67,0.245,OMNI
68,0.331,OMNI
69,0.801,OMNI
70,0.6900000000000001,OMNI
71,0.887,OMNI
72,0.333,OMNI
73,0.267,OMNI
74,0.197,OMNI
75,0.064,OMNI
76,0.36,OMNI
77,0.313,OMNI
78,0.485,OMNI
79,0.514,OMNI
80,0.315,OMNI
81,0.34900000000000003,OMNI
82,0.781,OMNI
83,0.743,OMNI
84,0.341,OMNI
85,0.319,OMNI
86,0.722,OMNI
87,0.502,OMNI
88,0.09,OMNI
89,0.024,OMNI
90,0.309,OMNI
91,0.547,OMNI
92,0.041,OMNI
93,0.47300000000000003,OMNI
94,0.064,OMNI
95,0.334,OMNI
96,0.068,OMNI
97,0.541,OMNI
98,0.439,OMNI
99,0.595,OMNI
100,0.658,OMNI
101,0.096,OMNI
102,0.9580000000000001,OMNI
103,0.403,OMNI
104,0.091,OMNI
105,0.125,OMNI
106,0.322,OMNI
107,0.124,OMNI
108,0.113,OMNI
109,0.019,OMNI
110,0.342,OMNI
111,0.127,OMNI
112,0.637,OMNI
113,0.171,OMNI
114,0.733,OMNI
115,0.255,OMNI
116,0.19,OMNI
117,0.916,OMNI
118,0.059000000000000004,OMNI
119,0.56,OMNI
120,0.36,OMNI
121,0.513,OMNI
122,0.353,OMNI
123,0.812,OMNI
124,0.166,OMNI
125,0.629,OMNI
126,0.051000000000000004,OMNI
127,0.388,OMNI
128,0.199,OMNI
129,0.199,OMNI
130,0.964,OMNI
131,0.017,OMNI
132,0.586,OMNI
133,0.253,OMNI
134,0.40900000000000003,OMNI
135,0.58,OMNI
136,0.05,OMNI
137,0.357,OMNI
138,0.12,OMNI
139,0.5630000000000001,OMNI
140,0.14100000000000001,OMNI
141,0.373,OMNI
142,0.28300000000000003,OMNI
143,0.099,OMNI
144,0.438,OMNI
145,0.216,OMNI
146,0.15,OMNI
147,0.878,OMNI
148,0.909,OMNI
149,0.297,OMNI
150,0.8180000000000001,OMNI
151,0.771,OMNI
152,0.125,OMNI
153,0.841,OMNI
154,0.729,OMNI
155,0.008,OMNI
156,0.713,OMNI
157,0.32,OMNI
158,0.38,OMNI
159,0.008,OMNI
160,0.453,OMNI
161,0.194,OMNI
162,0.9580000000000001,OMNI
163,0.836,OMNI
164,0.384,OMNI
165,0.339,OMNI
166,0.967,OMNI
167,0.223,OMNI
168,0.6940000000000001,OMNI
169,0.02,OMNI
170,0.749,OMNI
171,0.366,OMNI
172,0.715,OMNI
173,0.935,OMNI
174,0.677,OMNI
175,0.28200000000000003,OMNI
176,0.421,OMNI
177,0.099,OMNI
178,0.32,OMNI
179,0.054,OMNI
180,0.464,OMNI
181,0.147,OMNI
182,0.28200000000000003,OMNI
183,0.07,OMNI
184,0.074,OMNI
185,0.214,OMNI
186,0.488,OMNI
187,0.706,OMNI
188,0.039,OMNI
189,0.966,OMNI
190,0.179,OMNI
191,0.467,OMNI
192,0.17,OMNI
193,0.618,OMNI
194,0.025,OMNI
195,0.793,OMNI
196,0.445,OMNI
197,0.855,OMNI
198,0.619,OMNI
199,0.868,OMNI
