,p_hat,method
1,0.233,SSE Procrustes
10,0.0,SSE Procrustes
19,0.34600000000000003,SSE Procrustes
28,0.024,SSE Procrustes
37,0.009000000000000001,SSE Procrustes
46,0.154,SSE Procrustes
55,0.61,SSE Procrustes
64,0.0,SSE Procrustes
73,0.6920000000000001,SSE Procrustes
82,0.137,SSE Procrustes
91,0.32,SSE Procrustes
100,0.017,SSE Procrustes
109,0.995,SSE Procrustes
118,0.987,SSE Procrustes
127,0.018000000000000002,SSE Procrustes
136,0.025,SSE Procrustes
145,0.005,SSE Procrustes
154,0.9580000000000001,SSE Procrustes
163,0.094,SSE Procrustes
172,0.89,SSE Procrustes
181,0.0,SSE Procrustes
190,0.433,SSE Procrustes
199,0.355,SSE Procrustes
208,0.729,SSE Procrustes
217,0.223,SSE Procrustes
226,0.233,SSE Procrustes
235,0.583,SSE Procrustes
244,0.0,SSE Procrustes
253,0.244,SSE Procrustes
262,0.934,SSE Procrustes
271,0.28,SSE Procrustes
280,0.0,SSE Procrustes
289,0.28,SSE Procrustes
298,0.159,SSE Procrustes
307,0.0,SSE Procrustes
316,0.257,SSE Procrustes
325,0.419,SSE Procrustes
334,0.504,SSE Procrustes
343,0.0,SSE Procrustes
352,0.067,SSE Procrustes
361,0.009000000000000001,SSE Procrustes
370,0.308,SSE Procrustes
379,0.23500000000000001,SSE Procrustes
388,0.0,SSE Procrustes
397,0.002,SSE Procrustes
406,0.8300000000000001,SSE Procrustes
415,0.067,SSE Procrustes
424,0.226,SSE Procrustes
433,0.0,SSE Procrustes
442,0.225,SSE Procrustes
451,0.001,SSE Procrustes
460,0.318,SSE Procrustes
469,0.343,SSE Procrustes
478,0.11900000000000001,SSE Procrustes
487,0.927,SSE Procrustes
496,0.873,SSE Procrustes
505,0.077,SSE Procrustes
514,0.41600000000000004,SSE Procrustes
523,0.0,SSE Procrustes
532,0.552,SSE Procrustes
541,0.8150000000000001,SSE Procrustes
550,0.167,SSE Procrustes
559,0.006,SSE Procrustes
568,0.0,SSE Procrustes
577,0.054,SSE Procrustes
586,0.795,SSE Procrustes
595,0.0,SSE Procrustes
604,0.195,SSE Procrustes
613,0.352,SSE Procrustes
622,0.188,SSE Procrustes
631,0.039,SSE Procrustes
640,0.114,SSE Procrustes
649,0.909,SSE Procrustes
658,0.001,SSE Procrustes
667,0.036000000000000004,SSE Procrustes
676,0.81,SSE Procrustes
685,0.291,SSE Procrustes
694,0.094,SSE Procrustes
703,0.003,SSE Procrustes
712,0.491,SSE Procrustes
721,0.809,SSE Procrustes
730,0.278,SSE Procrustes
739,0.0,SSE Procrustes
748,0.335,SSE Procrustes
757,0.006,SSE Procrustes
766,0.009000000000000001,SSE Procrustes
775,0.06,SSE Procrustes
784,0.005,SSE Procrustes
793,0.059000000000000004,SSE Procrustes
802,0.213,SSE Procrustes
811,0.272,SSE Procrustes
820,0.241,SSE Procrustes
829,0.0,SSE Procrustes
838,0.08,SSE Procrustes
847,0.133,SSE Procrustes
856,0.068,SSE Procrustes
865,0.001,SSE Procrustes
874,0.128,SSE Procrustes
883,0.022,SSE Procrustes
892,0.201,SSE Procrustes
901,0.002,SSE Procrustes
910,0.251,SSE Procrustes
919,0.98,SSE Procrustes
928,0.224,SSE Procrustes
937,0.128,SSE Procrustes
946,0.032,SSE Procrustes
955,0.8250000000000001,SSE Procrustes
964,0.003,SSE Procrustes
973,0.044,SSE Procrustes
982,0.595,SSE Procrustes
991,0.906,SSE Procrustes
1000,0.683,SSE Procrustes
1009,0.9490000000000001,SSE Procrustes
1018,0.47900000000000004,SSE Procrustes
1027,0.888,SSE Procrustes
1036,0.131,SSE Procrustes
1045,0.263,SSE Procrustes
1054,0.0,SSE Procrustes
