,p_hat,method
0,0.774,SSE
9,0.638,SSE
18,0.513,SSE
27,0.329,SSE
36,0.327,SSE
45,0.661,SSE
54,0.673,SSE
63,0.0,SSE
72,0.8,SSE
81,0.921,SSE
90,0.04,SSE
99,0.134,SSE
108,0.985,SSE
117,0.532,SSE
126,0.933,SSE
135,0.045,SSE
144,0.09,SSE
153,0.522,SSE
162,0.98,SSE
171,0.34900000000000003,SSE
180,0.589,SSE
189,0.855,SSE
198,0.875,SSE
207,0.9590000000000001,SSE
216,0.188,SSE
225,0.54,SSE
234,0.184,SSE
243,0.17400000000000002,SSE
252,0.305,SSE
261,0.418,SSE
270,0.723,SSE
279,0.015,SSE
288,0.983,SSE
297,0.391,SSE
306,0.123,SSE
315,0.225,SSE
324,0.834,SSE
333,0.865,SSE
342,0.138,SSE
351,0.501,SSE
360,0.543,SSE
369,0.19,SSE
378,0.098,SSE
387,0.314,SSE
396,0.005,SSE
405,0.978,SSE
414,0.862,SSE
423,0.613,SSE
432,0.5,SSE
441,0.013000000000000001,SSE
450,0.783,SSE
459,0.8190000000000001,SSE
468,0.028,SSE
477,0.656,SSE
486,0.656,SSE
495,0.233,SSE
504,0.646,SSE
513,0.616,SSE
522,0.9480000000000001,SSE
531,0.366,SSE
540,0.465,SSE
549,0.624,SSE
558,0.0,SSE
567,0.5750000000000001,SSE
576,0.879,SSE
585,0.994,SSE
594,0.8310000000000001,SSE
603,0.503,SSE
612,0.902,SSE
621,0.343,SSE
630,0.176,SSE
639,0.66,SSE
648,0.033,SSE
657,0.709,SSE
666,0.606,SSE
675,0.896,SSE
684,0.0,SSE
693,0.324,SSE
702,0.883,SSE
711,0.462,SSE
720,0.8310000000000001,SSE
729,0.99,SSE
738,0.097,SSE
747,0.529,SSE
756,0.003,SSE
765,0.211,SSE
774,0.902,SSE
783,0.53,SSE
792,0.42,SSE
801,0.193,SSE
810,0.17200000000000001,SSE
819,0.988,SSE
828,0.635,SSE
837,0.013000000000000001,SSE
846,0.007,SSE
855,0.524,SSE
864,0.559,SSE
873,0.722,SSE
882,0.41300000000000003,SSE
891,0.68,SSE
900,0.523,SSE
909,0.8150000000000001,SSE
918,0.889,SSE
927,0.6890000000000001,SSE
936,0.8300000000000001,SSE
945,0.374,SSE
954,0.331,SSE
963,0.012,SSE
972,0.08600000000000001,SSE
981,0.99,SSE
990,0.46900000000000003,SSE
999,0.508,SSE
1008,0.768,SSE
1017,0.96,SSE
1026,0.9380000000000001,SSE
1035,0.508,SSE
1044,0.20500000000000002,SSE
1053,0.304,SSE
1062,0.011,SSE
1071,0.007,SSE
1080,0.589,SSE
1089,0.644,SSE
1098,0.298,SSE
1107,0.001,SSE
1116,0.527,SSE
1125,0.0,SSE
1134,0.444,SSE
1143,0.382,SSE
1152,0.406,SSE
1161,0.9380000000000001,SSE
1170,0.23500000000000001,SSE
1179,0.656,SSE
1188,0.9380000000000001,SSE
1197,0.974,SSE
1206,0.793,SSE
1215,0.124,SSE
1224,0.723,SSE
1233,0.6880000000000001,SSE
1242,0.04,SSE
1251,0.527,SSE
1260,0.026000000000000002,SSE
1269,0.306,SSE
1278,0.20700000000000002,SSE
1287,0.318,SSE
1296,0.169,SSE
1305,0.281,SSE
1314,0.558,SSE
1323,0.002,SSE
1332,0.079,SSE
1341,0.45,SSE
1350,0.786,SSE
1359,0.528,SSE
1368,0.999,SSE
1377,0.0,SSE
1386,0.644,SSE
1395,0.04,SSE
1404,0.644,SSE
1413,0.719,SSE
1422,0.008,SSE
1431,0.969,SSE
1440,0.848,SSE
1449,0.21,SSE
1458,0.9560000000000001,SSE
1467,0.20500000000000002,SSE
1476,0.129,SSE
1485,0.3,SSE
1494,0.133,SSE
1503,0.802,SSE
1512,0.889,SSE
1521,0.10200000000000001,SSE
1530,0.03,SSE
1539,0.847,SSE
1548,0.014,SSE
1557,0.614,SSE
1566,0.9590000000000001,SSE
1575,0.368,SSE
1584,0.853,SSE
1593,0.624,SSE
1602,0.744,SSE
1611,0.012,SSE
1620,0.332,SSE
1629,0.368,SSE
1638,0.547,SSE
1647,0.615,SSE
1656,0.002,SSE
1665,0.75,SSE
1674,0.586,SSE
1683,0.926,SSE
1692,0.0,SSE
1701,0.059000000000000004,SSE
1710,0.261,SSE
1719,0.252,SSE
1728,0.749,SSE
1737,0.743,SSE
1746,0.014,SSE
1755,0.902,SSE
1764,0.052000000000000005,SSE
1773,0.41000000000000003,SSE
1782,0.502,SSE
1791,0.9510000000000001,SSE
