,p_hat,method
3,0.309,UASE
12,0.368,UASE
21,0.363,UASE
30,0.063,UASE
39,0.5690000000000001,UASE
48,0.9440000000000001,UASE
57,0.62,UASE
66,0.735,UASE
75,0.378,UASE
84,0.358,UASE
93,0.01,UASE
102,0.903,UASE
111,0.498,UASE
120,0.398,UASE
129,0.146,UASE
138,0.528,UASE
147,0.47200000000000003,UASE
156,0.56,UASE
165,0.31,UASE
174,0.79,UASE
183,0.587,UASE
192,0.39,UASE
201,0.715,UASE
210,0.588,UASE
219,0.301,UASE
228,0.365,UASE
237,0.259,UASE
246,0.07100000000000001,UASE
255,0.23700000000000002,UASE
264,0.709,UASE
273,0.664,UASE
282,0.051000000000000004,UASE
291,0.804,UASE
300,0.886,UASE
309,0.937,UASE
318,0.863,UASE
327,0.115,UASE
336,0.47200000000000003,UASE
345,0.671,UASE
354,0.255,UASE
363,0.189,UASE
372,0.203,UASE
381,0.021,UASE
390,0.454,UASE
399,0.14400000000000002,UASE
408,0.46,UASE
417,0.834,UASE
426,0.985,UASE
435,0.37,UASE
444,0.329,UASE
453,0.393,UASE
462,0.148,UASE
471,0.001,UASE
480,0.233,UASE
489,0.779,UASE
498,0.893,UASE
507,0.115,UASE
516,0.305,UASE
525,0.275,UASE
534,0.651,UASE
543,0.169,UASE
552,0.8290000000000001,UASE
561,0.089,UASE
570,0.5650000000000001,UASE
579,0.801,UASE
588,0.978,UASE
597,0.854,UASE
606,0.129,UASE
615,0.197,UASE
624,0.07,UASE
633,0.5750000000000001,UASE
642,0.40900000000000003,UASE
651,0.148,UASE
660,0.196,UASE
669,0.911,UASE
678,0.865,UASE
687,0.20600000000000002,UASE
696,0.068,UASE
705,0.62,UASE
714,0.461,UASE
723,0.636,UASE
732,0.593,UASE
741,0.465,UASE
750,0.5730000000000001,UASE
759,0.004,UASE
768,0.535,UASE
777,0.09,UASE
786,0.20800000000000002,UASE
795,0.135,UASE
804,0.062,UASE
813,0.525,UASE
822,0.495,UASE
831,0.937,UASE
840,0.5750000000000001,UASE
849,0.544,UASE
858,0.989,UASE
867,0.311,UASE
876,0.28700000000000003,UASE
885,0.504,UASE
894,0.6,UASE
903,0.539,UASE
912,0.28600000000000003,UASE
921,0.6950000000000001,UASE
930,0.447,UASE
939,0.898,UASE
948,0.769,UASE
957,0.24,UASE
966,0.882,UASE
975,0.17300000000000001,UASE
984,0.993,UASE
993,0.125,UASE
1002,0.354,UASE
1011,0.656,UASE
1020,0.334,UASE
1029,0.752,UASE
1038,0.991,UASE
1047,0.888,UASE
1056,0.21,UASE
1065,0.27,UASE
1074,0.662,UASE
1083,0.338,UASE
1092,0.848,UASE
1101,0.454,UASE
1110,0.258,UASE
1119,0.262,UASE
1128,0.109,UASE
1137,0.771,UASE
1146,0.048,UASE
1155,0.363,UASE
1164,0.20700000000000002,UASE
1173,0.249,UASE
1182,0.6880000000000001,UASE
1191,0.148,UASE
1200,0.873,UASE
1209,0.799,UASE
1218,0.854,UASE
1227,0.193,UASE
1236,0.448,UASE
1245,0.2,UASE
1254,0.534,UASE
1263,0.8200000000000001,UASE
1272,0.026000000000000002,UASE
1281,0.038,UASE
1290,0.596,UASE
1299,0.09,UASE
1308,0.852,UASE
1317,0.10200000000000001,UASE
1326,0.176,UASE
1335,0.312,UASE
1344,0.913,UASE
1353,0.675,UASE
1362,0.911,UASE
1371,0.41000000000000003,UASE
1380,0.35100000000000003,UASE
1389,0.28800000000000003,UASE
1398,0.16,UASE
1407,0.374,UASE
1416,0.17,UASE
1425,0.011,UASE
1434,0.158,UASE
1443,0.7020000000000001,UASE
1452,0.48,UASE
1461,0.553,UASE
1470,0.903,UASE
1479,0.403,UASE
1488,0.113,UASE
1497,0.153,UASE
1506,0.5670000000000001,UASE
1515,0.597,UASE
1524,0.313,UASE
1533,0.769,UASE
1542,0.398,UASE
1551,0.386,UASE
1560,0.922,UASE
1569,0.227,UASE
1578,0.8260000000000001,UASE
1587,0.024,UASE
1596,0.17500000000000002,UASE
1605,0.519,UASE
1614,0.20800000000000002,UASE
1623,0.134,UASE
1632,0.233,UASE
1641,0.522,UASE
1650,0.65,UASE
1659,0.1,UASE
1668,0.326,UASE
1677,0.538,UASE
1686,0.247,UASE
1695,0.257,UASE
1704,0.377,UASE
1713,0.036000000000000004,UASE
1722,0.68,UASE
1731,0.211,UASE
1740,0.537,UASE
1749,0.089,UASE
1758,0.188,UASE
1767,0.788,UASE
1776,0.248,UASE
1785,0.884,UASE
1794,0.334,UASE
