,p_hat,method
4,0.758,ULSE
13,0.109,ULSE
22,0.909,ULSE
31,0.218,ULSE
40,0.671,ULSE
49,0.167,ULSE
58,0.811,ULSE
67,0.841,ULSE
76,0.095,ULSE
85,0.113,ULSE
94,0.038,ULSE
103,0.135,ULSE
112,0.335,ULSE
121,0.0,ULSE
130,0.039,ULSE
139,0.459,ULSE
148,0.509,ULSE
157,0.019,ULSE
166,0.52,ULSE
175,0.41300000000000003,ULSE
184,0.546,ULSE
193,0.224,ULSE
202,0.872,ULSE
211,0.871,ULSE
220,0.08,ULSE
229,0.403,ULSE
238,0.355,ULSE
247,0.971,ULSE
256,0.0,ULSE
265,0.589,ULSE
274,0.9510000000000001,ULSE
283,0.032,ULSE
292,0.658,ULSE
301,0.338,ULSE
310,0.077,ULSE
319,0.064,ULSE
328,0.024,ULSE
337,0.294,ULSE
346,0.763,ULSE
355,0.435,ULSE
364,0.258,ULSE
373,0.223,ULSE
382,0.001,ULSE
391,0.538,ULSE
400,0.363,ULSE
409,0.009000000000000001,ULSE
418,0.627,ULSE
427,0.308,ULSE
436,0.601,ULSE
445,0.778,ULSE
454,0.5680000000000001,ULSE
463,0.008,ULSE
472,0.432,ULSE
481,0.511,ULSE
490,0.845,ULSE
499,0.871,ULSE
508,0.937,ULSE
517,0.76,ULSE
526,0.804,ULSE
535,0.519,ULSE
544,0.458,ULSE
553,0.6940000000000001,ULSE
562,0.975,ULSE
571,0.431,ULSE
580,0.219,ULSE
589,0.648,ULSE
598,0.548,ULSE
607,0.47600000000000003,ULSE
616,0.438,ULSE
625,0.806,ULSE
634,0.51,ULSE
643,0.9530000000000001,ULSE
652,0.434,ULSE
661,0.012,ULSE
670,0.5670000000000001,ULSE
679,0.183,ULSE
688,0.306,ULSE
697,0.03,ULSE
706,0.20500000000000002,ULSE
715,0.98,ULSE
724,0.281,ULSE
733,0.652,ULSE
742,0.51,ULSE
751,0.377,ULSE
760,0.40700000000000003,ULSE
769,0.969,ULSE
778,0.659,ULSE
787,0.598,ULSE
796,0.012,ULSE
805,0.02,ULSE
814,0.463,ULSE
823,0.745,ULSE
832,0.789,ULSE
841,0.437,ULSE
850,0.083,ULSE
859,0.028,ULSE
868,0.352,ULSE
877,0.02,ULSE
886,0.275,ULSE
895,0.522,ULSE
904,0.035,ULSE
913,0.466,ULSE
922,0.516,ULSE
931,0.452,ULSE
940,0.577,ULSE
949,0.981,ULSE
958,0.23,ULSE
967,0.272,ULSE
976,0.332,ULSE
985,0.769,ULSE
994,0.8210000000000001,ULSE
1003,0.28500000000000003,ULSE
1012,0.091,ULSE
1021,0.185,ULSE
1030,0.115,ULSE
1039,0.199,ULSE
1048,0.585,ULSE
1057,0.123,ULSE
1066,0.022,ULSE
1075,0.73,ULSE
1084,0.057,ULSE
1093,0.671,ULSE
1102,0.522,ULSE
1111,0.027,ULSE
1120,0.324,ULSE
1129,0.615,ULSE
1138,0.053,ULSE
1147,0.036000000000000004,ULSE
1156,0.34400000000000003,ULSE
1165,0.367,ULSE
1174,0.106,ULSE
1183,0.031,ULSE
1192,0.066,ULSE
1201,0.964,ULSE
1210,0.28500000000000003,ULSE
1219,0.866,ULSE
1228,0.539,ULSE
1237,0.40800000000000003,ULSE
1246,0.38,ULSE
1255,0.522,ULSE
1264,0.782,ULSE
1273,0.107,ULSE
1282,0.12,ULSE
1291,0.406,ULSE
1300,0.783,ULSE
1309,0.5730000000000001,ULSE
1318,0.886,ULSE
1327,0.38,ULSE
1336,0.406,ULSE
1345,0.9,ULSE
1354,0.56,ULSE
1363,0.602,ULSE
1372,0.875,ULSE
1381,0.295,ULSE
1390,0.998,ULSE
1399,0.597,ULSE
1408,0.749,ULSE
1417,0.506,ULSE
1426,0.554,ULSE
1435,0.931,ULSE
1444,0.404,ULSE
1453,0.146,ULSE
1462,0.164,ULSE
1471,0.373,ULSE
1480,0.9480000000000001,ULSE
1489,0.535,ULSE
1498,0.514,ULSE
1507,0.996,ULSE
1516,0.986,ULSE
1525,0.742,ULSE
1534,0.974,ULSE
1543,0.017,ULSE
1552,0.171,ULSE
1561,0.038,ULSE
1570,0.257,ULSE
1579,0.509,ULSE
1588,0.599,ULSE
1597,0.599,ULSE
1606,0.548,ULSE
1615,0.52,ULSE
1624,0.23700000000000002,ULSE
1633,0.8320000000000001,ULSE
1642,0.152,ULSE
1651,0.424,ULSE
1660,0.989,ULSE
1669,0.006,ULSE
1678,0.335,ULSE
1687,0.021,ULSE
1696,0.009000000000000001,ULSE
1705,0.40800000000000003,ULSE
1714,0.6920000000000001,ULSE
1723,0.004,ULSE
1732,0.033,ULSE
1741,0.376,ULSE
1750,0.22,ULSE
1759,0.27,ULSE
1768,0.788,ULSE
1777,0.9500000000000001,ULSE
1786,0.791,ULSE
1795,0.036000000000000004,ULSE
