,p_hat,method
5,0.751,URLSE
14,0.09,URLSE
23,0.9410000000000001,URLSE
32,0.167,URLSE
41,0.723,URLSE
50,0.147,URLSE
59,0.8220000000000001,URLSE
68,0.838,URLSE
77,0.331,URLSE
86,0.10300000000000001,URLSE
95,0.031,URLSE
104,0.132,URLSE
113,0.397,URLSE
122,0.0,URLSE
131,0.034,URLSE
140,0.499,URLSE
149,0.512,URLSE
158,0.023,URLSE
167,0.5680000000000001,URLSE
176,0.375,URLSE
185,0.163,URLSE
194,0.22,URLSE
203,0.448,URLSE
212,0.498,URLSE
221,0.08600000000000001,URLSE
230,0.41400000000000003,URLSE
239,0.013000000000000001,URLSE
248,0.04,URLSE
257,0.0,URLSE
266,0.5630000000000001,URLSE
275,0.9450000000000001,URLSE
284,0.022,URLSE
293,0.638,URLSE
302,0.32,URLSE
311,0.062,URLSE
320,0.035,URLSE
329,0.025,URLSE
338,0.303,URLSE
347,0.764,URLSE
356,0.446,URLSE
365,0.004,URLSE
374,0.216,URLSE
383,0.279,URLSE
392,0.506,URLSE
401,0.503,URLSE
410,0.003,URLSE
419,0.617,URLSE
428,0.325,URLSE
437,0.786,URLSE
446,0.78,URLSE
455,0.585,URLSE
464,0.004,URLSE
473,0.483,URLSE
482,0.537,URLSE
491,0.845,URLSE
500,0.884,URLSE
509,0.621,URLSE
518,0.797,URLSE
527,0.8180000000000001,URLSE
536,0.508,URLSE
545,0.509,URLSE
554,0.662,URLSE
563,0.979,URLSE
572,0.47400000000000003,URLSE
581,0.20700000000000002,URLSE
590,0.634,URLSE
599,0.555,URLSE
608,0.496,URLSE
617,0.38,URLSE
626,0.812,URLSE
635,0.503,URLSE
644,0.811,URLSE
653,0.594,URLSE
662,0.514,URLSE
671,0.557,URLSE
680,0.186,URLSE
689,0.314,URLSE
698,0.034,URLSE
707,0.214,URLSE
716,0.971,URLSE
725,0.266,URLSE
734,0.663,URLSE
743,0.306,URLSE
752,0.356,URLSE
761,0.41600000000000004,URLSE
770,0.085,URLSE
779,0.729,URLSE
788,0.599,URLSE
797,0.016,URLSE
806,0.79,URLSE
815,0.162,URLSE
824,0.509,URLSE
833,0.47500000000000003,URLSE
842,0.451,URLSE
851,0.073,URLSE
860,0.028,URLSE
869,0.318,URLSE
878,0.013000000000000001,URLSE
887,0.259,URLSE
896,0.504,URLSE
905,0.03,URLSE
914,0.484,URLSE
923,0.47200000000000003,URLSE
932,0.466,URLSE
941,0.5720000000000001,URLSE
950,0.983,URLSE
959,0.753,URLSE
968,0.254,URLSE
977,0.359,URLSE
986,0.783,URLSE
995,0.729,URLSE
1004,0.322,URLSE
1013,0.106,URLSE
1022,0.17300000000000001,URLSE
1031,0.113,URLSE
1040,0.369,URLSE
1049,0.754,URLSE
1058,0.137,URLSE
1067,0.015,URLSE
1076,0.064,URLSE
1085,0.058,URLSE
1094,0.66,URLSE
1103,0.5670000000000001,URLSE
1112,0.028,URLSE
1121,0.888,URLSE
1130,0.624,URLSE
1139,0.07200000000000001,URLSE
1148,0.654,URLSE
1157,0.321,URLSE
1166,0.899,URLSE
1175,0.109,URLSE
1184,0.026000000000000002,URLSE
1193,0.078,URLSE
1202,0.761,URLSE
1211,0.269,URLSE
1220,0.888,URLSE
1229,0.535,URLSE
1238,0.396,URLSE
1247,0.359,URLSE
1256,0.509,URLSE
1265,0.761,URLSE
1274,0.108,URLSE
1283,0.113,URLSE
1292,0.548,URLSE
1301,0.787,URLSE
1310,0.578,URLSE
1319,0.683,URLSE
1328,0.358,URLSE
1337,0.392,URLSE
1346,0.903,URLSE
1355,0.5710000000000001,URLSE
1364,0.704,URLSE
1373,0.041,URLSE
1382,0.109,URLSE
1391,0.999,URLSE
1400,0.182,URLSE
1409,0.248,URLSE
1418,0.515,URLSE
1427,0.436,URLSE
1436,0.928,URLSE
1445,0.398,URLSE
1454,0.149,URLSE
1463,0.162,URLSE
1472,0.5740000000000001,URLSE
1481,0.073,URLSE
1490,0.503,URLSE
1499,0.12,URLSE
1508,0.013000000000000001,URLSE
1517,0.046,URLSE
1526,0.7030000000000001,URLSE
1535,0.049,URLSE
1544,0.025,URLSE
1553,0.11,URLSE
1562,0.022,URLSE
1571,0.558,URLSE
1580,0.5,URLSE
1589,0.10400000000000001,URLSE
1598,0.602,URLSE
1607,0.543,URLSE
1616,0.534,URLSE
1625,0.361,URLSE
1634,0.838,URLSE
1643,0.116,URLSE
1652,0.182,URLSE
1661,0.539,URLSE
1670,0.006,URLSE
1679,0.34500000000000003,URLSE
1688,0.017,URLSE
1697,0.01,URLSE
1706,0.34700000000000003,URLSE
1715,0.6930000000000001,URLSE
1724,0.007,URLSE
1733,0.045,URLSE
1742,0.384,URLSE
1751,0.23700000000000002,URLSE
1760,0.244,URLSE
1769,0.765,URLSE
1778,0.5740000000000001,URLSE
1787,0.857,URLSE
1796,0.035,URLSE
