,p_hat,method
1,0.669,Unfolded Node2Vec
3,0.382,Unfolded Node2Vec
5,0.10300000000000001,Unfolded Node2Vec
7,0.5630000000000001,Unfolded Node2Vec
9,0.029,Unfolded Node2Vec
11,0.199,Unfolded Node2Vec
13,0.47200000000000003,Unfolded Node2Vec
15,0.7030000000000001,Unfolded Node2Vec
17,0.705,Unfolded Node2Vec
19,0.332,Unfolded Node2Vec
21,0.8320000000000001,Unfolded Node2Vec
23,0.992,Unfolded Node2Vec
25,0.621,Unfolded Node2Vec
27,0.872,Unfolded Node2Vec
29,0.041,Unfolded Node2Vec
31,0.367,Unfolded Node2Vec
33,0.533,Unfolded Node2Vec
35,0.272,Unfolded Node2Vec
37,0.163,Unfolded Node2Vec
39,0.034,Unfolded Node2Vec
41,0.327,Unfolded Node2Vec
43,0.537,Unfolded Node2Vec
45,0.358,Unfolded Node2Vec
47,0.082,Unfolded Node2Vec
49,0.47700000000000004,Unfolded Node2Vec
51,0.184,Unfolded Node2Vec
53,0.982,Unfolded Node2Vec
55,0.891,Unfolded Node2Vec
57,0.5700000000000001,Unfolded Node2Vec
59,0.838,Unfolded Node2Vec
61,0.484,Unfolded Node2Vec
63,0.9470000000000001,Unfolded Node2Vec
65,0.059000000000000004,Unfolded Node2Vec
67,0.326,Unfolded Node2Vec
69,0.977,Unfolded Node2Vec
71,0.511,Unfolded Node2Vec
73,0.847,Unfolded Node2Vec
75,0.193,Unfolded Node2Vec
77,0.322,Unfolded Node2Vec
79,0.169,Unfolded Node2Vec
81,0.914,Unfolded Node2Vec
83,0.559,Unfolded Node2Vec
85,0.936,Unfolded Node2Vec
87,0.033,Unfolded Node2Vec
89,0.9570000000000001,Unfolded Node2Vec
91,0.725,Unfolded Node2Vec
93,0.025,Unfolded Node2Vec
95,0.165,Unfolded Node2Vec
97,0.802,Unfolded Node2Vec
99,0.67,Unfolded Node2Vec
101,0.655,Unfolded Node2Vec
103,0.855,Unfolded Node2Vec
105,0.195,Unfolded Node2Vec
107,0.6890000000000001,Unfolded Node2Vec
109,0.342,Unfolded Node2Vec
111,0.718,Unfolded Node2Vec
113,0.6,Unfolded Node2Vec
115,0.34500000000000003,Unfolded Node2Vec
117,0.722,Unfolded Node2Vec
119,0.343,Unfolded Node2Vec
121,0.85,Unfolded Node2Vec
123,0.8250000000000001,Unfolded Node2Vec
125,0.646,Unfolded Node2Vec
127,0.519,Unfolded Node2Vec
129,0.319,Unfolded Node2Vec
131,0.488,Unfolded Node2Vec
133,0.069,Unfolded Node2Vec
135,0.502,Unfolded Node2Vec
137,0.135,Unfolded Node2Vec
139,0.809,Unfolded Node2Vec
141,0.683,Unfolded Node2Vec
143,0.14,Unfolded Node2Vec
145,0.8240000000000001,Unfolded Node2Vec
147,0.028,Unfolded Node2Vec
