,p_hat,method
0,0.018000000000000002,URLSE
1,0.012,URLSE
2,0.0,URLSE
3,0.0,URLSE
4,0.024,URLSE
5,0.003,URLSE
6,0.058,URLSE
7,0.0,URLSE
8,0.003,URLSE
9,0.006,URLSE
10,0.026000000000000002,URLSE
11,0.028,URLSE
12,0.526,URLSE
13,0.002,URLSE
14,0.0,URLSE
15,0.0,URLSE
16,0.02,URLSE
17,0.0,URLSE
18,0.0,URLSE
19,0.005,URLSE
20,0.068,URLSE
21,0.133,URLSE
22,0.048,URLSE
23,0.029,URLSE
24,0.001,URLSE
25,0.024,URLSE
26,0.003,URLSE
27,0.058,URLSE
28,0.0,URLSE
29,0.0,URLSE
30,0.001,URLSE
31,0.001,URLSE
32,0.0,URLSE
33,0.0,URLSE
34,0.003,URLSE
35,0.001,URLSE
36,0.001,URLSE
37,0.005,URLSE
38,0.004,URLSE
39,0.0,URLSE
40,0.005,URLSE
41,0.003,URLSE
42,0.003,URLSE
43,0.001,URLSE
44,0.0,URLSE
45,0.0,URLSE
46,0.001,URLSE
47,0.005,URLSE
48,0.0,URLSE
49,0.061,URLSE
50,0.051000000000000004,URLSE
51,0.018000000000000002,URLSE
52,0.136,URLSE
53,0.013000000000000001,URLSE
54,0.004,URLSE
55,0.229,URLSE
56,0.004,URLSE
57,0.03,URLSE
58,0.13,URLSE
59,0.064,URLSE
60,0.0,URLSE
61,0.02,URLSE
62,0.0,URLSE
63,0.0,URLSE
64,0.149,URLSE
65,0.051000000000000004,URLSE
66,0.0,URLSE
67,0.0,URLSE
68,0.014,URLSE
69,0.002,URLSE
70,0.002,URLSE
71,0.001,URLSE
72,0.001,URLSE
73,0.224,URLSE
74,0.007,URLSE
75,0.327,URLSE
76,0.003,URLSE
77,0.184,URLSE
78,0.003,URLSE
79,0.005,URLSE
80,0.002,URLSE
81,0.001,URLSE
82,0.026000000000000002,URLSE
83,0.003,URLSE
84,0.0,URLSE
85,0.0,URLSE
86,0.0,URLSE
87,0.17400000000000002,URLSE
88,0.008,URLSE
89,0.0,URLSE
90,0.002,URLSE
91,0.0,URLSE
92,0.022,URLSE
93,0.002,URLSE
94,0.075,URLSE
95,0.001,URLSE
96,0.176,URLSE
97,0.0,URLSE
98,0.555,URLSE
99,0.013000000000000001,URLSE
100,0.001,URLSE
101,0.011,URLSE
102,0.009000000000000001,URLSE
103,0.0,URLSE
104,0.0,URLSE
105,0.051000000000000004,URLSE
106,0.033,URLSE
107,0.0,URLSE
108,0.029,URLSE
109,0.005,URLSE
110,0.039,URLSE
111,0.002,URLSE
112,0.032,URLSE
113,0.045,URLSE
114,0.0,URLSE
115,0.0,URLSE
116,0.0,URLSE
117,0.052000000000000005,URLSE
118,0.002,URLSE
119,0.004,URLSE
120,0.0,URLSE
121,0.006,URLSE
122,0.0,URLSE
123,0.001,URLSE
124,0.007,URLSE
125,0.0,URLSE
126,0.125,URLSE
127,0.004,URLSE
128,0.001,URLSE
129,0.036000000000000004,URLSE
130,0.023,URLSE
131,0.002,URLSE
132,0.015,URLSE
133,0.232,URLSE
134,0.015,URLSE
135,0.026000000000000002,URLSE
136,0.0,URLSE
137,0.025,URLSE
138,0.008,URLSE
139,0.001,URLSE
140,0.0,URLSE
141,0.054,URLSE
142,0.151,URLSE
143,0.061,URLSE
144,0.0,URLSE
145,0.003,URLSE
146,0.002,URLSE
147,0.0,URLSE
148,0.0,URLSE
149,0.004,URLSE
150,0.002,URLSE
151,0.0,URLSE
152,0.005,URLSE
153,0.014,URLSE
154,0.0,URLSE
155,0.19,URLSE
156,0.0,URLSE
157,0.0,URLSE
158,0.009000000000000001,URLSE
159,0.0,URLSE
160,0.0,URLSE
161,0.013000000000000001,URLSE
162,0.002,URLSE
163,0.026000000000000002,URLSE
164,0.0,URLSE
165,0.019,URLSE
166,0.0,URLSE
167,0.049,URLSE
168,0.0,URLSE
169,0.029,URLSE
170,0.0,URLSE
171,0.031,URLSE
172,0.003,URLSE
173,0.002,URLSE
174,0.0,URLSE
175,0.0,URLSE
176,0.0,URLSE
177,0.001,URLSE
178,0.0,URLSE
179,0.008,URLSE
180,0.0,URLSE
181,0.0,URLSE
182,0.0,URLSE
183,0.0,URLSE
184,0.001,URLSE
185,0.003,URLSE
186,0.006,URLSE
187,0.002,URLSE
188,0.0,URLSE
189,0.01,URLSE
190,0.0,URLSE
191,0.031,URLSE
192,0.09,URLSE
193,0.005,URLSE
194,0.009000000000000001,URLSE
195,0.008,URLSE
196,0.217,URLSE
197,0.008,URLSE
198,0.002,URLSE
199,0.006,URLSE
