,p_hat,method
0,0.5680000000000001,URLSE
1,0.008,URLSE
2,0.0,URLSE
3,0.01,URLSE
4,0.203,URLSE
5,0.033,URLSE
6,0.089,URLSE
7,0.34700000000000003,URLSE
8,0.393,URLSE
9,0.027,URLSE
10,0.013000000000000001,URLSE
11,0.004,URLSE
12,0.41600000000000004,URLSE
13,0.216,URLSE
14,0.008,URLSE
15,0.043000000000000003,URLSE
16,0.5730000000000001,URLSE
17,0.048,URLSE
18,0.13,URLSE
19,0.003,URLSE
20,0.0,URLSE
21,0.11900000000000001,URLSE
22,0.133,URLSE
23,0.009000000000000001,URLSE
24,0.015,URLSE
25,0.437,URLSE
26,0.003,URLSE
27,0.10200000000000001,URLSE
28,0.007,URLSE
29,0.139,URLSE
30,0.0,URLSE
31,0.494,URLSE
32,0.008,URLSE
33,0.003,URLSE
34,0.003,URLSE
35,0.195,URLSE
36,0.008,URLSE
37,0.083,URLSE
38,0.017,URLSE
39,0.003,URLSE
40,0.042,URLSE
41,0.224,URLSE
42,0.01,URLSE
43,0.029,URLSE
44,0.02,URLSE
45,0.029,URLSE
46,0.014,URLSE
47,0.001,URLSE
48,0.451,URLSE
49,0.05,URLSE
50,0.0,URLSE
51,0.325,URLSE
52,0.5650000000000001,URLSE
53,0.034,URLSE
54,0.0,URLSE
55,0.326,URLSE
56,0.044,URLSE
57,0.28300000000000003,URLSE
58,0.005,URLSE
59,0.055,URLSE
60,0.515,URLSE
61,0.121,URLSE
62,0.0,URLSE
63,0.043000000000000003,URLSE
64,0.022,URLSE
65,0.0,URLSE
66,0.121,URLSE
67,0.276,URLSE
68,0.025,URLSE
69,0.169,URLSE
70,0.053,URLSE
71,0.041,URLSE
72,0.0,URLSE
73,0.014,URLSE
74,0.406,URLSE
75,0.016,URLSE
76,0.105,URLSE
77,0.098,URLSE
78,0.002,URLSE
79,0.338,URLSE
80,0.034,URLSE
81,0.005,URLSE
82,0.032,URLSE
83,0.47200000000000003,URLSE
84,0.431,URLSE
85,0.007,URLSE
86,0.018000000000000002,URLSE
87,0.0,URLSE
88,0.039,URLSE
89,0.051000000000000004,URLSE
90,0.129,URLSE
91,0.0,URLSE
92,0.012,URLSE
93,0.005,URLSE
94,0.023,URLSE
95,0.298,URLSE
96,0.011,URLSE
97,0.025,URLSE
98,0.012,URLSE
99,0.004,URLSE
100,0.113,URLSE
101,0.006,URLSE
102,0.085,URLSE
103,0.014,URLSE
104,0.031,URLSE
105,0.193,URLSE
106,0.097,URLSE
107,0.013000000000000001,URLSE
108,0.12,URLSE
109,0.046,URLSE
110,0.002,URLSE
111,0.14300000000000002,URLSE
112,0.181,URLSE
113,0.006,URLSE
114,0.024,URLSE
115,0.003,URLSE
116,0.116,URLSE
117,0.007,URLSE
118,0.002,URLSE
119,0.663,URLSE
120,0.004,URLSE
121,0.028,URLSE
122,0.003,URLSE
123,0.11900000000000001,URLSE
124,0.043000000000000003,URLSE
125,0.433,URLSE
126,0.002,URLSE
127,0.001,URLSE
128,0.047,URLSE
129,0.324,URLSE
130,0.06,URLSE
131,0.0,URLSE
132,0.214,URLSE
133,0.085,URLSE
134,0.009000000000000001,URLSE
135,0.343,URLSE
136,0.14400000000000002,URLSE
137,0.031,URLSE
138,0.005,URLSE
139,0.11,URLSE
140,0.108,URLSE
141,0.323,URLSE
142,0.035,URLSE
143,0.013000000000000001,URLSE
144,0.09,URLSE
145,0.159,URLSE
146,0.036000000000000004,URLSE
147,0.509,URLSE
148,0.196,URLSE
149,0.008,URLSE
150,0.052000000000000005,URLSE
151,0.011,URLSE
152,0.131,URLSE
153,0.002,URLSE
154,0.147,URLSE
155,0.013000000000000001,URLSE
156,0.062,URLSE
157,0.0,URLSE
158,0.122,URLSE
159,0.005,URLSE
160,0.014,URLSE
161,0.009000000000000001,URLSE
162,0.032,URLSE
163,0.493,URLSE
164,0.138,URLSE
165,0.217,URLSE
166,0.0,URLSE
167,0.0,URLSE
168,0.055,URLSE
169,0.001,URLSE
170,0.011,URLSE
171,0.019,URLSE
172,0.002,URLSE
173,0.078,URLSE
174,0.046,URLSE
175,0.003,URLSE
176,0.053,URLSE
177,0.001,URLSE
178,0.037,URLSE
179,0.007,URLSE
180,0.061,URLSE
181,0.466,URLSE
182,0.066,URLSE
183,0.106,URLSE
184,0.185,URLSE
185,0.041,URLSE
186,0.045,URLSE
187,0.005,URLSE
188,0.018000000000000002,URLSE
189,0.068,URLSE
190,0.10400000000000001,URLSE
191,0.007,URLSE
192,0.032,URLSE
193,0.201,URLSE
194,0.042,URLSE
195,0.0,URLSE
196,0.9510000000000001,URLSE
197,0.587,URLSE
198,0.179,URLSE
199,0.111,URLSE
