,p_hat,method
0,0.244,URLSE
1,0.616,URLSE
2,0.586,URLSE
3,0.9460000000000001,URLSE
4,0.258,URLSE
5,0.281,URLSE
6,0.228,URLSE
7,0.065,URLSE
8,0.42,URLSE
9,0.5680000000000001,URLSE
10,0.5710000000000001,URLSE
11,0.333,URLSE
12,0.025,URLSE
13,0.913,URLSE
14,0.168,URLSE
15,0.038,URLSE
16,0.548,URLSE
17,0.226,URLSE
18,0.117,URLSE
19,0.438,URLSE
20,0.6910000000000001,URLSE
21,0.8300000000000001,URLSE
22,0.528,URLSE
23,0.369,URLSE
24,0.001,URLSE
25,0.933,URLSE
26,0.455,URLSE
27,0.717,URLSE
28,0.561,URLSE
29,0.397,URLSE
30,0.168,URLSE
31,0.767,URLSE
32,0.254,URLSE
33,0.399,URLSE
34,0.253,URLSE
35,0.6900000000000001,URLSE
36,0.662,URLSE
37,0.308,URLSE
38,0.783,URLSE
39,0.639,URLSE
40,0.106,URLSE
41,0.483,URLSE
42,0.309,URLSE
43,0.191,URLSE
44,0.8210000000000001,URLSE
45,0.603,URLSE
46,0.23900000000000002,URLSE
47,0.802,URLSE
48,0.853,URLSE
49,0.032,URLSE
50,0.331,URLSE
51,0.723,URLSE
52,0.439,URLSE
53,0.082,URLSE
54,0.188,URLSE
55,0.661,URLSE
56,0.199,URLSE
57,0.3,URLSE
58,0.42,URLSE
59,0.531,URLSE
60,0.504,URLSE
61,0.5630000000000001,URLSE
62,0.9,URLSE
63,0.719,URLSE
64,0.359,URLSE
65,0.063,URLSE
66,0.541,URLSE
67,0.22,URLSE
68,0.89,URLSE
69,0.716,URLSE
70,0.789,URLSE
71,0.54,URLSE
72,0.246,URLSE
73,0.85,URLSE
74,0.373,URLSE
75,0.916,URLSE
76,0.47600000000000003,URLSE
77,0.029,URLSE
78,0.117,URLSE
79,0.152,URLSE
80,0.073,URLSE
81,0.106,URLSE
82,0.996,URLSE
83,0.338,URLSE
84,0.713,URLSE
85,0.045,URLSE
86,0.273,URLSE
87,0.24,URLSE
88,0.533,URLSE
89,0.40900000000000003,URLSE
90,0.8280000000000001,URLSE
91,0.195,URLSE
92,0.783,URLSE
93,0.252,URLSE
94,0.4,URLSE
95,0.406,URLSE
96,0.889,URLSE
97,0.843,URLSE
98,0.396,URLSE
99,0.364,URLSE
100,0.202,URLSE
101,0.417,URLSE
102,0.507,URLSE
103,0.731,URLSE
104,0.901,URLSE
105,0.8280000000000001,URLSE
106,0.791,URLSE
107,0.133,URLSE
108,0.225,URLSE
109,0.159,URLSE
110,0.176,URLSE
111,0.722,URLSE
112,0.9560000000000001,URLSE
113,0.649,URLSE
114,0.5640000000000001,URLSE
115,0.438,URLSE
116,0.645,URLSE
117,0.559,URLSE
118,0.364,URLSE
119,0.987,URLSE
120,0.257,URLSE
121,0.624,URLSE
122,0.595,URLSE
123,0.502,URLSE
124,0.08600000000000001,URLSE
125,0.791,URLSE
126,0.738,URLSE
127,0.886,URLSE
128,0.5640000000000001,URLSE
129,0.114,URLSE
130,0.9460000000000001,URLSE
131,0.45,URLSE
132,0.753,URLSE
133,0.23800000000000002,URLSE
134,0.758,URLSE
135,0.203,URLSE
136,0.892,URLSE
137,0.176,URLSE
138,0.9470000000000001,URLSE
139,0.312,URLSE
140,0.731,URLSE
141,0.906,URLSE
142,0.453,URLSE
143,0.797,URLSE
144,0.054,URLSE
145,0.79,URLSE
146,0.437,URLSE
147,0.904,URLSE
148,0.8300000000000001,URLSE
149,0.789,URLSE
150,0.061,URLSE
151,0.921,URLSE
152,0.84,URLSE
153,0.6890000000000001,URLSE
154,0.587,URLSE
155,0.451,URLSE
156,0.8290000000000001,URLSE
157,0.317,URLSE
158,0.8260000000000001,URLSE
159,0.398,URLSE
160,0.298,URLSE
161,0.878,URLSE
162,0.261,URLSE
163,0.981,URLSE
164,0.432,URLSE
165,0.864,URLSE
166,0.754,URLSE
167,0.203,URLSE
168,0.308,URLSE
169,0.23500000000000001,URLSE
170,0.273,URLSE
171,0.862,URLSE
172,0.781,URLSE
173,0.915,URLSE
174,0.665,URLSE
175,0.353,URLSE
176,0.919,URLSE
177,0.923,URLSE
178,0.978,URLSE
179,0.6990000000000001,URLSE
180,0.485,URLSE
181,0.157,URLSE
182,0.602,URLSE
183,0.001,URLSE
184,0.217,URLSE
185,0.993,URLSE
186,0.364,URLSE
187,0.591,URLSE
188,0.249,URLSE
189,0.301,URLSE
190,0.364,URLSE
191,0.637,URLSE
192,0.548,URLSE
193,0.40700000000000003,URLSE
194,0.365,URLSE
195,0.606,URLSE
196,0.098,URLSE
197,0.54,URLSE
198,0.363,URLSE
199,0.889,URLSE
