,p_hat,method
5,0.0,GloDyNE
13,0.0,GloDyNE
21,0.0,GloDyNE
29,0.0,GloDyNE
37,0.0,GloDyNE
45,0.0,GloDyNE
53,0.0,GloDyNE
61,0.0,GloDyNE
69,0.0,GloDyNE
77,0.0,GloDyNE
85,0.0,GloDyNE
93,0.0,GloDyNE
101,0.0,GloDyNE
109,0.0,GloDyNE
117,0.0,GloDyNE
125,0.0,GloDyNE
133,0.0,GloDyNE
141,0.0,GloDyNE
149,0.0,GloDyNE
157,0.0,GloDyNE
165,0.0,GloDyNE
173,0.0,GloDyNE
181,0.0,GloDyNE
189,0.0,GloDyNE
197,0.0,GloDyNE
205,0.0,GloDyNE
213,0.0,GloDyNE
221,0.0,GloDyNE
229,0.0,GloDyNE
237,0.0,GloDyNE
245,0.0,GloDyNE
253,0.0,GloDyNE
261,0.0,GloDyNE
269,0.0,GloDyNE
277,0.0,GloDyNE
285,0.0,GloDyNE
293,0.0,GloDyNE
301,0.0,GloDyNE
309,0.0,GloDyNE
317,0.0,GloDyNE
325,0.0,GloDyNE
333,0.0,GloDyNE
341,0.0,GloDyNE
349,0.0,GloDyNE
357,0.0,GloDyNE
365,0.0,GloDyNE
373,0.0,GloDyNE
381,0.0,GloDyNE
389,0.0,GloDyNE
397,0.0,GloDyNE
405,0.0,GloDyNE
413,0.0,GloDyNE
421,0.0,GloDyNE
429,0.0,GloDyNE
437,0.0,GloDyNE
445,0.0,GloDyNE
453,0.0,GloDyNE
461,0.0,GloDyNE
469,0.0,GloDyNE
477,0.0,GloDyNE
485,0.0,GloDyNE
493,0.0,GloDyNE
501,0.0,GloDyNE
509,0.0,GloDyNE
517,0.0,GloDyNE
525,0.0,GloDyNE
533,0.0,GloDyNE
541,0.0,GloDyNE
549,0.0,GloDyNE
557,0.0,GloDyNE
565,0.0,GloDyNE
573,0.0,GloDyNE
581,0.0,GloDyNE
589,0.0,GloDyNE
597,0.0,GloDyNE
605,0.0,GloDyNE
613,0.0,GloDyNE
621,0.0,GloDyNE
629,0.0,GloDyNE
637,0.0,GloDyNE
645,0.0,GloDyNE
653,0.0,GloDyNE
661,0.0,GloDyNE
669,0.0,GloDyNE
677,0.0,GloDyNE
685,0.0,GloDyNE
693,0.0,GloDyNE
701,0.0,GloDyNE
709,0.0,GloDyNE
717,0.0,GloDyNE
725,0.0,GloDyNE
733,0.0,GloDyNE
741,0.0,GloDyNE
749,0.0,GloDyNE
757,0.0,GloDyNE
765,0.0,GloDyNE
773,0.0,GloDyNE
781,0.0,GloDyNE
789,0.0,GloDyNE
797,0.0,GloDyNE
805,0.0,GloDyNE
813,0.0,GloDyNE
821,0.0,GloDyNE
829,0.0,GloDyNE
837,0.0,GloDyNE
845,0.0,GloDyNE
853,0.0,GloDyNE
861,0.0,GloDyNE
869,0.0,GloDyNE
877,0.0,GloDyNE
885,0.0,GloDyNE
893,0.0,GloDyNE
901,0.0,GloDyNE
909,0.0,GloDyNE
917,0.0,GloDyNE
925,0.0,GloDyNE
933,0.0,GloDyNE
941,0.0,GloDyNE
949,0.0,GloDyNE
957,0.0,GloDyNE
965,0.0,GloDyNE
973,0.0,GloDyNE
981,0.0,GloDyNE
989,0.0,GloDyNE
997,0.0,GloDyNE
1005,0.0,GloDyNE
1013,0.0,GloDyNE
1021,0.0,GloDyNE
1029,0.0,GloDyNE
1037,0.0,GloDyNE
1045,0.0,GloDyNE
1053,0.0,GloDyNE
1061,0.0,GloDyNE
1069,0.0,GloDyNE
1077,0.0,GloDyNE
1085,0.0,GloDyNE
1093,0.0,GloDyNE
1101,0.0,GloDyNE
1109,0.0,GloDyNE
1117,0.0,GloDyNE
1125,0.0,GloDyNE
1133,0.0,GloDyNE
1141,0.0,GloDyNE
1149,0.0,GloDyNE
1157,0.0,GloDyNE
1165,0.0,GloDyNE
1173,0.0,GloDyNE
1181,0.0,GloDyNE
1189,0.0,GloDyNE
1197,0.0,GloDyNE
1205,0.0,GloDyNE
1213,0.0,GloDyNE
1221,0.0,GloDyNE
1229,0.0,GloDyNE
1237,0.0,GloDyNE
1245,0.0,GloDyNE
1253,0.0,GloDyNE
1261,0.0,GloDyNE
1269,0.0,GloDyNE
1277,0.0,GloDyNE
1285,0.0,GloDyNE
1293,0.0,GloDyNE
1301,0.0,GloDyNE
1309,0.0,GloDyNE
1317,0.0,GloDyNE
1325,0.0,GloDyNE
1333,0.0,GloDyNE
1341,0.0,GloDyNE
1349,0.0,GloDyNE
1357,0.0,GloDyNE
1365,0.0,GloDyNE
1373,0.0,GloDyNE
1381,0.0,GloDyNE
1389,0.0,GloDyNE
1397,0.0,GloDyNE
1405,0.0,GloDyNE
1413,0.0,GloDyNE
1421,0.0,GloDyNE
1429,0.0,GloDyNE
1437,0.0,GloDyNE
1445,0.0,GloDyNE
1453,0.0,GloDyNE
1461,0.0,GloDyNE
1469,0.0,GloDyNE
1477,0.0,GloDyNE
1485,0.0,GloDyNE
1493,0.0,GloDyNE
1501,0.0,GloDyNE
1509,0.0,GloDyNE
1517,0.0,GloDyNE
1525,0.0,GloDyNE
1533,0.0,GloDyNE
1541,0.0,GloDyNE
1549,0.0,GloDyNE
1557,0.0,GloDyNE
1565,0.0,GloDyNE
1573,0.0,GloDyNE
1581,0.0,GloDyNE
1589,0.0,GloDyNE
1597,0.0,GloDyNE
